Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Seychelles,...,...,Development,GDP (current US$ Mil),           1497.96,           1427.53,           1377.49,           1343.01,           1328.16,           1060.22,           1065.83,            969.94,            847.40,            967.20,           1033.56,           1016.42,            919.10,            839.32,            705.70,            697.52,            622.26,            614.88,            622.99,            608.37,            562.96,            503.07,            508.22,            486.45,            473.92,            433.67,            374.36,            368.58,            304.83,            283.83
Seychelles,...,...,Export,No. Of Export partners,             86.00,             89.00,             83.00,             73.00,             71.00,             78.00,             78.00,             92.00,,             79.00,             50.00,             53.00,             54.00,             56.00,             50.00,             55.00,             53.00,             57.00,             35.00,             38.00,             35.00,             36.00,             34.00,             35.00,,,,,,
Seychelles,...,...,Export,No. Of Export products,            352.00,            282.00,            320.00,            300.00,            244.00,            321.00,            341.00,            373.00,,            485.00,            479.00,            289.00,            281.00,            301.00,            322.00,            320.00,            342.00,            425.00,            277.00,            366.00,            374.00,            390.00,            271.00,            222.00,,,,,,
Seychelles,...,...,Import,No. Of Import partners,            163.00,            171.00,            161.00,            155.00,            165.00,            152.00,            225.00,            224.00,,            160.00,            106.00,            100.00,            107.00,            101.00,             79.00,             85.00,             76.00,             72.00,             67.00,             63.00,             65.00,             65.00,             66.00,             60.00,,,,,,
Seychelles,...,...,Import,No. Of Import products,           3411.00,           3420.00,           3409.00,           3271.00,           3264.00,           3513.00,           3585.00,           3624.00,,           3552.00,           3426.00,           3262.00,           3294.00,           3402.00,           3357.00,           3310.00,           3156.00,           3047.00,           2928.00,           3087.00,           3230.00,           3253.00,           3217.00,           3242.00,,,,,,
Seychelles,...,...,Tariff,No. Of Tariff Agreement,              4.00,              4.00,              4.00,,,,,,,,              1.00,              1.00,              1.00,,,,              2.00,              1.00,,,,,,,,,,,,
Seychelles,...,...,Development,Trade Balance (current US$ Mil),           -183.91,           -153.98,           -135.87,           -214.88,           -104.08,           -188.98,           -166.47,           -138.54,            -76.56,           -103.82,            -12.27,           -164.28,           -199.50,            -63.40,             16.70,            -52.44,           -123.26,            -39.54,           -288.61,           -260.70,           -227.19,           -239.13,           -179.70,           -155.60,           -187.17,           -143.54,           -123.30,           -129.71,           -130.48,           -127.30
Seychelles,Bahrain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             30.02,,,,,,,,,
Seychelles,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,             38.63,,,,,,,,,
Seychelles,Cayman Islands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            507.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             47.99,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              8.19,             12.89,             25.15,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,Finland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             44.17,,,,,,,,,,,
Seychelles,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            107.03,            110.34,             93.56,            132.17,            177.79,            195.92,            326.51,             80.23,,             55.18,             70.28,             58.63,             50.08,             58.34,             68.65,             53.58,             39.35,             28.31,             16.92,             16.70,             22.96,             10.80,,,,,,,,
Seychelles,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            118.57,            146.81,             77.33,             95.79,             71.39,             85.00,             75.47,             59.00,,             68.31,             67.59,             61.20,             44.29,             49.09,             43.71,             50.40,             46.64,             32.71,             43.47,             35.54,             43.32,             26.84,             18.04,             11.85,,,,,,
Seychelles,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             19.04,,,,,,,,,,              8.25,             21.57,             16.31,             15.92,             14.92,              9.29,             15.17,              7.70,             23.62,             19.19,,              4.91,              3.44,,,,,,
Seychelles,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             68.98,             82.19,,             96.19,,,,,,,,,,,,,,,,,
Seychelles,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             83.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             56.71,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             46.64,             51.14,             35.93,             62.45,             68.16,             73.15,             41.47,             38.63,,             16.34,             20.11,             39.26,             26.32,             21.98,             32.15,             16.88,             23.22,             10.47,             23.12,             15.74,             16.94,,,              2.32,,,,,,
