Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Syrian Arab Republic,...,...,Development,GDP (current US$ Mil),,,,,,,,,,,          40405.01,          33332.84,          28858.97,          25086.93,          21828.14,          21582.25,          21099.83,          19325.89,          15873.88,          15200.85,          14505.23,          13789.56,          11396.71,          10122.02,          13695.96,          13253.57,          12981.83,          12308.62,           9853.40,          10577.04
Syrian Arab Republic,...,...,Export,No. Of Export partners,,,,,,,,            150.00,            149.00,            129.00,            131.00,            139.00,            131.00,            104.00,            139.00,             50.00,             50.00,,,,,,,,,,,,,
Syrian Arab Republic,...,...,Export,No. Of Export products,,,,,,,,           2810.00,           2400.00,           1220.00,           1226.00,           2798.00,           1536.00,            740.00,           2470.00,            414.00,            192.00,,,,,,,,,,,,,
Syrian Arab Republic,...,...,Import,No. Of Import partners,,,,,,,,            150.00,            142.00,            114.00,            111.00,            130.00,            114.00,             96.00,            115.00,             63.00,             61.00,,,,,,,,,,,,,
Syrian Arab Republic,...,...,Import,No. Of Import products,,,,,,,,           3563.00,           3594.00,           2336.00,           2242.00,           3632.00,           2271.00,           1643.00,           3391.00,           1291.00,            570.00,,,,,,,,,,,,,
Syrian Arab Republic,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,              2.00,              2.00,,,,,,,              1.00,,,,,,,,,,,,,,
Syrian Arab Republic,...,...,Development,Trade Balance (current US$ Mil),,,,,,,,,,,            327.45,            260.42,           -356.93,             60.83,           1070.01,           1625.17,           1296.18,           1315.62,             51.61,            -55.71,           -200.39,           -863.53,           -786.05,          -1248.10,          -1785.77,          -1507.60,           -995.54,             47.80,           -480.71,           -990.23
Syrian Arab Republic,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           1545.91,           1310.75,           1978.42,           1175.20,            747.41,            636.00,           2040.89,           1239.45,           1094.67,,,,,,,,,,,,,,
Syrian Arab Republic,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            595.12,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            680.56,,           1325.08,            961.79,           1133.61,           4253.30,           3392.12,           3795.75,           3108.76,,,,,,,,,,,,,
Syrian Arab Republic,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           1477.11,            960.22,           1640.58,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,           1058.72,            977.04,,,,,,,,,,,,,
Syrian Arab Republic,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           2294.52,           2718.13,           2557.56,            647.65,            698.74,,           2132.95,,,,,,,,,,,,,,,,
Syrian Arab Republic,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           1520.20,            595.40,           1190.49,           2732.92,           2139.84,           1925.05,           5352.07,           7831.49,           8875.80,           7740.52,,,,,,,,,,,,,
Syrian Arab Republic,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           1292.61,,            846.81,           1010.99,,,,,           1352.42,           2071.08,,,,,,,,,,,,,
Syrian Arab Republic,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            359.86,,,           1141.46,           1033.01,,,,,,,,,,,,,
Syrian Arab Republic,Lebanon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,           1335.65,,,,,            951.06,,,,,,,,,,,,,,,
Syrian Arab Republic,Malta,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,           1442.79,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,Oman,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,           2299.83,           1013.73,,,,,,,,,,,,,
Syrian Arab Republic,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           1108.85,            927.12,           2352.25,           1442.76,           1175.45,,           1415.03,,,,,,,,,,,,,,,,
Syrian Arab Republic,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            542.60,            592.84,           1028.26,           1223.71,            954.96,            370.16,           1469.31,           1397.39,,,,,,,,,,,,,,,
Syrian Arab Republic,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            830.11,,            343.88,           1360.92,,,,,,,,,,,,,,,,
Syrian Arab Republic,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,            306.21,,,            863.43,           1615.70,,,,,,,,,,,,,
Syrian Arab Republic,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            629.20,,,            604.67,,,           1518.78,           1774.47,           2081.47,           1743.59,,,,,,,,,,,,,
