Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Turks and Caicos Isl.,...,...,Export,No. Of Export partners,,,,,,              6.00,              4.00,,              8.00,              5.00,              5.00,              4.00,              5.00,              5.00,              6.00,              6.00,              8.00,              8.00,              5.00,,,,,,,,,,,
Turks and Caicos Isl.,...,...,Export,No. Of Export products,,,,,,            218.00,            177.00,,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,            325.00,,,,,,,,,,,
Turks and Caicos Isl.,...,...,Import,No. Of Import partners,,,,,,             30.00,             33.00,,             13.00,             15.00,             10.00,             17.00,             11.00,             16.00,             18.00,             18.00,             22.00,             17.00,             17.00,,,,,,,,,,,
Turks and Caicos Isl.,...,...,Import,No. Of Import products,,,,,,           3298.00,           3361.00,,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,           1112.00,,,,,,,,,,,
Turks and Caicos Isl.,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Isl.,Anguila,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              0.06,,,,,,,,,,,,,,,,,,,
Turks and Caicos Isl.,"Bahamas, The",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              0.01,,              0.00,              0.02,              0.01,,,,,              0.02,              0.00,              0.02,,,,,,,,,,,,
Turks and Caicos Isl.,"Bahamas, The",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             37.12,             36.32,,              3.19,              3.20,              2.47,              2.58,              4.32,              3.79,              2.02,              2.19,              2.06,              1.86,              1.23,,,,,,,,,,,
Turks and Caicos Isl.,Bahrain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,              0.01,,,,,,,,,,,,,
Turks and Caicos Isl.,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,              0.17,,,,              0.12,              0.44,,              0.19,,,,,,,,,,,,,
Turks and Caicos Isl.,Belize,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,              0.11,,,,,              0.10,,,,,,,,,,,,,,,
Turks and Caicos Isl.,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.10,              0.01,,,,,,,,,,,,,,,,
Turks and Caicos Isl.,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,              0.09,,,,,,,,,,,,
Turks and Caicos Isl.,Cape Verde,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,              0.02,,,,,,,,,,,,,,,,,,
Turks and Caicos Isl.,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,              0.08,,,,,,,,,,,,,,,,
Turks and Caicos Isl.,Dominican Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              0.01,,,              0.01,              0.00,              0.00,              0.01,              0.02,              0.01,,              0.02,,              0.02,              0.02,,,,,,,,,,,
Turks and Caicos Isl.,Dominican Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,              0.89,,              0.66,              0.16,              0.53,              0.52,              0.35,              0.22,              0.24,              0.10,,,              0.14,,,,,,,,,,,
Turks and Caicos Isl.,Finland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,              0.14,,,,,,,,,,,,
Turks and Caicos Isl.,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,              0.00,,,,,,,,,,,,,,,,
Turks and Caicos Isl.,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              0.00,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Isl.,Guyana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,              0.90,,,,,,,,,,,
Turks and Caicos Isl.,Haiti,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              0.01,              0.06,,              0.02,,              0.00,              0.01,              0.02,              0.03,              0.03,              0.03,              0.02,,              0.00,,,,,,,,,,,
Turks and Caicos Isl.,Haiti,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              0.01,,,,,              0.10,              0.14,,,,,,,,,,,,,
Turks and Caicos Isl.,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,              0.00,              0.00,,,,              0.00,,,,,,,,,,,,,
Turks and Caicos Isl.,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,              0.44,,,,,,,,,              0.09,,,,,,,,,,,,,,
Turks and Caicos Isl.,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              0.13,,,,,,,,,,,,,,,,,,,
Turks and Caicos Isl.,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,              0.48,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Isl.,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.01,,,,,,,,,,,,,,,
Turks and Caicos Isl.,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,              0.88,,,              0.13,              0.23,,,,,,,,,,,,,,,,,
Turks and Caicos Isl.,San Marino,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              0.06,,,,,,,,,,,,
Turks and Caicos Isl.,St. Vincent and the Grenadines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              0.15,,,,,,              0.04,,,,,,,,,,,,,,,
Turks and Caicos Isl.,St. Vincent and the Grenadines,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,              1.32,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Isl.,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,              1.74,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Isl.,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              0.01,,,,,,,,,              0.01,,,,,,,,,,,
