Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Turkey,...,...,Development,GDP (current US$ Mil),         851549.30,         863721.73,         859796.69,         934185.97,         950579.37,         873982.18,         832523.58,         771901.78,         644640.00,         764335.77,         675770.20,         552487.22,         501416.34,         404786.39,         311822.91,         238428.21,         200252.12,         272979.85,         255883.48,         275769.08,         189834.65,         181475.56,         169485.94,         130690.17,         180169.74,         158459.13,         150027.83,         150676.29,         107143.35,          90852.81
Turkey,...,...,Export,No. Of Export partners,            215.00,            220.00,            217.00,            216.00,            217.00,            219.00,            213.00,            216.00,            217.00,            212.00,            211.00,            210.00,            205.00,            211.00,            208.00,            207.00,            193.00,            186.00,            181.00,            178.00,            164.00,            167.00,            172.00,            170.00,            173.00,            168.00,            139.00,            131.00,            142.00,
Turkey,...,...,Export,No. Of Export products,           4292.00,           4293.00,           4291.00,           4311.00,           4271.00,           4300.00,           4303.00,           4286.00,           4262.00,           4252.00,           4244.00,           4424.00,           4399.00,           4372.00,           4341.00,           4263.00,           4389.00,           4391.00,           4378.00,           4420.00,           4445.00,           4363.00,           4138.00,           4059.00,           3742.00,           3654.00,           3509.00,           3537.00,           3601.00,
Turkey,...,...,Import,No. Of Import partners,            218.00,            215.00,            214.00,            218.00,            219.00,            218.00,            216.00,            203.00,            209.00,            206.00,            207.00,            204.00,            200.00,            195.00,            194.00,            193.00,            179.00,            173.00,            170.00,            164.00,            160.00,            162.00,            155.00,            142.00,            150.00,            154.00,            116.00,            134.00,            129.00,
Turkey,...,...,Import,No. Of Import products,           4336.00,           4354.00,           4377.00,           4370.00,           4373.00,           4378.00,           4403.00,           4409.00,           4386.00,           4381.00,           4375.00,           4587.00,           4590.00,           4573.00,           4534.00,           4512.00,           4577.00,           4662.00,           4651.00,           4676.00,           4737.00,           4718.00,           4634.00,           4562.00,           4641.00,           4581.00,           4462.00,           4504.00,           4309.00,
Turkey,...,...,Tariff,No. Of Tariff Agreement,             27.00,             25.00,             25.00,,             24.00,,             20.00,             18.00,             18.00,             16.00,             17.00,             16.00,              9.00,             11.00,             18.00,             19.00,             18.00,             14.00,              2.00,              5.00,              2.00,              3.00,              1.00,,              2.00,,,,,
Turkey,...,...,Development,Trade Balance (current US$ Mil),         -38435.11,         -24922.52,         -22423.55,         -36297.18,         -55188.87,         -42917.58,         -67751.82,         -38607.45,          -5061.26,         -32513.37,         -32769.01,         -26797.12,         -17056.07,         -10600.23,          -3477.47,           3483.08,           7523.48,          -8470.70,           -629.22,           2378.03,         -11023.49,         -11403.92,          -7558.09,           1278.69,         -10214.69,          -4679.13,          -4191.40,          -6347.68,          -1690.55,           1000.39
Turkey,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          23370.62,          25441.43,          24873.45,          24918.22,          24685.89,          21295.24,          21693.34,          17180.81,          12676.57,          15658.21,          13234.09,           9669.11,           6885.40,,,,,,,,,,,,,,,,,
Turkey,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           6467.86,,,           6805.82,           6054.50,           6211.42,           6617.51,           5974.46,           4604.35,           3805.76,           3668.42,           2826.14,           2123.54,           1895.29,           1651.59,           1573.19,,,,,            851.17,            771.27,            808.86,            688.64,            736.78,,
Turkey,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,           7239.95,           5887.82,           6201.35,           4164.12,           3047.50,           2283.94,           3514.60,           3127.13,           3033.23,           2967.21,           2739.50,           1995.82,           1458.12,           1952.34,           1350.82,           1226.54,           1340.32,            744.78,
Turkey,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          15118.91,          13998.65,          13418.07,          15147.42,          13702.58,          13124.37,          13950.83,          11479.07,           9793.01,          12951.75,          11993.23,           9686.23,           9455.05,           8745.28,           7484.93,           5835.21,           5366.68,           5171.17,           5474.53,           5449.08,           5253.43,           5152.15,           5033.55,           3934.25,           3654.30,           3660.40,           3412.89,           3063.72,           2175.71,
Turkey,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          21301.87,          21474.99,          21351.98,          22369.48,          24182.42,          21400.61,          22985.57,          17549.11,          14096.96,          18687.20,          17539.96,          14768.22,          13633.89,          12515.66,           9452.96,           7014.69,           5335.44,           7163.37,           5880.02,           7310.72,           8021.15,           7582.99,           5547.55,           3645.55,           4533.01,           3754.44,           3232.00,           3496.76,           2203.89,
Turkey,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,           9921.60,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9054.61,           7636.67,           8550.95,          10887.83,          11948.91,          10822.14,           8310.13,           6036.36,           5123.41,,,,,,,,,,,,,,,,,,,,,
Turkey,Iraq,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1649.70,
Turkey,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           7580.84,           6887.87,           7141.07,           6718.36,,           7851.48,           6505.28,           5888.96,           7818.99,           7480.06,           6752.35,           5618.16,           4641.20,           3194.80,           2361.21,           2342.20,           1755.17,           1682.52,           1555.09,           1387.19,           1438.38,           1455.78,           1033.60,            750.31,            942.70,            971.57,           1106.26,            978.07,
Turkey,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          11304.72,          10218.39,          10639.08,,          12884.86,          13344.47,          13449.86,          10139.89,           7594.65,          10682.04,           9967.97,           8663.47,           7566.81,           6865.90,           5471.59,           4132.12,           3484.13,           4319.13,           3192.05,           4234.79,           4463.05,           4245.07,           3193.09,           2008.47,           2558.27,           1918.54,           1845.35,           1727.06,           1070.89,
Turkey,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,           1620.76,,,,,
Turkey,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           6964.21,,,,,,           4726.85,,,,,,,,,           1347.47,           2056.47,           1494.43,           1232.04,,,,,,,
Turkey,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          19514.09,          15162.39,          20399.81,          25288.60,          25064.21,          26625.29,          23952.91,          21600.64,          19450.09,          31364.48,          23508.49,          17806.24,          12905.62,           9033.14,           5451.32,           3863.18,           3435.67,           3879.87,           2374.10,,,,           2082.37,,,,,,,
Turkey,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,           1228.81,,           1664.99,           1828.93,,,
Turkey,Soviet Union,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            704.73,
Turkey,Soviet Union,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1247.43,,
Turkey,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9184.16,,,,,           8174.61,,,,           7975.40,,,,,,,,,,,,,,,,,,,,
Turkey,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9603.19,          11685.79,          10557.30,           9903.17,           8785.12,           8693.60,           8151.43,           7235.86,           5938.00,           8158.67,           8626.78,           6814.30,           5917.16,           5543.92,           3670.09,           3005.84,           2174.89,           2023.67,           1829.36,           1710.18,           1511.26,           1246.67,           1134.43,            888.86,            835.09,            796.29,            676.03,            744.77,            616.07,
Turkey,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           3500.02,,,,,           2681.41,           2763.11,           2486.26,,,,,,,,
Turkey,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8654.62,           6623.72,           6396.33,,,,,,,,,           5061.33,           4910.82,           4848.74,           3753.87,           3336.81,           3125.80,           3074.13,           2437.08,           2228.53,           2027.09,           1616.79,           1512.53,           1520.65,            986.45,            865.01,            912.86,            967.59,            971.00,
Turkey,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          11952.32,          10867.80,          11128.04,          12727.96,,          14130.63,          16042.07,          12322.79,           8575.89,          11977.02,           8166.79,,,           4745.22,,           3067.89,           3261.38,           3887.34,           3080.26,           4043.45,           4329.60,           3287.57,           3723.93,           2429.36,           3350.66,           2600.41,           2255.31,           2281.57,           2094.27,
