Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Uganda,...,...,Development,GDP (current US$ Mil),          25995.03,          24133.66,          27102.65,          27291.88,          24599.55,          23114.29,          20176.03,          20186.50,          18168.90,          14239.03,          12292.81,           9942.60,           9013.83,           7940.36,           6336.70,           6178.56,           5840.50,           6193.25,           5998.56,           6584.82,           6269.33,           6044.59,           5755.82,           3990.43,           3220.44,           2857.46,           3321.73,           4304.40,           5276.48,           6508.93
Uganda,...,...,Export,No. Of Export partners,            134.00,            136.00,            130.00,            140.00,            141.00,            138.00,            139.00,            136.00,            131.00,            128.00,            136.00,            130.00,            125.00,            122.00,            122.00,            115.00,            103.00,             80.00,             88.00,             86.00,             90.00,             74.00,             80.00,             63.00,,,,,,
Uganda,...,...,Export,No. Of Export products,           2172.00,           2364.00,           2440.00,           2420.00,           2419.00,           2324.00,           2188.00,           2149.00,           2036.00,           2024.00,           1936.00,           1495.00,           1449.00,           1239.00,           1191.00,            980.00,            957.00,            640.00,            724.00,            785.00,            908.00,            653.00,            806.00,            643.00,,,,,,
Uganda,...,...,Import,No. Of Import partners,            160.00,            163.00,            153.00,            162.00,            154.00,            160.00,            154.00,            149.00,            164.00,            157.00,            147.00,            153.00,            140.00,            140.00,            141.00,            138.00,            135.00,            133.00,            118.00,            143.00,            129.00,            132.00,            161.00,            137.00,,,,,,
Uganda,...,...,Import,No. Of Import products,           3839.00,           3859.00,           3783.00,           3796.00,           3817.00,           3883.00,           3866.00,           3872.00,           3837.00,           3822.00,           3920.00,           3890.00,           3916.00,           3839.00,           3897.00,           3894.00,           3852.00,           3935.00,           3806.00,           3936.00,           3644.00,           3370.00,           3667.00,           3870.00,,,,,,
Uganda,...,...,Tariff,No. Of Tariff Agreement,,              5.00,              5.00,              5.00,              5.00,              5.00,              5.00,              5.00,              7.00,              6.00,              6.00,              4.00,              6.00,              4.00,              4.00,              4.00,              4.00,              4.00,,,,,,              2.00,,,,,,
Uganda,...,...,Development,Trade Balance (current US$ Mil),          -1874.29,          -2422.00,          -2920.53,          -2722.64,          -2533.87,          -2982.91,          -3006.49,          -2312.61,          -2218.20,          -1096.12,          -1638.30,          -1300.74,           -958.61,           -799.30,           -875.24,           -855.81,           -718.02,           -708.89,           -691.13,           -708.91,           -466.41,           -692.91,           -520.28,           -413.34,           -454.56,           -443.76,           -480.77,           -522.04,           -534.97,           -664.22
Uganda,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             28.60,,,,,,,
Uganda,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            985.95,            886.22,            875.02,            739.64,            622.04,            684.23,            522.49,            414.66,            379.21,            365.78,            274.32,,,,,,,,,,,,,,,,,,,
Uganda,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            189.61,            176.92,            152.56,            181.68,            268.17,            240.88,            182.44,            183.99,            156.61,,            100.05,,             60.40,,,,,,,,,             40.29,             38.41,             13.02,,,,,,
Uganda,Fm Sudan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            329.17,            208.57,            184.65,            245.87,            157.12,             91.75,,,,,,,,,,,,,,,,,,
Uganda,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             28.62,,,,,,,
Uganda,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             26.51,,,,,,,,,,,,,
Uganda,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            736.32,            834.54,           1153.94,           1490.20,           1559.86,           1266.18,            928.08,            684.41,            521.08,            470.49,            344.97,            208.99,            131.81,            121.77,            102.16,             71.91,             66.55,             48.10,             65.38,             66.39,             55.93,             51.92,             61.40,             46.78,,,,,,
Uganda,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            370.09,,            346.85,            354.64,            331.69,            323.70,            323.34,            305.53,            269.97,,            233.05,            174.47,            146.55,            121.98,             90.36,             87.31,             75.02,             67.51,             82.11,             68.61,             60.47,             75.25,             99.40,             57.64,,,,,,
Uganda,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            552.00,            404.10,            427.01,            297.44,            314.43,            254.06,            226.58,            190.30,            173.97,            164.63,            118.19,             88.00,             72.44,             76.90,             78.43,             61.50,             59.06,             63.03,             32.14,             48.74,             22.92,             52.13,,             20.21,,,,,,
Uganda,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            457.23,            458.99,            554.53,            593.89,            562.82,            590.16,            644.57,            511.53,            502.66,            511.33,            472.45,            400.96,            520.69,            399.20,            357.33,            312.87,            281.49,            295.74,            241.75,            265.45,            158.71,            250.34,            213.31,            186.78,,,,,,
Uganda,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             61.89,             85.41,             57.86,             48.81,             56.00,             52.80,             34.71,,             52.78,,,,,,,,,,
Uganda,Rwanda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            181.64,            193.26,            237.57,            245.33,            216.30,            226.10,            193.50,            149.35,            135.29,            136.90,,,,,,,,,,,             35.72,             51.38,,             20.65,,,,,,
Uganda,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            249.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,             24.82,,,,,,,,,,,
Uganda,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             43.00,,             28.90,             33.14,,,,,,,,,,,
Uganda,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            305.18,,            156.27,            143.68,            140.90,             98.98,             83.66,             72.85,             65.92,             56.93,             75.20,,,,,,,,,,
Uganda,South Sudan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            299.88,            239.56,            265.03,            280.29,            175.43,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Sudan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            239.38,            406.59,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            155.71,             86.62,             45.43,             74.86,            108.78,             70.91,             68.79,             69.82,             99.49,             24.31,             47.73,            122.70,            205.44,            182.55,,,,,,,
Uganda,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            444.90,            372.31,,,,            176.40,            143.32,            120.89,,            128.11,            177.90,            186.31,             84.34,             33.46,,,,,,,,,,,,,,,,
Uganda,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            659.72,            413.20,            405.90,            401.28,            387.53,            450.83,            373.31,            391.04,            416.55,            515.53,            420.55,            325.25,            136.70,,,,,,,,             51.43,             49.59,             61.62,             35.38,,,,,,
Uganda,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,             29.44,             33.88,             30.01,             28.42,             39.14,             90.98,             57.70,             73.37,            175.43,            122.50,             14.43,,,,,,
Uganda,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             86.41,             67.74,             72.25,             80.49,            102.97,            131.92,             98.76,            120.08,            126.83,             91.13,,,,,,
Uganda,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             26.54,,,,,,,,,,
Uganda,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            103.40,,,,,,,,,,,,,,,,
