Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Vanuatu,...,...,Development,GDP (current US$ Mil),            862.88,            787.94,            737.92,            814.95,            801.79,            781.70,            792.15,            700.80,            610.07,            607.96,            526.43,            439.38,            394.96,            365.00,            314.46,            262.60,            257.93,            272.01,            268.00,            262.30,            255.89,            245.18,            233.90,            219.26,            188.08,            196.14,            188.87,            158.40,            144.48,            148.55
Vanuatu,...,...,Export,No. Of Export partners,,,,,,,             52.00,             56.00,             59.00,,             36.00,             44.00,,,,,,             44.00,,,,,,             32.00,             29.00,,,,,
Vanuatu,...,...,Export,No. Of Export products,,,,,,,            390.00,            426.00,            420.00,,            281.00,            343.00,,,,,,              1.00,,,,,,             86.00,,,,,,
Vanuatu,...,...,Import,No. Of Import partners,,,,,,,             99.00,             98.00,             98.00,,             89.00,             83.00,,,,,,             64.00,,,,,,             42.00,             43.00,,,,,
Vanuatu,...,...,Import,No. Of Import products,,,,,,,           2984.00,           3042.00,           3127.00,,           3096.00,           3112.00,,,,,,              1.00,,,,,,              1.00,,,,,,
Vanuatu,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,              2.00,,              2.00,              2.00,,,,,,,,,,,,,,,,,,
Vanuatu,...,...,Development,Trade Balance (current US$ Mil),,,,             -6.81,            -27.84,            -13.69,            -44.56,            -42.84,            -43.72,            -75.73,            -36.13,            -30.74,            -37.15,            -27.40,            -15.77,            -18.58,            -30.59,            -23.93,            -44.16,            -26.65,              4.44,            -17.55,            -20.43,            -18.32,            -17.37,            -18.96,            -28.58,            -40.96,            -36.85,            -36.54
Vanuatu,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              7.18,              5.63,,,,              2.85,,,,,,              1.41,,,,,,              1.58,              0.60,,,,,
Vanuatu,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             83.27,             85.26,             82.05,,             62.66,             65.72,,,,,,             38.50,,,,,,             31.16,             31.10,,,,,
Vanuatu,Bangladesh,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              5.01,,,,,,              3.23,,,,,,
Vanuatu,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,              1.78,,,,,,,,,,,,,,,,,,
Vanuatu,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             19.43,             27.27,             27.85,,             13.35,              8.28,,,,,,,,,,,,,,,,,,
Vanuatu,Fiji,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              5.14,,,,              2.05,              4.41,,,,,,,,,,,,,,,,,,
Vanuatu,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             22.41,             21.84,             25.23,,             18.36,             14.21,,,,,,              7.92,,,,,,,,,,,,
Vanuatu,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              4.41,,,,,,,,,,,,,,,,              0.27,,,,,
Vanuatu,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,              5.88,              4.56,,,,,
Vanuatu,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              1.37,,,,,,,,,,,,
Vanuatu,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              7.44,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              2.73,,              1.60,,,,,,,              2.81,,,,,,              4.94,,,,,,
Vanuatu,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,              4.45,,,,,,              7.93,              5.95,,,,,
Vanuatu,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             12.99,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,              4.16,,,,,,
Vanuatu,New Caledonia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              3.81,              4.03,,              2.92,              2.66,,,,,,,,,,,,,,,,,,
Vanuatu,New Caledonia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,              5.01,,,,,,              5.07,              4.77,,,,,
Vanuatu,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              7.25,              3.17,              2.59,,,,,,,,,,,,,,,,              0.13,,,,,
Vanuatu,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             35.61,             37.44,             37.81,,             33.79,             24.76,,,,,,              9.99,,,,,,             10.71,             10.04,,,,,
Vanuatu,Philippines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             11.46,              5.92,              4.55,,              4.16,,,,,,,,,,,,,,,,,,,
Vanuatu,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             51.06,             35.21,             27.78,,             25.07,              8.63,,,,,,,,,,,,,,,,,,
Vanuatu,Uganda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,              0.02,,,,,
Vanuatu,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              2.38,,,,,,              1.52,              0.12,,,,,
Vanuatu,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              7.98,             13.31,,,,,,,,,,,,,,,,,,
Vanuatu,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,          33886.72,,          26922.56,          24051.93,,,,,,,,,,,,,,,,,,
Vanuatu,World,Animal,Export,Export(US$ Mil),,,,,,,             11.70,             10.09,              7.35,,              1.86,              3.24,,,,,,              3.20,,,,,,              4.48,,,,,,
Vanuatu,World,Capital goods,Export,Export(US$ Mil),,,,,,,              1.08,              2.02,              3.56,,              1.15,              0.61,,,,,,,,,,,,              0.11,,,,,,
Vanuatu,World,Chemicals,Export,Export(US$ Mil),,,,,,,              3.42,              2.12,              1.19,,              0.32,              0.52,,,,,,              0.03,,,,,,              0.00,,,,,,
Vanuatu,World,Consumer goods,Export,Export(US$ Mil),,,,,,,              4.47,              4.33,              3.84,,              1.07,              1.55,,,,,,,,,,,,              0.76,,,,,,
Vanuatu,World,Food Products,Export,Export(US$ Mil),,,,,,,              6.13,              6.38,              5.19,,              2.24,              2.57,,,,,,              1.11,,,,,,              2.03,,,,,,
Vanuatu,World,Footwear,Export,Export(US$ Mil),,,,,,,              0.00,              0.00,              0.01,,              0.00,              0.02,,,,,,              0.02,,,,,,,,,,,,
Vanuatu,World,Fuels,Export,Export(US$ Mil),,,,,,,              0.04,              0.10,              1.56,,              0.14,              0.00,,,,,,              0.00,,,,,,,,,,,,
Vanuatu,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,              0.30,              0.15,              0.12,,              0.19,              0.30,,,,,,              0.25,,,,,,              0.38,,,,,,
Vanuatu,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,             21.84,             12.50,              5.25,,              5.74,              3.37,,,,,,,,,,,,              2.54,,,,,,
Vanuatu,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,              0.83,              1.58,              1.06,,              0.65,              0.29,,,,,,              0.11,,,,,,              0.11,,,,,,
Vanuatu,World,Metals,Export,Export(US$ Mil),,,,,,,              1.11,              0.11,              0.33,,              0.06,              0.06,,,,,,              0.03,,,,,,              0.00,,,,,,
Vanuatu,World,Minerals,Export,Export(US$ Mil),,,,,,,              0.00,              0.01,              0.01,,              0.00,              0.16,,,,,,              0.01,,,,,,              0.00,,,,,,
Vanuatu,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,              1.67,              2.27,              4.01,,              8.80,             14.79,,,,,,              2.16,,,,,,              1.55,              1.36,,,,,
Vanuatu,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,              0.04,              0.01,              0.01,,              0.03,              0.00,,,,,,              0.00,,,,,,              0.00,,,,,,
Vanuatu,World,Raw materials,Export,Export(US$ Mil),,,,,,,             34.88,             25.83,             23.92,,             13.66,             17.64,,,,,,,,,,,,             16.40,,,,,,
Vanuatu,World,Stone and Glass,Export,Export(US$ Mil),,,,,,,              0.02,              0.02,              0.10,,              0.01,              0.00,,,,,,              0.00,,,,,,              0.00,,,,,,
Vanuatu,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,              0.01,              0.02,              0.10,,              0.11,              0.06,,,,,,              0.02,,,,,,              0.01,,,,,,
Vanuatu,World,Transportation,Export,Export(US$ Mil),,,,,,,              0.22,              0.12,              0.58,,              0.22,              0.19,,,,,,              0.28,,,,,,              0.00,,,,,,
Vanuatu,World,Vegetable,Export,Export(US$ Mil),,,,,,,             37.16,             22.59,             15.43,,             14.39,             11.56,,,,,,             12.56,,,,,,              9.32,,,,,,
Vanuatu,World,Wood,Export,Export(US$ Mil),,,,,,,              0.87,              0.59,              0.70,,              0.89,              2.94,,,,,,              3.54,,,,,,              2.84,,,,,,
Vanuatu,World,All Products,Export,Exports (in US$ Mil),,,,,,,             63.53,             46.17,             37.75,,             29.91,             36.70,,,,,,             23.33,,,,,,             20.73,              1.36,,,,,
Vanuatu,World,Capital goods,Import,Import(US$ Mil),,,,,,,             42.15,             51.11,             63.54,,             42.09,             35.59,,,,,,,,,,,,,,,,,,
Vanuatu,World,Consumer goods,Import,Import(US$ Mil),,,,,,,            184.41,            171.00,            159.84,,            118.19,             94.06,,,,,,,,,,,,,,,,,,
Vanuatu,World,Intermediate goods,Import,Import(US$ Mil),,,,,,,             34.88,             35.88,             39.24,,             29.36,             21.63,,,,,,,,,,,,,,,,,,
Vanuatu,World,Raw materials,Import,Import(US$ Mil),,,,,,,             11.54,             10.36,              7.36,,              6.51,              4.75,,,,,,,,,,,,,,,,,,
Vanuatu,World,All Products,Import,Imports (in US$ Mil),,,,,,,            280.65,            276.01,            277.51,,            201.71,            159.11,,,,,,             86.74,,,,,,             83.26,             73.52,,,,,
Vanuatu,...,...,Development,"GNI per capita, Atlas method (current US$)",           2920.00,           2870.00,   2860.00,   3170.00,   3200.00,   2950.00,   2860.00,   2690.00,   2620.00,   2530.00,   2130.00,   1990.00,   1780.00,   1590.00,   1360.00,   1230.00,   1370.00,   1430.00,   1420.00,   1420.00,   1310.00,   1280.00,   1270.00,   1170.00,   1210.00,   1120.00,   1090.00,   1200.00,   1090.00,    990.00
Vanuatu,...,...,Trade Indicator,HH Market concentration index,,,,,,,      0.25,      0.32,      0.34,,      0.37,      0.35,,,,,,      0.12,,,,,,      0.08,      0.28,,,,,
Vanuatu,...,...,Trade Indicator,Index of export market penetration,,,,,,,      1.24,      1.26,      1.30,,      1.33,      1.35,,,,,,      1.41,,,,,,      1.58,      1.56,,,,,
Vanuatu,...,...,Development,Trade (% of GDP),,,,     97.95,     99.12,     99.93,     94.31,     99.37,    105.39,    102.78,     88.45,     89.54,    100.17,     98.71,     91.57,     91.70,     87.77,     87.16,     91.23,     94.74,    102.54,     99.08,     98.03,     98.99,    101.24,    100.89,    100.44,    120.02,    100.30,     95.63
Vanuatu,...,...,Development,Trade Balance (% of GDP),,,,     -0.84,     -3.47,     -1.75,     -5.63,     -6.11,     -7.17,    -12.46,     -6.86,     -7.00,     -9.41,     -7.51,     -5.02,     -7.08,    -11.86,     -8.80,    -16.48,    -10.16,      1.73,     -7.16,     -8.73,     -8.36,     -9.24,     -9.67,    -15.13,    -25.86,    -25.50,    -24.60
Vanuatu,...,...,Development,Trade in services (% of GDP),,,     62.60,     58.73,     62.54,     57.27,     54.05,     57.27,     58.52,     60.55,     49.70,     49.40,     53.83,     51.47,     54.48,     55.28,     74.54,     73.51,     69.74,     65.16,     48.36,     52.71,     49.99,     50.89,     52.56,     49.31,     49.26,     53.05,     41.11,     38.88
Vanuatu,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,     11.30,     12.20,,,,      7.78,,,,,,      6.03,,,,,,      7.63,     43.89,,,,,
Vanuatu,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,     29.67,     30.89,     29.57,,     31.06,     41.31,,,,,,     44.39,,,,,,     37.43,     42.31,,,,,
Vanuatu,Bangladesh,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,     21.46,,,,,,     15.60,,,,,,
Vanuatu,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,      4.86,,,,,,,,,,,,,,,,,,
Vanuatu,China,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,      6.92,      9.88,     10.03,,      6.62,      5.20,,,,,,,,,,,,,,,,,,
Vanuatu,Fiji,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,      8.09,,,,      6.85,     12.02,,,,,,,,,,,,,,,,,,
Vanuatu,Fiji,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,      7.98,      7.91,      9.09,,      9.10,      8.93,,,,,,      9.13,,,,,,,,,,,,
Vanuatu,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,     11.67,,,,,,,,,,,,,,,,     19.69,,,,,
Vanuatu,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,      7.06,      6.21,,,,,
Vanuatu,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,      5.87,,,,,,,,,,,,
Vanuatu,Indonesia,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,     16.10,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,      7.23,,      5.36,,,,,,,     12.03,,,,,,     23.81,,,,,,
Vanuatu,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,      5.13,,,,,,      9.53,      8.09,,,,,
Vanuatu,Malaysia,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,     20.45,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,     20.04,,,,,,
Vanuatu,New Caledonia,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,      8.26,     10.68,,      9.78,      7.24,,,,,,,,,,,,,,,,,,
Vanuatu,New Caledonia,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,      5.78,,,,,,      6.09,      6.49,,,,,
Vanuatu,New Zealand,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,     11.41,      6.86,      6.87,,,,,,,,,,,,,,,,      9.80,,,,,
Vanuatu,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,     12.69,     13.57,     13.62,,     16.75,     15.56,,,,,,     11.52,,,,,,     12.87,     13.65,,,,,
Vanuatu,Philippines,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,     18.03,     12.82,     12.05,,     13.91,,,,,,,,,,,,,,,,,,,
Vanuatu,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,     18.20,     12.76,     10.01,,     12.43,      5.42,,,,,,,,,,,,,,,,,,
Vanuatu,Uganda,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,      1.81,,,,,
Vanuatu,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,     10.22,,,,,,      7.32,      8.50,,,,,
Vanuatu,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,     26.68,     36.27,,,,,,,,,,,,,,,,,,
Vanuatu,World,All Products,Trade Indicator,Country Growth (%),,,,,,,     20.54,     60.08,    -40.21,,      2.86,      9.56,,,,,,     26.08,,,,,,    -20.79,     34.35,,,,,
Vanuatu,World,All Products,Tariff,Duty Free Tariff Lines Share (%),,,,,,,,,     13.40,,     13.16,     13.42,,,,,,,,,,,,,,,,,,
Vanuatu,World,Animal,Export,Export Product share(%),,,,,,,     18.41,     21.86,     19.48,,      6.23,      8.82,,,,,,     13.73,,,,,,     21.63,,,,,,
Vanuatu,World,Capital goods,Export,Export Product share(%),,,,,,,      1.70,      4.38,      9.43,,      3.85,      1.65,,,,,,,,,,,,      0.52,,,,,,
Vanuatu,World,Chemicals,Export,Export Product share(%),,,,,,,      5.38,      4.60,      3.15,,      1.06,      1.43,,,,,,      0.12,,,,,,      0.00,,,,,,
Vanuatu,World,Consumer goods,Export,Export Product share(%),,,,,,,      7.03,      9.37,     10.19,,      3.58,      4.22,,,,,,,,,,,,      3.69,,,,,,
Vanuatu,World,Food Products,Export,Export Product share(%),,,,,,,      9.65,     13.82,     13.74,,      7.50,      7.00,,,,,,      4.78,,,,,,      9.79,,,,,,
Vanuatu,World,Footwear,Export,Export Product share(%),,,,,,,      0.00,      0.00,      0.03,,      0.00,      0.06,,,,,,      0.09,,,,,,,,,,,,
Vanuatu,World,Fuels,Export,Export Product share(%),,,,,,,      0.07,      0.22,      4.14,,      0.46,      0.00,,,,,,      0.02,,,,,,,,,,,,
Vanuatu,World,Hides and Skins,Export,Export Product share(%),,,,,,,      0.48,      0.33,      0.31,,      0.63,      0.82,,,,,,      1.08,,,,,,      1.83,,,,,,
Vanuatu,World,Intermediate goods,Export,Export Product share(%),,,,,,,     34.38,     27.08,     13.90,,     19.18,      9.18,,,,,,,,,,,,     12.24,,,,,,
Vanuatu,World,Mach and Elec,Export,Export Product share(%),,,,,,,      1.30,      3.43,      2.81,,      2.17,      0.80,,,,,,      0.47,,,,,,      0.53,,,,,,
Vanuatu,World,Metals,Export,Export Product share(%),,,,,,,      1.75,      0.25,      0.86,,      0.19,      0.16,,,,,,      0.12,,,,,,      0.00,,,,,,
Vanuatu,World,Minerals,Export,Export Product share(%),,,,,,,      0.00,      0.02,      0.02,,      0.00,      0.43,,,,,,      0.04,,,,,,      0.00,,,,,,
Vanuatu,World,Miscellaneous,Export,Export Product share(%),,,,,,,      2.63,      4.92,     10.62,,     29.43,     40.30,,,,,,      9.24,,,,,,      7.47,    100.00,,,,,
Vanuatu,World,Plastic or Rubber,Export,Export Product share(%),,,,,,,      0.06,      0.03,      0.02,,      0.10,      0.01,,,,,,      0.01,,,,,,      0.01,,,,,,
Vanuatu,World,Raw materials,Export,Export Product share(%),,,,,,,     54.90,     55.95,     63.37,,     45.68,     48.08,,,,,,,,,,,,     79.09,,,,,,
Vanuatu,World,Stone and Glass,Export,Export Product share(%),,,,,,,      0.03,      0.03,      0.27,,      0.03,      0.01,,,,,,      0.01,,,,,,      0.02,,,,,,
Vanuatu,World,Textiles and Clothing,Export,Export Product share(%),,,,,,,      0.01,      0.04,      0.27,,      0.36,      0.17,,,,,,      0.10,,,,,,      0.06,,,,,,
Vanuatu,World,Transportation,Export,Export Product share(%),,,,,,,      0.35,      0.27,      1.54,,      0.72,      0.51,,,,,,      1.18,,,,,,      0.02,,,,,,
Vanuatu,World,Vegetable,Export,Export Product share(%),,,,,,,     58.50,     48.93,     40.89,,     48.13,     31.49,,,,,,     53.84,,,,,,     44.94,,,,,,
Vanuatu,World,Wood,Export,Export Product share(%),,,,,,,      1.37,      1.27,      1.85,,      2.97,      8.00,,,,,,     15.17,,,,,,     13.70,,,,,,
Vanuatu,World,Capital goods,Import,Import Product share(%),,,,,,,     15.02,     18.52,     22.90,,     20.87,     22.37,,,,,,,,,,,,,,,,,,
Vanuatu,World,Consumer goods,Import,Import Product share(%),,,,,,,     65.71,     61.95,     57.60,,     58.59,     59.12,,,,,,,,,,,,,,,,,,
Vanuatu,World,Intermediate goods,Import,Import Product share(%),,,,,,,     12.43,     13.00,     14.14,,     14.56,     13.59,,,,,,,,,,,,,,,,,,
Vanuatu,World,Raw materials,Import,Import Product share(%),,,,,,,      4.11,      3.75,      2.65,,      3.23,      2.99,,,,,,,,,,,,,,,,,,
Vanuatu,World,All Products,Tariff,Maximum Rate (%),,,,,,,,,   1089.24,,   1188.99,   3000.00,,,,,,,,,,,,,,,,,,
Vanuatu,World,All Products,Tariff,Simple Average (%),,,,,,,,,     18.59,,     18.51,     17.97,,,,,,,,,,,,,,,,,,
Vanuatu,World,All Products,Tariff,Weighted Average (%),,,,,,,,,     18.76,,     18.93,     15.81,,,,,,,,,,,,,,,,,,
Vanuatu,World,Capital goods,Tariff,Weighted Average (%),,,,,,,,,     12.43,,      9.91,     11.27,,,,,,,,,,,,,,,,,,
Vanuatu,World,Consumer goods,Tariff,Weighted Average (%),,,,,,,,,     22.54,,     25.15,     18.21,,,,,,,,,,,,,,,,,,
Vanuatu,World,Intermediate goods,Tariff,Weighted Average (%),,,,,,,,,     14.91,,     13.90,     13.43,,,,,,,,,,,,,,,,,,
Vanuatu,World,Raw materials,Tariff,Weighted Average (%),,,,,,,,,     30.79,,     23.03,     24.70,,,,,,,,,,,,,,,,,,
Vanuatu,World,All Products,Trade Indicator,World Growth (%),,,,,,,      9.11,     10.65,    -12.27,,      7.16,      7.61,,,,,,      7.07,,,,,,     15.29,      7.73,,,,,
