Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
 World,...,...,Development,GDP (current US$ Mil),       80737576.00,       75997380.51,       74916086.73,       79188461.75,       77098794.65,       74993708.03,       73316778.72,       65965875.33,       60267069.67,       63574889.38,       57953304.87,       51446032.77,       47487175.39,       43844755.27,       38926489.69,       34686233.46,       33401012.30,       33597862.24,       32540344.79,       31374438.28,       31453769.76,       31561865.63,       30870504.92,       27767490.34,       25852890.38,       25438770.39,       23951343.67,       22607137.53,       20104046.64,       19183316.24
 World,...,...,Export,No. Of Export partners,            238.00,            239.00,            238.00,            238.00,            239.00,            238.00,            238.00,            235.00,            236.00,            235.00,            236.00,            236.00,            234.00,            235.00,            235.00,            237.00,            236.00,            235.00,            223.00,            222.00,            222.00,            222.00,            226.00,            226.00,            226.00,            224.00,            202.00,            204.00,            203.00,            200.00
 World,...,...,Export,No. Of Export products,           4687.00,           4755.00,           4771.00,           4801.00,           4792.00,           4824.00,           4806.00,           4846.00,           4888.00,           4918.00,           4954.00,           4950.00,           4966.00,           4969.00,           4985.00,           4977.00,           4984.00,           5016.00,           5028.00,           5033.00,           5034.00,           5036.00,           5037.00,           5037.00,           5037.00,           5038.00,           5036.00,           5036.00,           5035.00,           5032.00
 World,...,...,Import,No. Of Import partners,            238.00,            238.00,            239.00,            238.00,            239.00,            238.00,            240.00,            236.00,            236.00,            236.00,            236.00,            236.00,            234.00,            235.00,            236.00,            237.00,            237.00,            236.00,            223.00,            222.00,            222.00,            222.00,            226.00,            226.00,            226.00,            224.00,            203.00,            204.00,            201.00,            199.00
 World,...,...,Import,No. Of Import products,           4827.00,           4869.00,           4862.00,           4870.00,           4873.00,           4902.00,           4909.00,           4925.00,           4938.00,           4949.00,           5010.00,           5010.00,           5020.00,           5017.00,           5020.00,           5025.00,           5033.00,           5034.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5038.00,           5036.00,           5036.00,           5036.00,           5035.00
 World,...,...,Tariff,No. Of Tariff Agreement,           1447.00,           1369.00,           1515.00,           1434.00,           1277.00,           1286.00,           1312.00,           1293.00,           1257.00,           1340.00,            847.00,            818.00,            670.00,            528.00,            413.00,            403.00,            322.00,            334.00,            277.00,            211.00,            322.00,            208.00,            155.00,             55.00,            124.00,             51.00,             44.00,             45.00,             43.00,             38.00
 World,...,...,Development,Trade Balance (current US$ Mil),         585253.40,         475449.39,         515490.49,         610284.93,         717288.39,         695025.23,         629964.01,         531308.68,         362663.17,         370159.77,         413630.46,         301381.54,         177969.30,         136467.55,          84150.33,          71232.18,         -12580.19,          15722.66,          80654.52,         117097.24,         153809.85,         121214.55,         131497.05,         118792.55,         107289.72,         108269.11,          17083.14,         -65869.39,         -72809.41,         -51600.18
 World,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,         101760.63,,,
 World,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,         112201.28,,,
 World,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,        1349258.01,        1321287.36,        1349517.97,        1532836.77,        1546313.52,        1441644.04,        1428671.15,        1184965.54,         868706.25,         902785.10,         807344.46,         669109.20,         554679.77,         472021.14,         361534.49,,,,,,,,,,,,,,,
