Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Zimbabwe,...,...,Development,GDP (current US$ Mil),          22040.90,          20548.68,          19963.12,          19495.52,          19091.02,          17114.85,          14101.92,          12041.66,           9665.79,           4415.70,           5291.95,           5443.90,           5755.22,           5805.60,           5727.59,           6342.12,           6777.38,           6689.96,           6858.01,           6401.97,           8529.57,           8553.15,           7111.27,           6890.68,           6563.81,           6751.47,           8641.48,           8783.82,           8286.32,           7814.78
Zimbabwe,...,...,Export,No. Of Export partners,,             92.00,             92.00,             89.00,             80.00,             88.00,            117.00,            120.00,            121.00,            134.00,            142.00,            144.00,            133.00,            145.00,,            151.00,            116.00,,,,,,            133.00,,,,,,,
Zimbabwe,...,...,Export,No. Of Export products,,           1344.00,           1490.00,           1510.00,           1547.00,           1425.00,           1451.00,           1472.00,           1481.00,           1734.00,           1895.00,           1984.00,           1774.00,           2241.00,,           2753.00,           1643.00,,,,,,           2840.00,,,,,,,
Zimbabwe,...,...,Import,No. Of Import partners,,            150.00,            155.00,            155.00,            149.00,            132.00,            160.00,            162.00,            153.00,            146.00,            120.00,            116.00,            137.00,            124.00,,            117.00,            140.00,,,,,,            131.00,,,,,,,
Zimbabwe,...,...,Import,No. Of Import products,,           3880.00,           3976.00,           4019.00,           4032.00,           4067.00,           4062.00,           4106.00,           4012.00,           3966.00,           4206.00,           4153.00,           3658.00,           4066.00,,           4048.00,           4039.00,,,,,,           4297.00,,,,,,,
Zimbabwe,...,...,Tariff,No. Of Tariff Agreement,,              5.00,              9.00,,,              1.00,              5.00,              1.00,,,              6.00,,,,,              1.00,              1.00,,,,,,,,,,,,,
Zimbabwe,...,...,Development,Trade Balance (current US$ Mil),          -2361.08,          -2328.57,          -3678.90,          -2497.63,          -2802.75,          -4079.50,          -2801.34,          -2871.02,          -2206.07,          -1174.04,           -455.22,           -593.84,           -514.89,           -412.20,           -324.06,           -199.00,            136.90,            150.66,            267.09,           -110.62,           -598.31,             16.30,           -190.87,           -132.27,           -113.41,           -625.05,           -283.84,              6.54,            134.41,            264.17
Zimbabwe,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             45.70,,            125.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Botswana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             30.80,,             44.01,,,,,            157.03,            201.03,,,,,,,,,,,,,,,,,,,
Zimbabwe,Botswana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            215.68,            198.60,            214.85,            408.99,            212.05,            104.63,             88.76,,,,,,,,,,,,,,,,
