Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Albania,...,...,Development,GDP (current US$ Mil),          13038.54,          11883.68,          11386.93,          13228.25,          12776.28,          12319.78,          12890.87,          11926.96,          12044.21,          12881.35,          10677.32,           8896.07,           8052.07,           7184.69,           5611.50,           4348.07,           3922.10,           3480.36,           3212.12,           2545.96,           2258.51,           3199.64,           2392.76,           1880.95,           1185.32,            652.17,           1099.56,           2028.55,           2253.09,           2051.24
Albania,...,...,Export,No. Of Export partners,            116.00,            116.00,            105.00,            106.00,            103.00,             96.00,             98.00,             97.00,             81.00,             79.00,             86.00,             81.00,             76.00,             77.00,             51.00,             51.00,             47.00,             40.00,             39.00,             37.00,             37.00,             37.00,,,,,,,,
Albania,...,...,Export,No. Of Export products,            379.00,            925.00,            665.00,            404.00,           1673.00,           1691.00,           1588.00,           1538.00,           1492.00,           1384.00,           1259.00,           1265.00,           1232.00,           1279.00,           1204.00,           1074.00,           1063.00,           1029.00,           1011.00,            887.00,            868.00,            999.00,,,,,,,,
Albania,...,...,Import,No. Of Import partners,            177.00,            177.00,            160.00,            161.00,            152.00,            147.00,            154.00,            149.00,            156.00,            151.00,            149.00,            139.00,            137.00,            133.00,            120.00,            104.00,             99.00,             92.00,             94.00,             88.00,             72.00,             75.00,,,,,,,,
Albania,...,...,Import,No. Of Import products,           2216.00,           2639.00,           2816.00,           2355.00,           3778.00,           3767.00,           3822.00,           3823.00,           3835.00,           3987.00,           3899.00,           3936.00,           3908.00,           3909.00,           3782.00,           3794.00,           3770.00,           3759.00,           3767.00,           3528.00,           3446.00,           3680.00,,,,,,,,
Albania,...,...,Tariff,No. Of Tariff Agreement,              5.00,             10.00,             10.00,             10.00,             10.00,             11.00,             11.00,              1.00,              1.00,             10.00,              8.00,              1.00,              8.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,              1.00,,,,,,,,,
Albania,...,...,Development,Trade Balance (current US$ Mil),          -1960.07,          -1999.12,          -1966.10,          -2510.97,          -2304.98,          -2295.82,          -2930.81,          -2455.11,          -2964.49,          -3458.24,          -2851.52,          -2121.53,          -2000.64,          -1624.60,          -1421.15,          -1158.06,           -934.41,           -808.26,           -556.58,           -641.66,           -565.33,           -692.87,           -534.28,           -548.02,           -575.60,           -546.43,           -232.02,           -175.00,            -64.88,            -60.29
Albania,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              5.55,,,,              6.07,              3.32,,,,,,,,,,
Albania,Bulgaria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,             25.91,,             21.86,             16.65,             35.54,,,,,,,,
Albania,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            108.39,,,             85.17,             51.90,             37.58,             27.66,,,,,,,,,,,,,,,,,,,
Albania,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            409.61,            369.41,            381.93,            331.45,            310.15,            344.53,            290.73,            329.30,            390.80,            278.68,            182.38,            172.74,            102.22,             65.50,,,,,,,,,,,,,,,
Albania,Croatia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,              5.78,,,,,,,,,
Albania,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              2.69,              5.17,,,,,,,,,,,
