Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Netherlands Antilles,...,...,Export,No. Of Export partners,,,,,,,,,,             93.00,             96.00,             98.00,            103.00,,,,,,,,,,,,,,,,,
Netherlands Antilles,...,...,Export,No. Of Export products,,,,,,,,,,           1037.00,           1066.00,           1014.00,            995.00,,,,,,,,,,,,,,,,,
Netherlands Antilles,...,...,Import,No. Of Import partners,,,,,,,,,,            132.00,            147.00,            153.00,            132.00,,,,,,,,,,,,,,,,,
Netherlands Antilles,...,...,Import,No. Of Import products,,,,,,,,,,           3577.00,           3587.00,           3545.00,           3550.00,,,,,,,,,,,,,,,,,
Netherlands Antilles,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,Aruba,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,             14.91,             20.31,             13.70,             15.75,,,,,,,,,,,,,,,,,
Netherlands Antilles,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              3.61,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              3.95,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             33.40,             26.78,,,,,,,,,,,,,,,,,
Netherlands Antilles,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,             49.96,             37.78,             29.82,             27.45,,,,,,,,,,,,,,,,,
Netherlands Antilles,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            332.29,            279.91,            252.69,            211.91,,,,,,,,,,,,,,,,,
Netherlands Antilles,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             51.85,             40.65,             35.14,             30.77,,,,,,,,,,,,,,,,,
