Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
United Arab Emirates,...,...,Development,GDP (current US$ Mil),         382575.09,         357045.06,         358135.06,         403137.10,         390107.56,         374590.61,         350666.03,         289787.34,         253547.36,         315474.62,         257916.13,         222116.54,         180617.02,         147824.37,         124346.36,         109816.20,         103311.64,         104337.37,          84445.47,          75674.34,          78839.01,          73571.23,          65743.67,          59305.09,          55625.17,          54239.17,          51552.17,          50701.44,          41465.00,          36275.67
United Arab Emirates,...,...,Export,No. Of Export partners,,            208.00,            207.00,            212.00,            216.00,            209.00,            202.00,            199.00,            196.00,            184.00,            181.00,            182.00,            183.00,            197.00,            185.00,            183.00,            177.00,            184.00,            165.00,,,,,,            136.00,             65.00,             63.00,,,
United Arab Emirates,...,...,Export,No. Of Export products,,           4260.00,           4256.00,           4343.00,           4342.00,           4321.00,              1.00,              1.00,              1.00,           4188.00,           4436.00,              1.00,           4256.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,            235.00,            178.00,            158.00,,,
United Arab Emirates,...,...,Import,No. Of Import partners,,            197.00,            199.00,            199.00,            199.00,            199.00,            190.00,            191.00,            178.00,            175.00,            167.00,            164.00,            163.00,            172.00,            166.00,            178.00,            173.00,            175.00,            164.00,,,,,,            122.00,            110.00,            112.00,,,
United Arab Emirates,...,...,Import,No. Of Import products,,           4496.00,           4481.00,           4515.00,           4513.00,           4506.00,              1.00,              1.00,              1.00,           4528.00,           4770.00,              1.00,           4744.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,           1503.00,           1489.00,           1483.00,,,
United Arab Emirates,...,...,Tariff,No. Of Tariff Agreement,,              5.00,              8.00,              4.00,              3.00,              3.00,              1.00,,              3.00,              3.00,              3.00,              3.00,              3.00,,              1.00,,,,,,,,,,,,,,,
United Arab Emirates,...,...,Development,Trade Balance (current US$ Mil),         106957.11,          90183.80,          94976.17,         121666.17,         139353.85,         132985.70,          97363.65,          41054.05,          14819.06,          29093.81,          20556.02,          39503.34,          28208.30,          15540.64,          11870.39,           6517.63,           8733.83,,,,,,,,,,,,,
United Arab Emirates,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          22424.49,          22845.15,          45002.96,          36394.41,          31897.62,          14965.28,          13588.91,          13022.62,          17356.07,          12307.98,           8502.84,           6891.00,           5313.68,           3831.20,           3038.74,           2240.40,           2062.00,,,,,,,,,,,,
United Arab Emirates,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,           1907.52,,,,,,,,            476.83,,,,
United Arab Emirates,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          12594.49,          11931.54,          14079.09,,,           8347.47,           8081.54,           8168.27,,,           5945.87,,,           3156.81,           2519.82,           2249.57,,           1845.33,,,,,,            382.29,            373.15,            264.12,,,
United Arab Emirates,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,            170.67,,,,,
United Arab Emirates,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          11255.50,          10568.52,,          19068.61,          23361.30,          24236.52,          21842.89,          12660.85,          15242.25,           9425.65,           4734.65,           5346.16,           3868.92,           1027.73,           1067.44,            586.36,,,,,,,,,,,,,
United Arab Emirates,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          18669.36,          17859.65,          22088.03,          24418.69,          25533.30,          28626.86,          22651.43,          16763.73,          16873.68,          12247.04,           8476.49,           8765.24,           7098.77,           3277.45,,,,           1983.82,,,,,,            326.84,,            220.51,,,
United Arab Emirates,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           8810.49,          10814.28,          17034.84,          17866.29,          16208.73,          14219.15,           9320.32,           7614.68,           6615.77,           6630.70,           5135.54,           3999.03,           3644.67,           2760.00,           2441.20,           1680.16,           1353.41,           1050.69,,,,,,            909.27,,,,,
United Arab Emirates,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           6772.24,          13221.54,,,,           4584.74,           4200.64,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,          34486.28,          39815.06,          36380.07,          27996.96,          13926.58,          12779.41,          10691.88,,,           8112.72,,,,,,            140.22,            147.93,            242.49,,,
United Arab Emirates,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,          14172.46,          13678.16,,,,          11610.28,           8073.72,,           4677.11,           4428.23,           3479.69,           2762.44,           2371.34,           2460.84,           2451.01,,,,,,            670.25,            671.14,            605.67,,,
United Arab Emirates,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             42.20,             34.77,,,
United Arab Emirates,Kuwait,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,            253.26,,,,,
United Arab Emirates,Oman,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,            802.70,            982.90,,,,,,,,,             21.87,,,
United Arab Emirates,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          41350.85,          46640.47,          89780.38,         105999.66,          97371.18,          95522.51,          68028.83,          47578.07,          45403.19,          17767.70,          16287.21,          11784.46,          14444.20,           8166.29,           3548.26,,,           5933.79,,,,,,,             68.20,             36.45,,,
United Arab Emirates,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          15721.50,          16455.97,,,,,,,,,,,,            476.90,            389.28,,,,,,,            202.71,,,,,
United Arab Emirates,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           7424.96,,,,          18018.60,           4872.61,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,             21.77,,,
United Arab Emirates,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             44.32,,,,
United Arab Emirates,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           2147.34,           2198.36,           2094.69,,,,,,            494.29,            415.30,            334.03,,,
United Arab Emirates,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,            386.45,            589.76,,,,,,,,,,,
United Arab Emirates,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          20587.01,          19334.45,          23997.53,          25067.25,          23561.60,          14529.03,          11259.63,          11313.40,          12244.20,           8416.80,           6376.01,           5120.09,           3792.31,,           2616.88,           2303.96,           2093.85,           2570.65,,,,,,            555.55,            527.27,            508.15,,,
United Arab Emirates,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,         153338.69,         183021.83,         127206.27,         107576.60,          93677.58,          71025.68,          57898.61,          71202.02,          71745.35,          54848.93,          55979.42,          45121.34,          39751.71,          29894.40,          24524.56,          22356.38,          28862.85,           4970.41,,,,,,,,,,,
United Arab Emirates,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          81776.70,         102855.57,          32076.66,          31997.69,          13680.65,          50364.73,          56777.73,          43995.63,          22972.83,          22597.08,          19138.60,          13946.80,          17087.13,          12074.20,           9556.48,,,,,,,,,,,,,,
United Arab Emirates,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,       86587497.72,      114791020.19,       83056205.32,       58102367.70,       45055791.26,       34433332.94,,       42326294.83,       42326295.51,       27389564.63,,       12333353.42,,,,,,,,,,,,,,,,,
United Arab Emirates,World,Animal,Export,Export(US$ Mil),,            695.00,            864.98,           1127.09,            728.58,            546.12,            454.67,            389.53,            366.91,            217.07,            217.23,            254.72,            184.86,            151.63,            122.73,             96.87,             57.84,             69.95,             89.30,,,,,,             19.94,              1.35,              0.84,,,
