Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Antigua and Barbuda,...,...,Development,GDP (current US$ Mil),           1510.08,           1464.63,           1359.19,           1275.58,           1192.92,           1211.41,           1142.04,           1152.47,           1224.25,           1368.43,           1311.40,           1157.01,           1022.19,            919.58,            855.64,            814.62,            800.74,            830.16,            766.20,            727.86,            680.62,            633.73,            577.28,            589.43,            535.17,            499.28,            481.71,            459.47,            438.79,            398.64
Antigua and Barbuda,...,...,Export,No. Of Export partners,             56.00,             51.00,             46.00,             49.00,             57.00,             59.00,             60.00,             54.00,             66.00,,             64.00,,             68.00,,,,,             55.00,             40.00,,,,,,,,,,,
Antigua and Barbuda,...,...,Export,No. Of Export products,           1032.00,            751.00,            937.00,            820.00,           1002.00,           1046.00,           1048.00,            893.00,            893.00,,            939.00,,            970.00,,,,,           1286.00,           1256.00,,,,,,,,,,,
Antigua and Barbuda,...,...,Import,No. Of Import partners,            161.00,            129.00,            137.00,            124.00,            133.00,            130.00,            125.00,            128.00,            136.00,,            142.00,            118.00,            119.00,,,,,            108.00,             91.00,,,,,,,,,,,
Antigua and Barbuda,...,...,Import,No. Of Import products,           3181.00,           3000.00,           2999.00,           2950.00,           2946.00,           3031.00,           3065.00,           3108.00,           3280.00,,           3438.00,           3249.00,           3243.00,,,,,           3455.00,           3552.00,,,,,,,,,,,
Antigua and Barbuda,...,...,Tariff,No. Of Tariff Agreement,              3.00,              3.00,              3.00,              3.00,              3.00,              2.00,              1.00,              1.00,              1.00,,              3.00,              3.00,              1.00,,,,,              1.00,              1.00,,,,,,,,,,,
Antigua and Barbuda,...,...,Development,Trade Balance (current US$ Mil),,            -77.81,            -68.22,           -151.85,           -175.23,           -158.65,           -103.61,           -155.10,           -144.85,           -326.84,           -351.08,           -270.24,           -137.45,            -58.37,            -72.11,            -46.57,            -41.24,            -31.60,            -56.49,            -24.02,            -35.00,            -64.84,            -37.32,             14.53,             40.79,             20.81,             11.99,              4.74,            -47.97,            -18.27
Antigua and Barbuda,Anguila,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              8.48,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              1.95,,,,              2.75,              2.16,,,,              8.12,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Bermuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,British Virgin Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             13.34,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,             12.59,,,,,,,,,,,,
Antigua and Barbuda,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             27.00,             20.33,             20.52,             37.66,             19.66,             19.18,             13.49,             42.14,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Curaçao,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              1.49,              2.42,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              1.84,,,              6.01,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Dominican Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              1.44,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,              1.07,,,,,,,,,,,
Antigua and Barbuda,Grenada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              1.23,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             23.34,             22.90,,,             10.27,              8.49,,,             23.97,,             24.59,             18.51,             14.77,,,,,,             36.21,,,,,,,,,,,
Antigua and Barbuda,Montserrat,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              1.00,,,,,,,,,,,,,,              1.95,,,,,,,,,,,
Antigua and Barbuda,Netherlands Antilles,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              2.28,             61.25,,             30.50,,             28.18,,,,,              1.73,,,,,,,,,,,,
Antigua and Barbuda,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             23.77,            154.44,             53.48,,,,,             40.46,             19.56,,,,,,,,,,,
Antigua and Barbuda,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              1.75,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              4.42,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             13.89,              7.84,              1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Special Categories,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             71.16,             73.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,St. Kitts and Nevis,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              1.12,,,,,             60.86,,,,             12.39,,,,,              1.60,              1.63,,,,,,,,,,,
Antigua and Barbuda,St. Vincent and the Grenadines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              3.14,,,,,,,,,,,,
Antigua and Barbuda,Suriname,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             15.31,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              1.99,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             16.94,             15.04,             15.52,             18.77,             18.78,             18.28,             22.24,,             22.34,             60.31,             57.40,,,,,             21.67,             21.34,,,,,,,,,,,
Antigua and Barbuda,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             13.02,             32.04,              6.80,              6.16,              6.81,              5.37,              2.42,              6.85,,,              4.13,,             20.17,,,,,              4.45,              1.04,,,,,,,,,,,
Antigua and Barbuda,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             34.48,             18.96,             18.87,             16.83,             14.18,             20.65,             16.65,             22.86,             28.13,,             36.81,             23.13,             35.87,,,,,             25.10,             22.26,,,,,,,,,,,
Antigua and Barbuda,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              8.45,              9.88,              7.83,              4.59,              8.91,              6.38,             11.07,             10.35,             10.63,,             23.25,,              9.28,,,,,              4.33,              3.16,,,,,,,,,,,
Antigua and Barbuda,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            272.24,            217.31,            195.06,            191.11,            179.29,            170.15,            154.66,            165.14,            219.15,,            333.27,            274.78,            256.70,,,,,            166.77,            175.97,,,,,,,,,,,
Antigua and Barbuda,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              3.66,,              2.05,              2.30,,              2.09,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            102.12,,,            161.50,,,            166.32,            140.39,            267.19,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,World,All Products,Tariff,Duty Free Imports (US$ Thousand),          48659.48,          52658.01,          51440.03,          47971.99,          42513.19,          46115.41,           6817.89,           6817.89,          18351.86,,          60268.93,          62916.60,          16560.58,,,,,           9535.18,           7507.83,,,,,,,,,,,
Antigua and Barbuda,World,Animal,Export,Export(US$ Mil),              0.36,              0.06,              0.08,              0.44,              0.72,              1.18,              1.04,              0.65,              0.39,,              0.28,,              0.39,,,,,              0.28,              0.39,,,,,,,,,,,
Antigua and Barbuda,World,Capital goods,Export,Export(US$ Mil),              8.71,              4.83,              7.51,              3.25,              5.41,              8.12,              8.23,             11.94,             19.75,,             18.26,,             11.24,,,,,             13.09,              5.73,,,,,,,,,,,
Antigua and Barbuda,World,Chemicals,Export,Export(US$ Mil),              0.60,              0.29,              0.30,              0.56,              0.69,              0.58,              0.75,              0.80,              1.16,,              1.22,,              1.19,,,,,              1.46,              1.76,,,,,,,,,,,
Antigua and Barbuda,World,Consumer goods,Export,Export(US$ Mil),             50.55,             52.42,             15.90,             12.61,             23.54,             17.32,             17.74,             19.54,            183.06,,             77.51,,            106.08,,,,,              7.04,              6.27,,,,,,,,,,,
Antigua and Barbuda,World,Food Products,Export,Export(US$ Mil),              4.59,              1.08,              1.32,              1.33,              1.18,              1.65,              2.57,              1.84,              1.50,,              2.12,,              0.84,,,,,              0.86,              0.57,,,,,,,,,,,
Antigua and Barbuda,World,Footwear,Export,Export(US$ Mil),              0.14,              0.02,              0.06,              0.03,              0.03,              0.03,              0.04,              0.03,              0.11,,              0.04,,              0.03,,,,,              0.02,              0.04,,,,,,,,,,,
Antigua and Barbuda,World,Fuels,Export,Export(US$ Mil),              0.09,              0.62,              0.29,              1.02,              4.14,              0.49,              0.70,              1.28,            168.10,,             56.83,,             84.27,,,,,              0.55,              0.09,,,,,,,,,,,
Antigua and Barbuda,World,Hides and Skins,Export,Export(US$ Mil),              0.23,              0.02,              0.03,              0.01,              0.01,              0.02,              0.03,              0.02,              0.00,,              0.02,,              0.04,,,,,              0.03,              0.01,,,,,,,,,,,
Antigua and Barbuda,World,Intermediate goods,Export,Export(US$ Mil),              2.36,              2.94,              1.44,              3.23,              1.20,              1.54,              1.50,              2.52,              2.22,,              1.86,,              2.90,,,,,              1.81,              2.15,,,,,,,,,,,
Antigua and Barbuda,World,Mach and Elec,Export,Export(US$ Mil),              6.13,              4.37,              5.25,              2.67,              4.29,              7.12,              7.27,             10.09,             18.78,,             16.49,,             10.05,,,,,             12.30,              4.24,,,,,,,,,,,
Antigua and Barbuda,World,Metals,Export,Export(US$ Mil),              3.33,              2.13,              2.69,              2.35,              3.79,              3.10,              2.12,              2.40,              1.93,,              5.67,,              3.24,,,,,              1.39,              2.05,,,,,,,,,,,
Antigua and Barbuda,World,Minerals,Export,Export(US$ Mil),              0.04,              0.00,              0.00,              0.00,              0.04,              0.01,              0.00,              0.00,              0.03,,              0.00,,              0.06,,,,,              0.20,              0.31,,,,,,,,,,,
Antigua and Barbuda,World,Miscellaneous,Export,Export(US$ Mil),              2.85,              1.05,              2.65,              2.72,              2.40,              1.48,              1.89,              5.38,              2.05,,              3.66,,              1.60,,,,,              1.58,              2.05,,,,,,,,,,,
Antigua and Barbuda,World,Plastic or Rubber,Export,Export(US$ Mil),              0.37,              0.11,              0.31,              0.15,              0.40,              0.34,              0.15,              0.16,              0.21,,              1.04,,              0.26,,,,,              0.16,              0.17,,,,,,,,,,,
Antigua and Barbuda,World,Raw materials,Export,Export(US$ Mil),              0.75,              0.84,              1.20,              1.93,              2.78,              2.03,              1.55,              0.82,              0.67,,              0.99,,              0.42,,,,,              0.56,              0.73,,,,,,,,,,,
Antigua and Barbuda,World,Stone and Glass,Export,Export(US$ Mil),              2.26,              1.29,              0.98,              1.30,              1.14,              2.29,              1.19,              1.44,              5.32,,              3.71,,              0.19,,,,,              0.19,              0.18,,,,,,,,,,,
Antigua and Barbuda,World,Textiles and Clothing,Export,Export(US$ Mil),             13.16,             12.04,              7.94,              5.80,             10.28,              8.25,              7.06,              7.15,              2.82,,              3.60,,              2.24,,,,,              1.17,              0.98,,,,,,,,,,,
Antigua and Barbuda,World,Transportation,Export,Export(US$ Mil),             27.75,             37.58,              3.43,              4.34,              3.37,              2.11,              3.86,              3.06,              2.67,,              3.23,,             14.03,,,,,              1.81,              1.69,,,,,,,,,,,
Antigua and Barbuda,World,Vegetable,Export,Export(US$ Mil),              0.07,              0.04,              0.10,              0.04,              0.09,              0.04,              0.17,              0.03,              0.02,,              0.14,,              0.12,,,,,              0.07,              0.13,,,,,,,,,,,
Antigua and Barbuda,World,Wood,Export,Export(US$ Mil),              0.40,              0.34,              0.61,              0.33,              0.36,              0.32,              0.21,              0.50,              0.62,,              0.56,,              2.08,,,,,              0.46,              0.31,,,,,,,,,,,
Antigua and Barbuda,World,All Products,Export,Exports (in US$ Mil),             62.39,             61.04,             26.05,             23.08,             32.92,             29.01,             29.03,             34.83,            205.70,,             98.63,,            120.64,,,,,             22.52,             14.97,,,,,,,,,,,
Antigua and Barbuda,World,Capital goods,Import,Import(US$ Mil),             91.33,             83.04,             59.27,             63.19,             40.73,             42.34,             42.93,             72.45,             77.30,,            120.55,            105.82,             64.33,,,,,             72.22,             71.33,,,,,,,,,,,
Antigua and Barbuda,World,Consumer goods,Import,Import(US$ Mil),            400.82,            316.30,            313.57,            391.42,            212.81,            210.49,            184.93,            209.96,            252.75,,            340.26,            463.32,            382.22,,,,,            195.49,            174.87,,,,,,,,,,,
Antigua and Barbuda,World,Intermediate goods,Import,Import(US$ Mil),             90.55,             50.03,             50.44,             52.83,             47.39,             45.13,             40.19,             43.04,             60.00,,             74.57,             69.44,             50.04,,,,,             45.83,             50.19,,,,,,,,,,,
Antigua and Barbuda,World,Raw materials,Import,Import(US$ Mil),             46.83,             33.70,             41.83,             44.29,             41.86,             41.18,             37.29,             35.52,             41.56,,             37.63,             32.10,             28.55,,,,,             24.17,             24.61,,,,,,,,,,,
Antigua and Barbuda,World,All Products,Import,Imports (in US$ Mil),            629.82,            490.53,            465.13,            551.75,            343.11,            339.51,            471.41,            501.23,            699.06,,            573.08,            670.75,            525.21,,,,,            338.19,            356.00,,,,,,,,,,,
