Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Austria,...,...,Development,GDP (current US$ Mil),         416595.67,         390799.99,         382065.93,         441885.42,         430068.71,         409425.23,         431120.31,         391892.75,         400172.30,         430294.29,         388691.45,         335998.56,         315974.42,         300904.22,         261695.78,         213377.77,         197337.88,         196799.78,         217185.79,         218259.90,         212790.35,         237250.95,         241038.28,         203535.24,         190379.72,         195078.13,         173794.18,         166463.39,         133105.81,         133339.40
Austria,...,...,Export,No. Of Export partners,            219.00,            220.00,            221.00,            217.00,            215.00,            218.00,            217.00,            214.00,            211.00,            215.00,            216.00,            218.00,            216.00,            215.00,            211.00,            214.00,            203.00,            203.00,            202.00,            195.00,            193.00,            186.00,            197.00,            205.00,,,,,,
Austria,...,...,Export,No. Of Export products,           4303.00,           4329.00,           4341.00,           4344.00,           4345.00,           4343.00,           4378.00,           4385.00,           4353.00,           4339.00,           4342.00,           4550.00,           4523.00,           4524.00,           4553.00,           4444.00,           4484.00,           4496.00,           4489.00,           4517.00,           4510.00,           4564.00,           4612.00,           4750.00,,,,,,
Austria,...,...,Import,No. Of Import partners,            220.00,            213.00,            219.00,            211.00,            195.00,            213.00,            222.00,            222.00,            220.00,            220.00,            224.00,            217.00,            215.00,            223.00,            225.00,            222.00,            212.00,            212.00,            205.00,            204.00,            198.00,            192.00,            195.00,            199.00,,,,,,
Austria,...,...,Import,No. Of Import products,           4466.00,           4499.00,           4510.00,           4510.00,           4507.00,           4514.00,           4550.00,           4551.00,           4551.00,           4546.00,           4552.00,           4802.00,           4804.00,           4813.00,           4801.00,           4779.00,           4857.00,           4847.00,           4846.00,           4862.00,           4865.00,           4883.00,           4971.00,           4911.00,,,,,,
Austria,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,...,...,Development,Trade Balance (current US$ Mil),          13185.22,          13117.81,          14239.49,          14449.31,          12111.48,          11444.15,          12047.89,          13733.98,          13416.19,          19036.38,          17057.66,          12079.24,          10129.19,           8852.86,           7205.65,           7874.93,           3351.68,           2621.48,            985.88,           -491.32,          -1726.85,          -3760.71,          -2869.13,          -3399.09,           -642.06,          -2574.31,          -1507.54,           -155.71,           -676.12,           -560.96
Austria,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           9526.90,           8779.58,           8756.28,           9625.63,           8927.90,           8577.14,           8899.48,           7191.72,           6236.58,           7318.97,           6262.15,           4707.75,,,,,,,,,,,,,,,,,,
Austria,Czech Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           7152.19,           6481.18,           6176.74,           7170.04,,,           6791.09,           5547.15,           4714.03,           6224.04,,,           3964.24,           3509.51,,,,,,,,,,,,,,,,
Austria,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7761.54,           5752.96,           6349.62,           8063.66,           7544.81,           6991.02,           6924.05,           6037.15,           5217.47,           6468.90,           5629.02,           5406.79,           4993.48,,           3970.40,,,,           2692.76,           2694.46,,           2345.82,           2393.67,           2051.41,,,,,,
