Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Belgium,...,...,Development,GDP (current US$ Mil),         492681.28,         467545.55,         455039.56,         530770.98,         520925.47,         497884.22,         527008.45,         483548.03,         484552.79,         518625.90,         471821.11,         409813.20,         387365.75,         370885.03,         319002.82,         258860.44,         237841.97,         237904.92,         260202.43,         260601.91,         254813.60,         281358.18,         289567.32,         246194.94,         225924.68,         236038.38,         211637.82,         206430.84,         165100.09,         163167.85
Belgium,...,...,Export,No. Of Export partners,            230.00,            227.00,            227.00,            230.00,            232.00,            228.00,            226.00,            224.00,            228.00,            228.00,            231.00,            224.00,            220.00,            221.00,            218.00,            220.00,            219.00,            212.00,            209.00,,,,,,,,,,,
Belgium,...,...,Export,No. Of Export products,           4466.00,           4480.00,           4482.00,           4482.00,           4484.00,           4486.00,           4509.00,           4512.00,           4524.00,           4512.00,           4504.00,           4744.00,           4752.00,           4745.00,           4736.00,           4728.00,           4799.00,           4797.00,           4796.00,,,,,,,,,,,
Belgium,...,...,Import,No. Of Import partners,            223.00,            224.00,            220.00,            223.00,            229.00,            223.00,            217.00,            220.00,            218.00,            223.00,            212.00,            205.00,            209.00,            203.00,            207.00,            204.00,            198.00,            201.00,            194.00,,,,,,,,,,,
Belgium,...,...,Import,No. Of Import products,           4511.00,           4524.00,           4535.00,           4532.00,           4541.00,           4550.00,           4573.00,           4573.00,           4572.00,           4569.00,           4575.00,           4834.00,           4839.00,           4832.00,           4843.00,           4831.00,           4897.00,           4908.00,           4915.00,,,,,,,,,,,
Belgium,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,...,...,Development,Trade Balance (current US$ Mil),           3467.89,           6222.32,           6185.82,           3365.66,           6469.68,           3070.44,           2726.89,           8688.09,          10964.43,           2509.74,          18014.37,          15279.39,          14201.72,          17439.41,          16594.13,          14249.39,           7958.84,           6271.42,           9888.24,           8626.03,           8732.07,           7949.71,          10030.51,           7983.60,           6425.18,           5136.09,           3154.93,           2834.37,           2965.51,           3292.05
Belgium,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          64006.98,          61286.64,          61289.23,          74130.78,          79663.13,          69591.37,          78194.43,          67673.87,          66296.05,          82435.03,          72302.20,          61730.84,          57659.47,          52705.25,          44109.48,          35241.20,          33091.49,          33013.92,          31964.54,,,,,,,,,,,
Belgium,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          38535.11,          35257.73,          35321.58,          46132.44,          51116.96,          46015.94,          49422.50,          43135.05,          40872.94,          51928.60,          45896.24,          39068.69,          36206.01,          35071.97,          30719.80,          24938.89,          24062.29,          22419.90,          22612.86,,,,,,,,,,,
Belgium,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          71402.59,          66355.36,          66997.07,          79287.07,          86566.02,          77807.53,          86287.76,          75642.49,          71617.43,          93191.91,          83981.56,          72001.08,          64547.77,          60634.65,          49759.68,          40235.87,          34503.39,          31819.77,          31722.83,,,,,,,,,,,
