Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Benin,...,...,Development,GDP (current US$ Mil),           9246.70,           8573.16,           8291.16,           9707.43,           9157.36,           8152.55,           7814.08,           6970.24,           7097.20,           7132.79,           5969.54,           5142.38,           4803.70,           4521.42,           3905.37,           3054.57,           2680.21,           2569.19,           2689.79,           2455.09,           2268.30,           2361.12,           2169.63,           1598.08,           2274.56,           1695.32,           1986.44,           1959.97,           1502.29,           1620.25
Benin,...,...,Export,No. Of Export partners,,             96.00,             97.00,            100.00,             98.00,             84.00,             78.00,             72.00,             73.00,             87.00,             74.00,             77.00,             81.00,             79.00,             86.00,             85.00,             75.00,             71.00,             68.00,             87.00,,,,,,,,,,
Benin,...,...,Export,No. Of Export products,,            688.00,            592.00,            698.00,            492.00,            447.00,            465.00,            418.00,            501.00,            396.00,            345.00,            311.00,            358.00,            291.00,            374.00,            354.00,            337.00,            302.00,            386.00,            405.00,,,,,,,,,,
Benin,...,...,Import,No. Of Import partners,,            154.00,            152.00,            163.00,            167.00,            158.00,            138.00,            143.00,            130.00,            149.00,            137.00,            132.00,            122.00,            131.00,            129.00,            121.00,            135.00,            130.00,            125.00,            121.00,,,,,,,,,,
Benin,...,...,Import,No. Of Import products,,           2654.00,           2682.00,           2643.00,           2583.00,           2550.00,           2537.00,           2615.00,           2637.00,           2692.00,           2572.00,           2401.00,           2433.00,           2542.00,           2593.00,           2630.00,           2551.00,           2371.00,           2789.00,           2458.00,,,,,,,,,,
Benin,...,...,Tariff,No. Of Tariff Agreement,,              2.00,              2.00,              8.00,              8.00,              8.00,              8.00,              2.00,              2.00,              4.00,              2.00,              2.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,
Benin,...,...,Development,Trade Balance (current US$ Mil),          -1202.47,           -980.34,           -822.34,          -1117.32,           -858.39,           -710.69,           -642.53,           -631.82,           -788.03,           -769.53,           -754.07,           -503.74,           -382.01,           -394.86,           -419.99,           -339.32,           -444.31,           -352.26,           -465.16,           -132.77,            -98.88,            -83.12,           -196.62,           -123.79,           -237.76,           -173.98,           -185.53,           -144.21,           -169.90,           -296.17
Benin,Bangladesh,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             41.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            120.02,             95.23,,             63.44,             74.95,,,,,,,,,,,,,,,,,,,,
Benin,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             10.41,             16.93,             41.02,             54.62,,,,,,,,,,
Benin,Chad,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             43.73,             59.60,             40.56,             21.07,             22.89,,,,,,,,,,,,,,,,,,,,,
Benin,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             27.28,,             95.42,            120.51,            115.27,             60.62,             53.48,             78.70,             70.07,             65.77,             53.93,            104.19,             93.07,             62.32,             16.35,,,,,,,,,,,,,,
Benin,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            221.44,            266.53,            285.47,            294.95,            191.81,            192.42,            217.89,            208.16,            227.40,            162.67,             85.37,             79.06,             59.56,             63.10,             46.57,             47.99,             29.64,             42.75,,,,,,,,,,,
Benin,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             11.67,             12.93,,,,,,,,,,,,,,,,,,
Benin,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             68.96,             62.43,             62.46,             47.81,             40.71,             32.63,             50.86,             37.23,             90.16,,,,,,,,,,
Benin,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             65.07,,,,,,,,,,
Benin,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            264.93,            288.76,            304.05,            343.74,            318.19,            324.31,            313.72,            271.67,            288.20,            284.42,            172.85,            165.39,            194.61,            216.10,            173.87,            138.62,            146.86,            181.90,            167.27,,,,,,,,,,
Benin,Gabon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            144.13,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Ghana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             21.63,,,,,,,,             13.54,             10.71,,,,,,,,,,,,,
Benin,Ghana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             68.37,             64.36,             63.92,             54.78,             40.32,             29.42,             26.70,,,,,,,,,,,,
Benin,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             63.10,             81.14,             82.99,             71.10,             51.40,             38.11,             24.82,             34.99,             38.40,             32.11,             19.39,             19.91,             21.93,             27.44,             42.46,             55.68,             60.24,             32.38,,,,,,,,,,,
Benin,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            391.72,            242.68,            477.32,            331.95,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             38.82,,             27.66,,,             24.59,,,,             24.25,             25.30,             24.08,             10.18,              9.52,             20.73,,,,,,,,,,,
Benin,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             12.10,,,,,,,,,,,,
Benin,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             53.99,             54.99,,,             32.00,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            121.47,             77.60,,,,,,,,,             32.20,             40.29,             41.00,,,,,,,,,,
Benin,Niger,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             59.95,             57.48,,,,,,,             12.35,             16.10,             15.14,             17.75,,,,,,             29.00,,,,,,,,,,
Benin,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             27.09,,             48.78,             70.21,             41.17,             46.09,            226.03,            169.74,             88.35,             38.06,             19.55,             16.57,,             12.76,             35.98,,,             12.85,             14.98,,,,,,,,,,
Benin,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             49.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             42.66,,,,,,,,,,,,,,,
Benin,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             10.51,,             15.72,,,,             10.99,             16.22,,,,,,,,,,
Benin,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            326.50,            191.39,            449.72,            196.18,            109.86,,            184.32,,            102.26,            117.60,,             59.79,,,,,,,,,,,,,,,,,
Benin,Togo,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,             14.40,,,,,,,,,,,,,,,,
Benin,Togo,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            191.35,            211.29,            263.17,            301.73,            230.69,            247.67,            169.56,            168.77,            120.39,            131.63,,,,,             35.95,             37.39,,,,,,,,,,,,,
Benin,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              8.97,,,,,,,,,,,,
Benin,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             94.39,,,,             88.97,             63.26,,             46.71,,,,,,             57.09,,,,,,,,,,
Benin,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             40.33,             47.73,,,,,,,,,,
Benin,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,             44.13,,,,,,,             22.58,,,,,,,,,,,,,
Benin,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             46.73,,,,,,             13.32,,,,,,,,,,,,,,,,,,,,,
Benin,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,         350171.06,          52273.70,         194229.00,         256502.28,         191462.55,         191462.55,         135189.35,         146573.72,         122658.22,          70884.07,          96560.57,          42889.78,          46727.94,          41503.91,          42554.96,          33714.61,,,,,,,,,,,,,
Benin,World,Animal,Export,Export(US$ Mil),,              1.99,              4.37,             10.56,              5.47,              1.58,              1.26,             96.41,             67.26,              0.26,              6.17,              1.44,              1.55,              0.88,              2.13,             36.71,             11.41,              2.03,              0.98,              2.97,,,,,,,,,,
Benin,World,Capital goods,Export,Export(US$ Mil),,             17.02,             72.25,            191.48,             20.18,             10.63,             22.26,             29.53,             19.52,             50.80,              3.56,              1.60,              9.09,              2.98,              3.89,              1.77,              1.74,              2.10,              1.73,              1.16,,,,,,,,,,
Benin,World,Chemicals,Export,Export(US$ Mil),,              4.56,              3.06,              7.60,              3.52,              3.56,              2.97,              3.22,              2.62,              1.16,              1.31,              1.82,              2.57,              4.38,              2.13,              2.00,              1.34,              1.31,              0.75,              0.96,,,,,,,,,,
Benin,World,Consumer goods,Export,Export(US$ Mil),,             57.62,             70.44,            203.46,             85.77,             86.17,             90.72,            153.13,             79.14,             50.50,             55.46,             54.83,             36.38,             29.36,             20.10,             15.81,              8.46,              7.48,              9.26,             33.32,,,,,,,,,,
Benin,World,Food Products,Export,Export(US$ Mil),,             15.60,             12.69,             19.90,             32.81,             26.69,             15.44,             15.56,             35.09,             33.89,             39.09,             45.16,             27.69,             26.55,             18.59,             13.84,              7.70,              5.38,              5.68,             26.04,,,,,,,,,,
