Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Bahamas, The",...,...,Development,GDP (current US$ Mil),          12162.10,          11838.80,          11792.30,          10957.30,          10627.60,          10720.50,          10070.45,          10095.76,           9981.96,          10526.00,          10618.34,          10167.25,           9836.20,           9055.29,           8870.09,           8881.16,           8317.83,           8076.47,           7683.87,           6833.22,           6332.36,           3609.00,           3429.00,           3259.00,           3092.00,           3109.00,           3111.16,           3166.00,           3062.00,           2817.90
"Bahamas, The",...,...,Export,No. Of Export partners,,,             65.00,             64.00,             67.00,             66.00,             78.00,             71.00,             72.00,             82.00,             69.00,             66.00,             30.00,             67.00,             68.00,             63.00,             65.00,             70.00,             68.00,             69.00,             58.00,,,,,,,,,
"Bahamas, The",...,...,Export,No. Of Export products,,,           1132.00,           1155.00,           1201.00,           1153.00,           1116.00,           1184.00,           1198.00,           1225.00,           1107.00,           1162.00,             64.00,           1148.00,           1114.00,           1168.00,           1428.00,           1319.00,           1205.00,           1340.00,           1142.00,,,,,,,,,
"Bahamas, The",...,...,Import,No. Of Import partners,,,            103.00,            100.00,             92.00,             97.00,             95.00,             69.00,             63.00,             64.00,             66.00,             65.00,             80.00,             77.00,             91.00,             81.00,             81.00,             87.00,             76.00,             77.00,             74.00,,,,,,,,,
"Bahamas, The",...,...,Import,No. Of Import products,,,           3860.00,           3783.00,           3766.00,           3817.00,           3810.00,           3871.00,           3865.00,           3998.00,           3912.00,           4028.00,           4105.00,           4078.00,           4065.00,           4074.00,           4232.00,           4257.00,           4175.00,           4232.00,           4275.00,,,,,,,,,
"Bahamas, The",...,...,Tariff,No. Of Tariff Agreement,,,              2.00,              2.00,              2.00,,              1.00,              1.00,,,,              1.00,,,,              1.00,,,              1.00,,,,,,,,,,,
"Bahamas, The",...,...,Development,Trade Balance (current US$ Mil),           -991.80,           -221.30,           -439.20,          -1312.70,           -596.80,           -857.30,          -1355.80,           -885.30,           -812.50,           -888.60,           -831.30,          -1111.50,           -381.30,             38.80,             49.40,            184.10,           -362.30,           -286.70,           -214.30,           -574.80,           -378.30,           -353.01,           -184.04,            -76.88,             17.73,            -30.08,           -131.18,            -56.94,           -102.19,
"Bahamas, The",Barbados,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             96.88,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,             16.45,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             14.24,,,,,,,,,,,,,,,,,
"Bahamas, The",Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              5.46,             14.31,             22.78,             25.08,             21.84,             20.06,             25.17,             36.37,             38.42,             16.47,             16.86,             11.84,,,,,,              6.37,              3.90,,,,,,,,,
"Bahamas, The",Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             18.16,,,,             14.03,,             22.07,             23.45,,             14.03,,             11.22,             19.90,             22.10,             21.50,             39.12,             10.85,,,,,,,,,
"Bahamas, The",China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             60.29,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",Dominica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             47.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",Finland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             14.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             19.36,             25.86,             22.27,             26.32,             26.89,             21.81,             23.61,             25.27,             33.01,             39.97,             35.37,             33.71,             36.71,             26.27,             21.50,             23.93,             21.13,             25.64,             20.89,,,,,,,,,
"Bahamas, The",France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             32.04,,,,,,,,,             13.47,,,,,,,,,             11.85,,,,,,,,,
"Bahamas, The",Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             10.31,             28.07,             11.31,,,             30.85,             15.98,             29.76,             30.02,             11.91,             13.19,             13.69,             14.52,,             10.76,,,,,,,,,,,
"Bahamas, The",Ghana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              8.92,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",Ireland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             25.09,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             35.81,             28.75,             42.84,             31.30,             19.48,,,             26.32,             33.21,             35.08,             30.29,             23.93,             22.50,             18.80,             22.63,             25.02,             21.86,             23.78,,,,,,,,,,
"Bahamas, The",Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             13.01,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,              3.52,,,,,,,,,
"Bahamas, The",Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             28.36,,,,,,,,,,
"Bahamas, The",Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             40.06,             21.32,             37.74,,,,,,,,,,,,,,,,,,,
"Bahamas, The",Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             23.03,             65.48,             87.59,            175.88,            184.40,             43.58,             30.78,             35.53,             49.66,             51.53,             37.29,,             41.42,,,,,,,,,
"Bahamas, The",Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             22.87,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              9.22,              9.20,             12.51,              9.74,             11.87,              4.13,,,,,,,,,,
"Bahamas, The",Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             50.43,,,,,,,,,,
"Bahamas, The",Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,             16.73,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             57.28,             81.86,            142.79,            159.12,             66.01,             44.22,             36.39,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              6.10,,             30.54,,             31.61,             30.76,             19.03,,,             21.80,              8.88,             14.31,             17.40,             16.55,             12.03,              9.64,             14.13,              6.91,              3.82,,,,,,,,,
"Bahamas, The",United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             18.74,,,,,,             14.88,,,,,,             20.89,,             11.80,,,,,,,,,
"Bahamas, The",United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            367.79,            569.87,            678.64,            675.87,            569.24,            471.50,            419.15,            490.47,            479.94,            363.22,            164.92,            306.40,            267.77,            302.77,            291.47,            433.94,            338.86,            227.03,            140.23,,,,,,,,,
"Bahamas, The",United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           2587.84,           3250.89,           3005.69,           3080.82,           3032.52,           2600.10,           2451.89,           2817.88,           2744.73,           2615.16,           2204.92,           1743.55,           1617.11,           1673.89,           1605.46,           1759.22,           1522.05,           1567.70,           1472.77,,,,,,,,,
"Bahamas, The",Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             94.51,             28.64,             40.47,             96.59,             55.82,             23.34,,,,,,,             17.09,,,,,,,,,,,,,,,
"Bahamas, The",Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             29.39,,,,,,,,,,,,
