Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Belarus,...,...,Development,GDP (current US$ Mil),          54456.47,          47749.06,          56454.73,          78813.84,          75527.98,          65685.10,          61757.79,          58665.09,          50874.08,          60763.48,          45277.40,          36954.31,          30207.57,          23144.35,          17827.79,          14594.25,          12354.82,          12736.86,          12138.49,          15222.01,          14128.41,          14756.85,          13972.68,          14932.02,          16280.99,          17037.04,          18000.00,          21650.00,,
Belarus,...,...,Export,No. Of Export partners,            165.00,            161.00,            160.00,            158.00,            157.00,            159.00,            155.00,            154.00,            140.00,            138.00,            142.00,            137.00,            136.00,            139.00,            137.00,            125.00,            131.00,            123.00,            121.00,            119.00,,,,,,,,,,
Belarus,...,...,Export,No. Of Export products,           3688.00,           3676.00,           3504.00,           3446.00,           3403.00,           3368.00,           3297.00,           2964.00,           2798.00,           2903.00,           3005.00,           3023.00,           3124.00,           3564.00,           3514.00,           3543.00,           3562.00,           3466.00,           3525.00,           3522.00,,,,,,,,,,
Belarus,...,...,Import,No. Of Import partners,            187.00,            178.00,            175.00,            115.00,            178.00,            175.00,            182.00,            169.00,            166.00,            163.00,            158.00,            155.00,            157.00,            146.00,            139.00,            148.00,            139.00,            141.00,            125.00,            133.00,,,,,,,,,,
Belarus,...,...,Import,No. Of Import products,           4228.00,           4234.00,           4217.00,           4244.00,           4237.00,           4214.00,           4218.00,           4180.00,           4142.00,           4188.00,           4376.00,           4363.00,           4362.00,           4435.00,           4417.00,           4405.00,           4445.00,           4399.00,           4286.00,           4302.00,,,,,,,,,,
Belarus,...,...,Tariff,No. Of Tariff Agreement,              8.00,              7.00,              7.00,              7.00,              6.00,              6.00,              6.00,              6.00,              9.00,              9.00,,,,,,              1.00,              1.00,              1.00,,,,,,,,,,,,
Belarus,...,...,Development,Trade Balance (current US$ Mil),            -10.09,            -91.02,             60.24,           -606.41,          -2378.23,           2935.17,           -644.46,          -7537.46,          -5536.48,          -4693.35,          -2837.88,          -1541.91,            214.86,          -1472.87,           -682.64,           -546.85,           -438.56,           -405.99,           -294.78,           -739.10,           -818.94,           -601.38,           -613.10,          -1916.75,          -2561.98,            370.37,              0.00,            500.00,,
Belarus,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2697.84,           2117.30,           2321.41,,           2827.15,           2345.02,           2166.47,           1684.08,           1080.13,           1414.81,            815.79,            548.62,,,,,,,,,,,,,,,,,,
Belarus,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1102.85,            936.34,           1073.74,           1640.62,           1736.11,           1725.49,           1819.41,,            987.43,,,,,,            421.18,            347.94,,,            215.46,            199.55,,,,,,,,,,
Belarus,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1707.87,           1318.68,           1384.40,           2410.80,           3034.00,           2729.50,           2553.01,           2385.26,           2211.06,           2791.66,           2171.43,           1669.93,           1121.07,           1081.04,            820.67,            693.08,            604.08,            587.56,            692.88,            757.61,,,,,,,,,,
Belarus,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            300.46,,,            164.14,            162.62,            167.86,,,,,,,,,,,
Belarus,Latvia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,           3269.68,           3151.03,            929.53,           1655.85,           2140.99,,,,,,            520.11,            492.27,            467.31,            260.39,            171.37,,,,,,,,,,
Belarus,Lithuania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           1072.55,,,,,,,,,,,,            275.80,            348.78,,,,,,,,,,,,
Belarus,Lithuania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           3290.01,,,,,,,,,,,,,,,,            207.96,,,,,,,,,,
Belarus,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1107.95,            926.61,           1149.48,           1708.59,           3330.13,           7551.11,           6128.30,           2845.62,           3698.00,           5408.17,           4277.33,           3494.52,           2408.31,            924.38,            413.81,            279.01,,,,,,,,,,,,,,
Belarus,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,           1798.40,           1226.16,           1032.80,            847.34,            728.75,            434.17,,            248.00,            276.75,            208.30,            184.89,,,,,,,,,,
Belarus,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1334.72,           1181.29,           1083.53,           2431.80,           1578.89,           1347.69,,,            786.57,           1154.87,            819.06,            765.04,            578.92,            474.97,            348.49,            221.80,            201.97,            215.77,            212.38,            282.84,,,,,,,,,,
Belarus,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          12835.28,          10901.67,          10301.11,          15071.59,          16733.68,          16161.36,          14397.67,           9953.65,           6718.49,          10551.90,           8878.58,           6849.62,           5713.92,           6462.98,           4879.86,           3977.11,           3962.72,           3715.70,           3221.99,           4608.11,,,,,,,,,,
Belarus,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          19359.49,          14973.02,          16894.29,          21868.62,          22573.33,          27268.58,          24709.84,          18080.61,          16726.30,          23507.36,          17204.88,          13084.34,          10093.61,          11142.57,           7601.92,           5922.30,           5437.89,           5549.71,           3766.70,           4670.35,,,,,,,,,,
Belarus,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3357.69,           2833.29,           2512.18,           4056.81,           4193.28,           5554.36,           4157.63,           2560.08,           1691.51,           2777.90,           1469.84,           1234.05,            907.84,            539.81,,,            421.82,            559.73,            280.57,            386.87,,,,,,,,,,
Belarus,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1213.39,            977.33,            949.01,           1778.75,           2048.93,           2305.16,           2028.78,           1879.30,           1290.04,           2115.12,           1534.35,           1224.69,            893.91,            544.94,            362.07,            290.66,            277.43,            340.57,            415.72,            739.90,,,,,,,,,,
Belarus,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2398.50,           1076.84,           2928.88,           2923.97,,,,            935.25,,,           1528.93,           1474.92,           1120.40,           1147.56,            938.27,            493.73,,,,,,,,,,,,,,
Belarus,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           2387.75,           1205.33,,,,,            511.19,,            285.65,            229.83,,,,,,,,,,,,,,
Belarus,World,All Products,Tariff,Duty Free Imports (US$ Thousand),       16728795.28,       18488072.40,       20079175.10,       26801739.50,       28251578.50,       33089819.00,       30867503.90,       22977863.50,       19319247.40,       27191075.30,,,,,,          30268.20,          43605.80,          43900.20,,,,,,,,,,,,
Belarus,World,Animal,Export,Export(US$ Mil),           3041.49,           2680.44,           2587.53,           3373.40,           3435.03,           2909.32,           2568.49,           2209.89,           1517.14,           1501.35,           1205.90,            921.38,            706.54,            554.84,            355.67,            240.68,            275.59,            186.60,            152.76,            227.00,,,,,,,,,,
Belarus,World,Capital goods,Export,Export(US$ Mil),           4582.50,           3645.51,           3210.79,           4913.86,           6149.89,           6875.36,           6163.81,           4239.85,           3032.75,           5697.15,           4973.04,           3640.83,           2932.40,           2812.32,           2206.38,           1868.64,           1802.82,           1734.76,           1600.11,           1978.92,,,,,,,,,,
Belarus,World,Chemicals,Export,Export(US$ Mil),           3629.77,           3183.75,           4202.38,           4263.72,           3357.54,           7616.30,           6587.10,           3281.16,           2633.49,           4578.47,           2105.64,           1590.71,           1535.76,           1270.83,            997.80,            827.12,            850.49,            808.59,            798.55,            879.71,,,,,,,,,,
Belarus,World,Consumer goods,Export,Export(US$ Mil),          12348.75,           9859.27,          12142.16,          17245.78,          17793.09,          22826.16,          19515.55,          11923.90,          11069.68,          15883.83,          12077.44,          10389.55,           7929.23,           6315.52,           4274.80,           3365.99,           3092.22,           3161.45,           2112.95,           2675.88,,,,,,,,,,
Belarus,World,Food Products,Export,Export(US$ Mil),           1206.57,            871.06,            925.42,           1290.35,           1386.66,           1225.06,            931.04,            769.82,            547.63,            524.03,            463.74,            453.14,            542.80,            520.29,            376.00,            323.68,            253.16,            235.35,            219.24,            274.41,,,,,,,,,,
Belarus,World,Footwear,Export,Export(US$ Mil),            191.97,             62.68,             48.70,             82.59,             88.39,             75.03,             64.28,             55.98,             48.05,             74.14,            120.33,            101.90,             86.76,            113.89,             98.67,             92.40,             93.13,             94.74,            102.61,            135.23,,,,,,,,,,
Belarus,World,Fuels,Export,Export(US$ Mil),           6917.78,           4848.59,           7768.49,          12084.11,          12043.52,          16390.89,          14516.83,           7015.97,           7977.28,          12089.92,           8512.84,           7562.91,           5557.09,           3697.82,           2194.12,           1624.41,           1324.59,           1452.44,            535.57,            550.36,,,,,,,,,,
Belarus,World,Hides and Skins,Export,Export(US$ Mil),             79.53,             70.15,             77.05,             80.75,            125.20,            144.41,             93.90,             79.62,             56.26,             80.39,             83.21,             89.35,             80.97,             99.43,             96.61,             81.81,             56.81,             47.80,             37.18,             43.28,,,,,,,,,,
