Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Belize,...,...,Development,GDP (current US$ Mil),           1862.61,           1806.65,           1762.50,           1692.96,           1608.44,           1563.83,           1486.60,           1396.73,           1335.22,           1368.63,           1290.54,           1217.44,           1114.20,           1057.85,            990.37,            932.55,            871.86,            832.07,            732.73,            688.99,            654.31,            641.38,            620.14,            580.86,            559.86,            518.24,            444.72,            412.09,            369.13,            320.09
Belize,...,...,Export,No. Of Export partners,             76.00,             69.00,             76.00,             74.00,             72.00,             67.00,             57.00,             42.00,             39.00,             42.00,             60.00,             56.00,             56.00,             62.00,             55.00,             34.00,             38.00,             51.00,             68.00,             45.00,             49.00,             46.00,             43.00,             39.00,             42.00,             47.00,,,,
Belize,...,...,Export,No. Of Export products,            797.00,            771.00,            672.00,            804.00,            498.00,            521.00,            616.00,            156.00,            133.00,            157.00,            394.00,            405.00,            415.00,            437.00,            379.00,            117.00,            131.00,            447.00,           1659.00,            588.00,            430.00,            612.00,            458.00,            588.00,            596.00,            683.00,,,,
Belize,...,...,Import,No. Of Import partners,            109.00,            111.00,            117.00,            119.00,            111.00,            113.00,            110.00,             88.00,            115.00,            112.00,            101.00,             94.00,             99.00,            100.00,            105.00,            115.00,            108.00,             86.00,            103.00,             72.00,             64.00,             72.00,             72.00,             75.00,             78.00,             83.00,,,,
Belize,...,...,Import,No. Of Import products,           3234.00,           3303.00,           3319.00,           3246.00,           3196.00,           3115.00,           2990.00,           2981.00,           3056.00,           3021.00,           3014.00,           3073.00,           3040.00,           3079.00,           3093.00,           3133.00,           3102.00,           3232.00,           3834.00,           3140.00,           2345.00,           2327.00,           2317.00,           2320.00,           2317.00,           2358.00,,,,
Belize,...,...,Tariff,No. Of Tariff Agreement,              6.00,              6.00,              6.00,              6.00,              6.00,              6.00,              4.00,              4.00,              3.00,              3.00,              3.00,              4.00,,,              1.00,              1.00,              1.00,,              1.00,,,              1.00,,,,,,,,
Belize,...,...,Development,Trade Balance (current US$ Mil),            -63.52,           -159.92,           -128.35,            -49.11,            -19.47,              9.89,            -24.97,              5.62,            -61.49,            -99.66,             -1.60,             -6.31,            -89.52,            -84.13,           -126.28,           -126.52,           -158.95,           -172.25,            -95.49,            -29.95,            -19.16,             -1.68,             -7.13,            -15.14,            -19.56,            -16.58,            194.00,             -9.50,            -39.27,            -21.30
Belize,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             13.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,             51.95,,,,,,,,,,,
Belize,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              3.82,,,              5.84,              4.37,              6.94,             10.23,              8.30,              5.93,,,,
Belize,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,              7.78,,              7.87,,              5.73,,,,,
Belize,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            102.67,            111.65,            100.83,            106.59,            104.86,            109.42,            118.31,             67.93,             60.48,             68.12,,,              9.83,,,,,,,,,,,,,,,,,
Belize,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             12.60,,             49.70,             31.54,             21.54,,,,,,,,,,,,,,,,,,
Belize,Cuba,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             58.44,,             78.12,,             64.70,,,             47.21,             57.86,             20.16,,             13.59,,             20.72,,,,,,,,
Belize,Curaçao,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             73.91,             70.72,             89.20,            124.77,            116.61,            117.64,            121.96,,,,,,,,,,,,,,,,,,,,,,,
Belize,Dominican Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             11.16,,,,,,,,,,,,,,,,,,,,,,,
Belize,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,              3.84,,,,,,
Belize,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,              8.42,,              2.84,,,,,
Belize,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             22.77,             27.42,,              6.90,,,,,,,,,,,,,,,,,,,,,
Belize,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             63.43,             66.92,             72.41,             75.82,             61.84,             57.41,             55.96,             55.98,             53.41,,             47.09,             42.79,             28.79,             21.18,             16.01,             17.97,             16.51,,,              8.24,,              7.50,,              8.80,              7.61,              6.33,,,,
Belize,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             22.35,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,Ireland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             11.28,             14.33,,,,,,,,,,,             10.51,,,,,,,,,,,,,,,,
Belize,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             14.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             14.95,             13.88,,             15.14,,,,,,,,             11.13,              9.63,             10.98,              9.45,,,              4.90,              4.45,              5.30,,,,,,,,,,
Belize,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              8.22,,,,,,,,              8.85,             14.24,,,,,,,,,,,,,
Belize,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             12.20,             27.40,,,,,,,,,              9.11,,,,,,,              6.20,              5.88,              5.79,              4.53,             11.91,             11.94,             17.00,,,,
Belize,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            101.90,            103.33,            107.53,            107.73,            105.34,             91.08,             76.28,             70.20,             68.48,             78.51,             65.81,             60.46,             51.08,             48.69,             38.32,             37.65,             43.66,             41.42,              8.51,             34.62,             36.16,             31.15,             28.47,             24.91,             26.88,             24.16,,,,
Belize,Namibia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             55.69,,,,,,,,,,,,,,,
Belize,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             11.52,,             16.75,             22.92,             25.92,,             10.27,              7.81,              8.81,             20.69,             16.01,,,              6.29,             13.99,             12.34,             18.24,,             13.70,             12.38,,,,,,,,,
Belize,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,             21.69,,,,,,,,              8.06,,,,
Belize,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             99.89,,             70.45,,             40.52,,,,             21.56,,,             26.39,,             12.55,             14.51,,,,,,
Belize,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             38.07,,,,,,,,,,,,,,,,,,,
Belize,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,             37.74,,             74.46,             66.73,             63.50,,,,,             34.75,,,,,,,,,,,,,
Belize,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,              7.49,,,,,,,,,,,
Belize,Suriname,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,             12.00,,,,,,,,,,,
Belize,Suriname,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             14.45,,,,,,,,,,,
Belize,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             13.47,,             19.87,             16.22,             10.59,,              6.87,              7.82,,,             11.21,             10.17,              6.07,,,,             43.44,,,,,,,              3.85,,,,
Belize,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,            134.25,,,,,,,,,,,
Belize,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             76.75,             69.84,             81.89,             89.79,             89.16,             77.54,             65.88,             73.65,             79.46,             57.93,             47.99,             44.31,             41.30,             40.11,             46.88,             36.97,             31.28,             48.21,,             51.11,             52.98,             60.40,             68.47,             43.42,             41.94,             32.10,,,,
Belize,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             10.43,             11.95,             15.22,             11.78,             16.13,             18.86,             19.63,             23.18,,,,
Belize,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             73.01,             81.70,            122.17,            135.62,            159.88,            182.74,            224.80,            138.54,            119.46,            132.67,             71.43,            115.25,            111.84,            116.46,            114.27,             60.66,             92.09,            109.53,,             66.03,             82.28,             70.75,             59.09,             63.34,             53.25,             64.14,,,,
Belize,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            325.48,            356.46,            342.19,            305.11,            294.49,            254.15,            263.10,            335.41,            231.20,            286.01,            232.14,            256.44,            176.78,            151.19,            183.25,            176.05,            239.36,            224.20,             60.38,            156.65,            147.90,            140.81,            139.84,            138.45,            159.88,            156.08,,,,
Belize,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             28.08,             12.82,,,,,             10.06,,,,,,,,
Belize,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            135.18,            155.60,            145.93,,,,,,,,,,,,,,
Belize,World,All Products,Tariff,Duty Free Imports (US$ Thousand),         164750.61,         164969.28,         180266.74,         204021.63,         169444.34,         145965.16,         125424.93,          87683.46,          88038.38,          94019.08,          80192.00,          71871.12,,,          63079.96,          45168.90,          48889.39,,           7572.10,,,          29634.26,,,,,,,,
Belize,World,Animal,Export,Export(US$ Mil),             20.66,             21.69,             44.76,             57.46,             56.69,             29.10,             25.76,             31.22,             26.25,             23.84,             21.29,             43.58,             43.52,             54.04,             55.32,,             12.06,             33.52,              0.21,             20.55,             18.54,             12.98,             16.11,             14.49,             10.68,             12.30,,,,
Belize,World,Capital goods,Export,Export(US$ Mil),              8.87,              8.22,              6.71,             15.56,             10.13,              7.54,              7.76,              0.03,              0.03,              0.06,              3.11,              1.80,              1.14,              3.19,              8.24,              0.04,              0.13,              2.71,              1.34,              5.54,              4.44,              4.10,              3.66,              7.54,              3.71,              5.73,,,,
Belize,World,Chemicals,Export,Export(US$ Mil),             15.65,              7.68,              7.20,              5.25,              2.74,              6.28,              5.51,              2.22,              2.31,              1.99,              2.06,              2.92,              5.72,              2.18,              0.58,              0.22,              0.16,              0.67,              4.14,              1.02,              1.01,              1.42,              1.98,              2.01,              1.06,              1.46,,,,
Belize,World,Consumer goods,Export,Export(US$ Mil),             89.57,             89.25,             90.52,             91.83,             88.83,             96.37,             78.70,             47.66,             59.11,             61.22,             76.36,             62.62,             77.80,             65.10,             59.91,              3.71,              3.78,             92.28,             12.30,             57.64,             63.79,             58.29,             57.11,             45.92,             44.96,             60.74,,,,
Belize,World,Food Products,Export,Export(US$ Mil),            135.01,            117.56,            135.19,            125.59,            131.23,            138.32,            103.69,             77.20,             92.22,             95.71,            109.11,            110.21,             91.38,             84.70,             77.63,             35.33,             33.37,             98.22,              6.32,             80.68,             92.01,             91.37,             87.60,             68.00,             65.04,             74.81,,,,
Belize,World,Footwear,Export,Export(US$ Mil),              0.55,              0.25,              0.38,              0.52,              0.01,              0.01,              0.03,              0.00,,              0.00,              0.03,              0.15,              0.01,              0.00,              0.00,,,              0.06,              0.00,              0.00,,              0.00,              0.00,              0.03,              0.02,              0.03,,,,
Belize,World,Fuels,Export,Export(US$ Mil),             21.02,             17.74,             26.91,             58.44,             80.73,            102.32,            154.77,            101.96,             69.84,            118.80,             72.42,             45.01,              0.76,              0.46,              0.68,,,              4.10,             90.94,              1.81,              3.73,              3.16,              5.14,              3.48,              2.46,              4.09,,,,
Belize,World,Hides and Skins,Export,Export(US$ Mil),              0.87,              0.86,              1.26,              1.24,              0.02,              0.03,              0.04,              0.03,              0.01,              0.04,              0.03,              0.03,              0.04,              0.03,              0.02,              0.03,              0.02,              0.02,              0.00,              0.00,              0.14,              0.02,              0.62,              0.05,              0.03,              0.06,,,,
Belize,World,Intermediate goods,Export,Export(US$ Mil),            102.36,             77.22,             97.02,             82.85,             77.56,             78.60,             59.39,             45.87,             48.25,             44.92,             53.12,             59.39,             47.12,             48.30,             41.92,             33.79,             35.54,             42.99,             32.06,             52.30,             58.50,             58.69,             57.83,             54.56,             53.14,             47.13,,,,
Belize,World,Mach and Elec,Export,Export(US$ Mil),              2.63,              4.68,              4.82,             10.52,              8.29,              5.11,              3.75,              0.02,              0.03,              0.02,              1.25,              1.49,              0.65,              1.69,              7.60,              0.00,              0.00,              0.85,              0.82,              4.35,              3.72,              3.70,              1.97,              6.44,              2.16,              2.39,,,,
Belize,World,Metals,Export,Export(US$ Mil),              0.94,              1.62,              3.34,              2.24,              1.90,              3.86,              2.06,              0.00,              0.00,              0.01,              0.33,              0.19,              0.59,              0.55,              0.16,              0.03,              0.02,              0.57,              1.50,              0.37,              0.19,              0.32,              0.24,              0.58,              0.22,              0.24,,,,
Belize,World,Minerals,Export,Export(US$ Mil),              0.00,              0.00,              0.10,              0.79,              2.01,              2.17,              1.25,              0.00,              0.00,              0.01,              0.03,              0.00,              0.04,              0.02,              0.00,              0.00,              0.10,              0.02,             29.09,              0.13,              0.18,              0.18,              0.15,              0.17,              0.00,              0.00,,,,
Belize,World,Miscellaneous,Export,Export(US$ Mil),              7.32,             41.07,             54.98,             58.69,             49.58,             35.42,             26.86,              0.54,              0.14,              0.97,              7.85,              2.06,              0.92,              0.89,              1.00,            126.51,            116.46,              1.80,              0.64,              3.25,              1.36,             10.88,              1.63,              3.37,              2.27,              3.02,,,,
Belize,World,Plastic or Rubber,Export,Export(US$ Mil),              3.39,              5.30,              2.94,              1.47,              0.38,              0.31,              0.13,              0.00,              0.00,              0.00,              0.03,              0.07,              0.13,              0.11,              0.16,              0.03,              0.01,              0.08,              0.67,              0.29,              0.27,              0.23,              0.11,              0.03,              0.14,              0.25,,,,
Belize,World,Raw materials,Export,Export(US$ Mil),             76.11,             35.94,             70.26,            115.70,            190.20,            185.14,            227.10,            188.02,            142.20,            187.98,            128.29,            130.90,             80.85,             93.72,             92.01,              0.53,             26.06,             61.70,              3.79,             42.42,             45.02,             32.88,             38.01,             28.91,             21.39,             18.12,,,,
Belize,World,Stone and Glass,Export,Export(US$ Mil),              1.90,              2.72,              2.76,              3.80,              0.69,              0.82,              2.25,              0.19,              0.12,              0.35,              0.62,              1.49,              0.01,              0.07,              0.00,              0.00,              0.00,              0.08,              1.71,              0.03,              0.13,              0.08,              0.07,              0.07,              0.03,              0.01,,,,
Belize,World,Textiles and Clothing,Export,Export(US$ Mil),              2.57,              1.95,              2.23,              4.34,              0.43,              0.38,              0.58,              0.09,              0.24,              0.33,              9.57,             18.41,             17.42,             18.47,             15.70,              0.10,              0.08,             20.14,              0.06,             19.71,             18.62,             17.90,             15.77,             18.52,             20.68,             19.48,,,,
Belize,World,Transportation,Export,Export(US$ Mil),              4.10,              2.01,              1.22,              2.75,              1.25,              1.67,              3.25,              0.02,              0.01,              0.10,              0.95,              0.18,              0.87,              2.07,              1.90,              0.44,              0.41,              1.85,              0.14,              1.74,              0.82,              0.57,              2.86,              1.90,              1.97,              1.75,,,,
Belize,World,Vegetable,Export,Export(US$ Mil),             53.17,             14.73,             20.37,             20.81,             73.52,             68.58,             58.33,             63.44,             56.16,             49.66,             38.93,             45.92,             41.89,             41.69,             39.01,              0.07,             17.50,             31.95,              3.19,             24.87,             32.15,             22.77,             25.09,             18.40,             16.04,             11.83,,,,
Belize,World,Wood,Export,Export(US$ Mil),              7.80,              6.28,              5.44,              4.53,              3.99,              6.75,              7.92,              5.12,              2.34,              3.21,              2.15,              2.74,              3.56,              4.00,              3.08,              1.71,              1.69,              6.27,              1.30,              3.42,              3.32,              2.05,              2.33,              5.41,              3.78,              4.21,,,,
Belize,World,All Products,Export,Exports (in US$ Mil),            277.58,            246.16,            313.90,            358.43,            413.45,            401.14,            396.18,            282.04,            249.66,            295.06,            266.63,            274.43,            207.52,            210.97,            202.84,            164.48,            181.89,            200.22,            140.74,            162.22,            176.19,            167.64,            161.68,            142.93,            126.60,            135.94,,,,
Belize,World,Capital goods,Import,Import(US$ Mil),            165.31,            204.65,            212.60,            164.76,            133.82,            111.76,             99.49,            100.70,            114.37,            146.45,            100.29,             86.52,             77.38,             65.13,             80.34,             87.10,             91.10,            113.93,              8.50,             61.81,             63.80,             55.56,             61.35,             55.57,             65.23,             62.31,,,,
Belize,World,Consumer goods,Import,Import(US$ Mil),            583.76,            580.78,            607.26,            624.43,            408.64,            375.63,            373.04,            450.43,            355.84,            372.85,            316.19,            304.78,            277.08,            234.41,            238.32,            211.19,            239.47,            216.09,             57.23,            133.51,            124.05,            109.65,            113.52,            112.62,            121.23,            117.73,,,,
Belize,World,Intermediate goods,Import,Import(US$ Mil),            136.98,            138.09,            144.43,            138.77,            125.62,            118.84,            109.95,             96.41,             95.15,            107.94,             81.80,             77.29,             68.84,             65.99,             62.01,             63.13,             59.75,            102.32,             62.18,             52.83,             51.26,             50.63,             46.73,             50.52,             54.33,             50.99,,,,
