Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Brazil,...,...,Development,GDP (current US$ Mil),        2055505.50,        1793989.05,        1802214.37,        2455993.63,        2472806.92,        2465188.67,        2616201.58,        2208871.65,        1667019.78,        1695824.57,        1397084.35,        1107640.30,         891630.18,         669316.65,         558319.92,         507962.49,         559372.28,         655420.65,         599388.58,         863723.41,         883199.63,         850426.43,         769305.39,         558112.00,         437798.58,         400599.25,         602860.00,         461951.78,         425595.31,         330397.38
Brazil,...,...,Export,No. Of Export partners,            220.00,            220.00,            216.00,            207.00,            214.00,            215.00,            209.00,            211.00,            211.00,            211.00,            215.00,            215.00,            212.00,            210.00,            209.00,            207.00,            206.00,            198.00,            179.00,            176.00,            175.00,            184.00,            186.00,            186.00,            173.00,            165.00,            170.00,            171.00,            174.00,
Brazil,...,...,Export,No. Of Export products,           4021.00,           4068.00,           4034.00,           4036.00,           4042.00,           4071.00,           4117.00,           4098.00,           4113.00,           4171.00,           4281.00,           4353.00,           4369.00,           4336.00,           4340.00,           4302.00,           4305.00,           4264.00,           4251.00,           4186.00,           4144.00,           4132.00,           4172.00,           4226.00,           4245.00,           4185.00,           3987.00,           3829.00,           3978.00,
Brazil,...,...,Import,No. Of Import partners,            216.00,            212.00,            216.00,            208.00,            213.00,            216.00,            213.00,            210.00,            206.00,            209.00,            205.00,            201.00,            193.00,            195.00,            182.00,            184.00,            190.00,            188.00,            159.00,            158.00,            166.00,            146.00,            148.00,            139.00,            131.00,            118.00,            114.00,            119.00,            118.00,
Brazil,...,...,Import,No. Of Import products,           4288.00,           4298.00,           4313.00,           4328.00,           4335.00,           4347.00,           4366.00,           4368.00,           4349.00,           4357.00,           4410.00,           4568.00,           4563.00,           4549.00,           4545.00,           4558.00,           4641.00,           4656.00,           4679.00,           4736.00,           4767.00,           4790.00,           4799.00,           4678.00,           4604.00,           4441.00,           4478.00,           4301.00,           4133.00,
Brazil,...,...,Tariff,No. Of Tariff Agreement,             33.00,             62.00,             63.00,             59.00,              1.00,             57.00,             56.00,             60.00,             57.00,             55.00,             14.00,             14.00,             14.00,             14.00,              1.00,              1.00,              2.00,              1.00,              4.00,              2.00,              1.00,              2.00,             10.00,              3.00,              2.00,              3.00,              3.00,              3.00,              3.00,
Brazil,...,...,Development,Trade Balance (current US$ Mil),          20871.43,           7444.25,         -20783.91,         -65366.77,         -56911.55,         -33506.73,         -20128.53,         -22994.54,          -6721.98,          -3214.75,          19038.61,          29983.08,          30323.13,          22845.59,          12401.31,           4281.23,         -12266.27,         -14836.53,         -11102.89,         -20535.75,         -23041.88,         -18498.24,         -14822.28,            -15.64,           6160.81,           9947.50,           4600.00,           5720.00,          14761.10,          17166.39
Brazil,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          17618.81,          13417.67,          12800.02,          14282.00,          19615.41,          17997.71,          22709.34,          18522.52,          12784.97,          17605.62,          14416.95,          11739.59,           9930.15,           7390.97,           4569.77,           2346.51,           5009.81,           6237.68,           5363.93,           6747.08,           6767.15,           5170.00,           4041.11,           4135.65,           3658.22,           3041.08,           1475.47,,,
Brazil,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           9435.19,           9084.49,          10284.59,          14142.93,          16462.69,          16443.91,          16906.35,          14434.59,          11281.66,          13258.44,          10404.25,           8053.65,           6241.11,           5569.81,           4672.61,           4743.79,           6206.54,           6843.23,           6109.84,           8421.17,           8576.08,           7100.97,           5749.81,           3828.39,           2816.12,           1832.92,           1746.46,           1514.20,           1294.15,
Brazil,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          47488.45,          35133.59,          35607.52,          40616.11,          46026.15,          41227.54,          44314.60,          30785.91,          21003.89,          16522.65,          10748.81,           8402.37,           6835.00,           5441.75,           4533.36,           2520.98,,,,,,,,,,,,,,
