Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Barbados,...,...,Development,GDP (current US$ Mil),           4673.50,           4529.05,           4584.15,           4608.35,           4612.50,           4656.35,           4660.90,           4529.90,           4479.95,           4782.00,           4672.25,           4176.50,           3897.30,           3514.35,           3274.85,           3169.60,           3116.65,           3121.50,           3012.08,           2874.46,           2549.30,           2411.87,           2261.97,           2151.30,           2046.19,           1950.90,           2007.11,           2023.32,           1703.97,           1540.89
Barbados,...,...,Export,No. Of Export partners,            141.00,            141.00,            118.00,            130.00,            128.00,            125.00,            133.00,            133.00,            128.00,            144.00,            130.00,            141.00,            113.00,            107.00,            114.00,            113.00,            118.00,            115.00,             99.00,             97.00,             88.00,,,,,,,,,
Barbados,...,...,Export,No. Of Export products,           1764.00,           1798.00,           1768.00,           1656.00,           1680.00,           1756.00,           1643.00,           1757.00,           1893.00,           1896.00,           1615.00,           2002.00,           1778.00,           1516.00,           1577.00,           1580.00,           1658.00,           1704.00,           1765.00,           1699.00,           1403.00,,,,,,,,,
Barbados,...,...,Import,No. Of Import partners,            178.00,            175.00,            174.00,            177.00,            175.00,            164.00,            170.00,            162.00,            164.00,            165.00,            161.00,            170.00,            170.00,            168.00,            171.00,            155.00,            161.00,            161.00,            131.00,            126.00,            119.00,,,,,,,,,
Barbados,...,...,Import,No. Of Import products,           3765.00,           3786.00,           3772.00,           3739.00,           3787.00,           3764.00,           3768.00,           3764.00,           3791.00,           3820.00,           3821.00,           3845.00,           3912.00,           3868.00,           3845.00,           3921.00,           3901.00,           3942.00,           3900.00,           3912.00,           2707.00,,,,,,,,,
Barbados,...,...,Tariff,No. Of Tariff Agreement,,,,,              3.00,              2.00,              1.00,              1.00,,,              6.00,              4.00,,              2.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,
Barbados,...,...,Development,Trade Balance (current US$ Mil),           -321.59,           -444.20,           -391.70,           -457.10,           -483.95,           -398.80,           -499.70,           -410.95,           -140.30,           -343.15,           -172.25,           -193.15,           -305.05,           -298.75,           -134.00,           -170.85,           -134.95,           -125.65,           -142.25,            -91.78,            -69.16,             60.66,             40.47,            152.54,             92.58,            132.00,            -17.25,             -4.87,             29.14,             52.35
Barbados,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            130.95,,,             89.26,,            114.02,             94.77,,             52.99,,             43.48,             44.60,             22.62,             35.52,             44.09,,,,,,,,,
Barbados,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,             52.66,             50.95,,             57.41,             59.62,             56.63,             52.43,             42.08,             37.12,             39.67,             47.78,             45.55,             41.59,             38.82,,,,,,,,,
Barbados,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             22.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             92.52,            119.08,             91.44,             92.34,             78.32,             74.40,             72.35,             57.80,             54.23,             61.08,,,,,,,,,,,,,,,,,,,,
Barbados,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             23.93,             23.26,             25.68,             25.22,             21.44,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             28.44,,             22.25,,             20.72,             19.63,,             17.68,             17.35,,             16.66,,,             12.32,             15.39,             15.04,             20.14,             19.17,             18.76,             20.05,             20.34,,,,,,,,,
Barbados,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             45.36,             43.33,,,,,,,,             63.20,             58.80,             59.86,            127.69,             60.42,             53.45,             45.04,             44.55,             60.05,             83.75,             74.41,             67.94,,,,,,,,,
Barbados,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             20.01,,,             18.97,             18.16,             25.24,             24.70,             20.70,             22.66,             22.14,             13.04,,,,,,,,,,,,,,,,
Barbados,St. Lucia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             40.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,Suriname,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             66.87,             87.11,            109.83,             84.59,,,,,,,,,,,,,,,,,,,,,,,
Barbados,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             36.52,             39.95,             39.80,             59.43,             53.93,             64.97,             86.05,             26.48,             32.21,             43.03,             87.26,             48.70,             39.09,             27.85,             28.36,             23.69,             28.63,             36.07,             32.72,             27.38,             19.00,,,,,,,,,
Barbados,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            268.34,            217.72,            255.40,            357.25,            463.92,            510.85,            470.95,             85.87,            212.32,            345.48,            100.36,            366.10,            353.81,             83.52,            236.44,            116.17,            174.24,            190.08,            123.89,            130.75,             90.57,,,,,,,,,
Barbados,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             31.25,             55.04,             52.64,             32.82,             41.16,             28.58,             33.02,             31.76,             29.83,             27.49,             25.69,             30.32,             35.93,             34.60,             41.30,             48.43,,,,,,,,,
Barbados,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             64.00,             78.01,             68.20,             69.36,             71.62,             66.31,             71.63,             64.19,             67.15,             92.51,            101.35,             94.92,             90.76,             77.29,             74.45,             78.62,             85.95,             93.33,             89.19,             95.70,             80.50,,,,,,,,,
Barbados,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            125.44,            177.97,            157.49,             81.63,             84.95,            149.10,             70.53,             78.18,             90.02,             95.54,             44.64,             88.61,             48.49,             39.00,             36.11,             35.58,             38.81,             43.11,             43.95,             41.68,             41.45,,,,,,,,,
Barbados,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            632.56,            634.71,            634.62,            608.31,            584.17,            548.53,            565.82,            525.73,            532.60,            642.25,            567.08,            611.77,            600.44,            477.20,            453.03,            439.78,            449.38,            480.18,            453.52,            427.46,            451.80,,,,,,,,,
Barbados,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             94.64,             67.92,             75.57,            116.32,            127.93,            136.63,,,,,,,,,,             20.08,,,,,,,,,,,,,,
Barbados,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,         149661.19,         134996.09,          89665.56,          82347.68,,,         214658.71,         483966.89,,              0.00,              0.00,              0.00,              0.00,          43048.82,          42667.58,,,,,,,,,,,
Barbados,World,Animal,Export,Export(US$ Mil),              2.18,              2.16,              1.86,              2.27,              2.05,              2.58,              2.76,              2.68,              3.42,              4.09,              3.80,              3.48,              4.25,              3.15,              2.97,              3.24,              3.59,              3.40,              3.00,              3.14,              3.18,,,,,,,,,
Barbados,World,Capital goods,Export,Export(US$ Mil),             35.64,             35.71,             43.82,             38.48,             33.08,             46.12,             32.73,             31.67,             37.85,             34.17,             35.32,             63.81,             46.60,             33.49,             35.31,             33.87,             40.25,             48.45,             47.66,             41.00,             45.89,,,,,,,,,
Barbados,World,Chemicals,Export,Export(US$ Mil),             71.09,             71.31,             75.34,             70.96,             72.16,             94.88,             95.09,             88.62,             66.44,             59.61,             41.29,             44.35,             42.35,             25.93,             31.48,             30.98,             35.40,             36.79,             37.19,             35.06,             36.37,,,,,,,,,
Barbados,World,Consumer goods,Export,Export(US$ Mil),            360.99,            386.83,            351.16,            337.29,            337.93,            426.47,            388.73,            216.61,            211.06,            325.87,            135.70,            273.33,            217.41,             77.59,             93.29,             96.71,            119.76,            117.32,             99.55,            110.74,            120.11,,,,,,,,,
Barbados,World,Food Products,Export,Export(US$ Mil),             91.59,             77.53,             74.10,             80.51,             79.09,            100.31,             73.07,             73.49,             75.93,             86.55,             73.73,             63.68,             70.42,             60.31,             55.26,             62.98,             67.35,             64.30,             64.92,             65.41,             84.89,,,,,,,,,
Barbados,World,Footwear,Export,Export(US$ Mil),              9.09,              7.37,              7.70,              1.91,              1.20,              2.20,              0.73,              3.98,              4.00,              4.51,              0.12,              2.40,              0.55,              0.05,              0.04,              0.06,              0.04,              0.10,              0.04,              0.19,              0.05,,,,,,,,,
