Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Bhutan,...,...,Development,GDP (current US$ Mil),           2528.01,           2219.68,           2059.81,           1958.82,           1798.33,           1823.69,           1820.21,           1585.47,           1264.76,           1258.33,           1196.09,            897.73,            818.87,            702.68,            622.03,            537.05,            476.36,            439.16,            419.04,            376.96,            365.96,            316.42,            303.05,            270.80,            235.24,            250.79,            250.05,            299.79,            275.95,            283.86
Bhutan,...,...,Export,No. Of Export partners,,,,,,             30.00,             31.00,             29.00,             32.00,             33.00,             35.00,             26.00,             24.00,,,,,,             17.00,             20.00,,,,              8.00,             11.00,,,,,
Bhutan,...,...,Export,No. Of Export products,,,,,,            332.00,            257.00,            301.00,            319.00,            190.00,            365.00,            375.00,            423.00,,,,,,            203.00,            204.00,,,,            133.00,            190.00,,,,,
Bhutan,...,...,Import,No. Of Import partners,,,,,,             62.00,             46.00,             52.00,             46.00,             49.00,             45.00,             50.00,             41.00,,,,,,             26.00,             37.00,,,,             34.00,             29.00,,,,,
Bhutan,...,...,Import,No. Of Import products,,,,,,           3266.00,           3051.00,           3162.00,           3078.00,           3133.00,           3039.00,           3220.00,           3252.00,,,,,,           1009.00,           1131.00,,,,           1038.00,            961.00,,,,,
Bhutan,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,              4.00,,              3.00,,,,,,,,,,,,,,,,,
Bhutan,...,...,Development,Trade Balance (current US$ Mil),           -517.27,           -507.38,           -617.52,           -412.40,           -392.32,           -443.40,           -532.97,           -448.35,           -221.36,           -115.38,            -27.83,            -42.72,           -214.53,           -218.79,           -157.37,           -136.72,           -102.24,            -83.05,            -82.08,            -61.51,            -37.37,            -32.21,            -14.73,            -26.80,            -29.46,            -59.98,            -19.92,            -11.46,            -27.37,            -59.73
Bhutan,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             17.55,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,Bangladesh,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             21.91,             26.40,             19.81,             15.67,             14.60,             11.37,             10.37,             12.75,,,,,,              4.87,              4.74,,,,              4.07,              6.34,,,,,
Bhutan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             24.85,,,             10.06,             19.57,,,,,,,,,,,,,,,,,,,,
Bhutan,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,              2.13,,,,              2.70,,,,,,
Bhutan,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,              1.95,              1.43,,,,,
Bhutan,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             73.29,             47.84,             14.00,              2.43,             66.93,             63.19,             15.56,,,,,,,,,,,,,,,,,
Bhutan,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            497.72,            343.02,            340.82,            463.64,            495.78,            550.19,            319.43,            226.23,,,,,,            109.51,            101.64,,,,             62.02,             59.05,,,,,
Bhutan,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            781.47,            760.19,            640.82,            412.11,            401.75,            365.39,            287.63,            290.68,,,,,,            135.94,             88.30,,,,             65.35,             63.81,,,,,
Bhutan,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             27.92,             29.33,,,,,,,,,,,,,,,,,,
Bhutan,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              2.34,              2.57,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              2.13,              2.80,              2.90,,              1.52,,,,,,,,,              0.11,,,,,,              0.05,,,,,
Bhutan,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             23.55,             33.19,             18.51,             11.53,             25.46,              9.24,,             14.73,,,,,,              6.06,             10.01,,,,             12.65,             11.93,,,,,
Bhutan,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             30.99,             63.00,             43.80,,,,             10.12,              5.84,,,,,,,,,,,,,,,,,
Bhutan,Nepal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              2.01,,              0.87,              1.75,              4.52,,,              1.02,,,,,,              0.60,              0.32,,,,              0.03,,,,,,
Bhutan,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,              0.04,,,,,
Bhutan,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,              6.08,,,,,
Bhutan,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             11.10,             19.28,,,,,,,,,,,,,,,,,,
Bhutan,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             16.56,             12.91,              1.65,,,,,,,,,,,,,,,,,
Bhutan,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             39.85,             19.73,             15.36,             21.25,             23.60,             11.35,             10.16,,,,,,             23.21,              9.72,,,,,,,,,,
Bhutan,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,              9.55,,,,,,,,,,,,,,,,,,,,,
Bhutan,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,              2.29,,,,,,,,,,,
Bhutan,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             26.46,              6.23,,,,,,,,              0.29,,,,,,,,,,
Bhutan,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             26.43,             21.59,,              9.52,,,              6.26,,,,,,              5.65,              5.02,,,,,,,,,,
Bhutan,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,              1.86,              2.40,,,,,
Bhutan,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              0.20,,,,,,,,,,              0.60,              0.73,,,,              0.04,,,,,,
Bhutan,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,              0.22,              0.27,,,,,
Bhutan,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,         378464.63,,          31894.76,,,,,,,,,,,,,,,,,
Bhutan,World,Animal,Export,Export(US$ Mil),,,,,,              0.11,              0.00,              0.06,              0.10,              0.01,              0.31,              0.20,              0.03,,,,,,              0.02,              0.00,,,,              0.00,              0.00,,,,,
Bhutan,World,Capital goods,Export,Export(US$ Mil),,,,,,              0.07,              0.06,              0.08,              0.09,              0.01,              0.84,              1.02,              2.53,,,,,,              0.15,              0.28,,,,              0.00,              0.01,,,,,
Bhutan,World,Chemicals,Export,Export(US$ Mil),,,,,,             30.69,             31.79,             31.80,             21.74,              0.04,             18.98,             13.02,             16.89,,,,,,             13.24,             14.99,,,,             13.52,             12.12,,,,,
Bhutan,World,Consumer goods,Export,Export(US$ Mil),,,,,,             22.54,             95.33,             64.22,             25.22,            239.30,            141.53,            126.34,             37.57,,,,,,              7.59,              9.90,,,,             10.84,              6.68,,,,,
Bhutan,World,Food Products,Export,Export(US$ Mil),,,,,,              8.94,              9.31,              7.32,              6.74,              0.16,              9.11,              9.23,              8.95,,,,,,              5.31,              5.34,,,,              7.80,              4.64,,,,,
Bhutan,World,Footwear,Export,Export(US$ Mil),,,,,,              0.00,,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,              0.00,              0.00,,,,,              0.00,,,,,
Bhutan,World,Fuels,Export,Export(US$ Mil),,,,,,            174.86,              6.01,              4.88,            210.58,            255.06,            246.30,            112.52,             79.93,,,,,,             48.63,             33.62,,,,             17.01,             18.48,,,,,
Bhutan,World,Hides and Skins,Export,Export(US$ Mil),,,,,,              0.00,              0.01,              0.02,              0.01,              0.00,              0.01,              0.04,              0.02,,,,,,              0.05,              0.05,,,,              0.05,              0.06,,,,,
Bhutan,World,Intermediate goods,Export,Export(US$ Mil),,,,,,            448.11,            282.21,            277.01,            419.01,            264.17,            497.49,            249.88,            193.22,,,,,,             94.92,             84.40,,,,             44.98,             45.24,,,,,
Bhutan,World,Mach and Elec,Export,Export(US$ Mil),,,,,,              0.12,             71.96,             46.97,             12.98,              0.01,            109.26,             81.13,             14.82,,,,,,              0.15,              0.28,,,,              0.00,              0.01,,,,,
Bhutan,World,Metals,Export,Export(US$ Mil),,,,,,            209.74,            225.49,            219.15,            145.94,              6.56,            153.59,             88.47,             56.64,,,,,,             12.86,             12.20,,,,              0.02,              0.03,,,,,
Bhutan,World,Minerals,Export,Export(US$ Mil),,,,,,             59.99,             61.79,             64.89,             57.33,              6.84,             47.01,             37.28,             25.57,,,,,,             15.82,             16.91,,,,             10.92,              8.34,,,,,
Bhutan,World,Miscellaneous,Export,Export(US$ Mil),,,,,,              0.34,              0.77,              1.15,              0.86,              0.07,              0.86,              8.30,              0.56,,,,,,              1.56,              2.14,,,,              0.06,              0.02,,,,,
Bhutan,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,              6.19,              6.66,              5.37,              6.36,              0.00,              6.92,              5.78,              6.76,,,,,,              0.31,              0.42,,,,              0.36,              0.20,,,,,
