Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
China,...,...,Development,GDP (current US$ Mil),       12237700.48,       11190992.55,       11064666.28,       10482372.11,        9607224.48,        8560547.31,        7572553.84,        6100620.49,        5109953.61,        4598206.09,        3552182.31,        2752131.77,        2285965.89,        1955347.00,        1660287.97,        1470550.02,        1339395.72,        1211346.87,        1093997.27,        1029043.10,         961603.95,         863746.72,         734547.90,         564324.67,         444731.28,         426915.71,         383373.32,         360857.91,         347768.05,         312353.63
China,...,...,Export,No. Of Export partners,            214.00,            213.00,            213.00,            213.00,            213.00,            214.00,            213.00,            212.00,            212.00,            212.00,            213.00,            208.00,            209.00,            209.00,            208.00,            205.00,            205.00,            204.00,            200.00,            199.00,            199.00,            197.00,            201.00,            201.00,            201.00,            196.00,,,,
China,...,...,Export,No. Of Export products,           4409.00,           4417.00,           4433.00,           4427.00,           4423.00,           4414.00,           4443.00,           4454.00,           4451.00,           4453.00,           4492.00,           4748.00,           4744.00,           4732.00,           4745.00,           4742.00,           4792.00,           4798.00,           4790.00,           4800.00,           4810.00,           4775.00,           4738.00,           4872.00,           4807.00,           4777.00,,,,
China,...,...,Import,No. Of Import partners,            215.00,            212.00,            211.00,            212.00,            214.00,            213.00,            210.00,            209.00,            208.00,            203.00,            206.00,            200.00,            196.00,            197.00,            195.00,            189.00,            183.00,            185.00,            168.00,            166.00,            167.00,            158.00,            165.00,            167.00,            179.00,            165.00,,,,
China,...,...,Import,No. Of Import products,           4433.00,           4456.00,           4461.00,           4453.00,           4452.00,           4455.00,           4499.00,           4487.00,           4493.00,           4502.00,           4515.00,           4768.00,           4758.00,           4750.00,           4748.00,           4774.00,           4832.00,           4840.00,           4868.00,           4885.00,           4869.00,           4872.00,           4807.00,           4930.00,           4934.00,           4926.00,,,,
China,...,...,Tariff,No. Of Tariff Agreement,             24.00,             24.00,             22.00,             30.00,,,             27.00,             27.00,             24.00,             23.00,             19.00,             19.00,             13.00,              1.00,              1.00,              3.00,              3.00,              3.00,              3.00,              2.00,              1.00,              2.00,,              4.00,              2.00,              2.00,,,,
China,...,...,Development,Trade Balance (current US$ Mil),         209431.19,         255483.47,         358835.72,         221550.83,         234870.53,         231865.23,         180894.23,         222399.88,         220130.40,         348832.53,         308036.03,         208918.92,         124626.80,          51174.38,          35821.13,          37382.67,          28086.22,          28785.85,          30640.96,          43836.69,          42823.22,          17550.00,          11958.00,           7357.00,         -11792.00,           4998.00,          11601.00,          10668.00,          -4928.00,          -4061.00
China,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         132369.37,,         143369.31,         144880.44,         157540.89,         142929.91,         122614.38,         106867.90,          86413.99,          92461.20,          85773.20,          73332.83,          55162.90,          38654.54,          25094.30,,,,,,,,,,,,,,,
China,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          65214.03,          69154.83,          72703.05,          67342.50,          69212.73,          76400.00,          68047.13,          49919.56,          59208.95,          48744.14,          40314.60,          32527.13,          23755.73,          17442.11,          11371.85,           9751.10,           9277.79,           7779.62,           7354.29,           6496.91,           5842.67,           5671.43,           4761.14,           3967.49,           2447.98,,,,
China,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,          16416.41,          13772.19,          10408.73,           8335.36,           7020.60,,,,,           6040.66,           4014.99,,,,
