Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cameroon,...,...,Development,GDP (current US$ Mil),          34922.78,          32621.54,          30916.22,          34942.95,          32348.15,          29104.44,          29337.01,          26143.82,          26017.93,          26409.78,          22365.27,          19356.05,          17944.08,          17430.93,          14548.85,          11579.34,          10371.33,          10083.94,          11198.38,          10612.85,          10833.50,          10513.39,           9643.95,          10600.16,          15498.18,          11396.31,          12434.37,          11151.58,          11140.06,          12493.29
Cameroon,...,...,Export,No. Of Export partners,            122.00,            113.00,            127.00,            114.00,            120.00,            117.00,            117.00,            116.00,            107.00,            108.00,            111.00,            104.00,            103.00,             99.00,             97.00,             91.00,             90.00,             92.00,,,             92.00,             82.00,             85.00,,,,,,,
Cameroon,...,...,Export,No. Of Export products,           1358.00,           1310.00,           1373.00,           1469.00,           1446.00,           1482.00,           1505.00,           1492.00,           1554.00,           1441.00,           1296.00,           1086.00,           1249.00,           1319.00,           1502.00,           1383.00,           1196.00,           1090.00,,,           1053.00,           1012.00,            924.00,,,,,,,
Cameroon,...,...,Import,No. Of Import partners,            199.00,            183.00,            171.00,            167.00,            163.00,            163.00,            159.00,            160.00,            160.00,            152.00,            154.00,            136.00,            134.00,            132.00,            127.00,            133.00,            132.00,            125.00,            104.00,            122.00,            114.00,            104.00,            111.00,,,,,,,
Cameroon,...,...,Import,No. Of Import products,           3694.00,           3735.00,           3666.00,           3643.00,           3675.00,           3901.00,           3796.00,           3760.00,           3811.00,           3809.00,           3722.00,           3586.00,           3435.00,           3720.00,           3725.00,           3732.00,           3782.00,           3720.00,           3781.00,           3772.00,           3719.00,           3600.00,           3628.00,,,,,,,
Cameroon,...,...,Tariff,No. Of Tariff Agreement,,,,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,              2.00,,,,,,,
Cameroon,...,...,Development,Trade Balance (current US$ Mil),          -1404.64,          -1541.63,          -1653.98,          -1813.07,          -1445.95,          -1208.04,          -1488.02,          -1249.56,          -1292.05,          -1020.53,           -161.56,           -129.67,           -318.08,           -264.28,           -696.30,           -376.21,           -253.72,             97.16,            -30.26,              8.53,             -8.95,              8.73,            291.64,            227.03,            214.37,            254.30,            666.36,            319.98,            327.25,              8.91
Cameroon,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            198.61,,,,,            118.13,,             67.81,,,,,,,,,,,,,,,,,,,,,
Cameroon,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            173.15,,            157.14,            126.06,,            118.11,,,             84.96,             72.05,             68.14,,,,,,,,,,,
Cameroon,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             58.94,,,,,,,
Cameroon,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            170.78,,,,,,,,,,,,,,,,,,,
Cameroon,Bunkers,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            190.68,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Chad,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            337.84,,,,,,,,,,,,,,,,,,,,,,
Cameroon,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            788.91,            150.65,            506.03,            758.10,            260.40,            652.97,            181.89,            329.56,            136.28,            160.23,,,,,,,,,,,,,,,,,,,,
Cameroon,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1785.73,           1046.77,           1172.90,           1358.52,            947.21,            678.29,            722.14,            543.05,            442.05,            399.64,            310.58,            199.82,            122.19,,,,,,,,,,,,,,,,,
Cameroon,Equatorial Guinea,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            108.79,,,,,,,,,,,,,,,,,,
Cameroon,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            686.20,            164.14,,,,            369.83,            249.24,,            230.50,            325.42,            740.57,            380.86,            349.70,            334.56,            244.74,            234.79,            189.12,            238.49,,,            298.10,            311.75,            407.28,,,,,,,
Cameroon,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1016.31,            589.05,            619.77,            769.51,            821.79,            778.30,            879.26,            748.07,            714.77,            804.62,            724.18,            540.33,            504.15,            539.69,            392.00,            454.06,            445.28,            356.94,            350.27,            405.93,            386.42,            324.99,            337.05,,,,,,,
Cameroon,Gabon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            227.84,,,,,,,,,,,,,,,,,,,,
Cameroon,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            197.21,,,,,            228.41,            190.64,            175.21,            188.44,,,            102.97,,,             87.29,            138.02,,             77.84,             99.76,             98.65,             87.65,             78.36,,,,,,,
Cameroon,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            632.74,            504.19,            256.86,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            330.76,            257.80,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            906.22,            166.42,,            469.57,,,            139.51,            376.61,            116.11,            205.05,            784.13,            825.89,            464.93,            284.33,            303.24,            343.77,            472.40,            527.77,,,            461.16,            358.15,            237.09,,,,,,,
Cameroon,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            197.86,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            111.40,            122.64,             84.66,,             72.85,             70.94,             83.04,             85.10,             60.00,             58.86,,,,,,,
Cameroon,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             43.60,,,,,,,
