Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cape Verde,...,...,Development,GDP (current US$ Mil),           1772.71,           1663.01,           1596.80,           1859.90,           1850.47,           1751.89,           1864.82,           1664.31,           1711.82,           1789.33,           1513.93,           1107.89,            971.98,            924.32,            813.96,            620.97,            563.02,            539.23,            592.42,            521.91,            490.61,            501.98,            487.15,            406.58,            490.42,            357.16,            319.83,            306.89,            267.45,            264.31
Cape Verde,...,...,Export,No. Of Export partners,             16.00,             15.00,             60.00,             64.00,             59.00,             75.00,             50.00,             35.00,             47.00,,             39.00,             44.00,             44.00,             16.00,             14.00,             14.00,             13.00,             40.00,             22.00,             30.00,             28.00,,,,,,,,,
Cape Verde,...,...,Export,No. Of Export products,             54.00,             40.00,           1239.00,           1274.00,           1319.00,           1352.00,           1347.00,           1149.00,            987.00,,            964.00,            961.00,            996.00,             58.00,             54.00,             69.00,             62.00,            826.00,            808.00,            545.00,            483.00,,,,,,,,,
Cape Verde,...,...,Import,No. Of Import partners,            107.00,            113.00,            113.00,            101.00,            100.00,            107.00,            103.00,            100.00,            102.00,             98.00,             98.00,             94.00,             95.00,             90.00,             95.00,             86.00,             83.00,            104.00,             97.00,             79.00,             85.00,,,,,,,,,
Cape Verde,...,...,Import,No. Of Import products,           3210.00,           3201.00,           3157.00,           3122.00,           3121.00,           3088.00,           3096.00,           3106.00,           3075.00,           3050.00,           3141.00,           3142.00,           3119.00,           2959.00,           2963.00,           2937.00,           2863.00,           2916.00,           2948.00,           2894.00,           2866.00,,,,,,,,,
Cape Verde,...,...,Tariff,No. Of Tariff Agreement,,,              1.00,,              1.00,              1.00,              1.00,              2.00,              1.00,              1.00,              1.00,              1.00,              3.00,,,,,,,,,,,,,,,,,
Cape Verde,...,...,Development,Trade Balance (current US$ Mil),           -344.53,           -261.63,           -227.56,           -378.01,           -265.62,           -340.10,           -537.27,           -484.28,           -443.06,           -468.67,           -457.05,           -305.25,           -279.82,           -347.16,           -293.35,           -223.55,           -183.24,           -180.67,           -231.14,           -189.40,           -152.56,           -176.15,           -210.65,           -168.61,           -165.69,           -176.34,           -152.96,           -158.62,           -114.97,           -113.09
Cape Verde,Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             13.37,,              9.34,,,,,,,,,,,,,
Cape Verde,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,              1.61,,,,,,,,,,,
Cape Verde,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             23.09,             23.06,,             25.54,             30.78,             35.61,             31.91,             32.30,             48.86,             45.78,             34.71,             36.99,             21.42,,,,,,,,,,,,,,,,
Cape Verde,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              6.23,             20.57,             17.18,             20.31,,,,,,,,,
Cape Verde,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              8.17,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             42.85,             32.16,             33.64,             31.41,             22.56,,,             31.36,,,,,,,,,             18.40,,,,,,,,,,,,,
Cape Verde,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             35.19,             29.10,             11.91,,,,,,,,,,,,,,,,,
Cape Verde,Finland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             35.68,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              4.70,,,,,,,,,,,,,,,,,,,
Cape Verde,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             70.85,,,,,,,             11.13,,             11.27,             22.90,,,,,,,,,
Cape Verde,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             41.53,              3.58,              9.70,,,,,,              0.13,              0.25,              0.06,,,,,,,,,,,,,
Cape Verde,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             26.83,,,,,,,             14.83,,,              8.93,             10.57,              8.99,,,,,,,,,
Cape Verde,Guinea,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,              0.06,,,,,,,,,,,,,,,,
Cape Verde,Guinea-Bissau,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              1.62,              4.54,,,,,,,,,
Cape Verde,Ireland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.11,,,,,,,,,,,,,,,
Cape Verde,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.19,              0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             48.80,,,,,,             32.74,,,,,             28.93,,,,,,,,,,,,,,,,,,
Cape Verde,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             10.05,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              1.69,,,,,,,,,,,,
Cape Verde,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             28.23,,,,,             19.69,             14.98,,             12.66,             13.66,,,,,,,,,,,
Cape Verde,Mauritania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              0.15,              0.06,,,,,,,,,,,,,
Cape Verde,Mozambique,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              0.29,,,,,,,,,,,,,,
