Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cayman Islands,...,...,Development,GDP (current US$ Mil),,,,,,,,,,,,           3207.15,           2315.97,,,,,,,,,,,,,,,,,
Cayman Islands,...,...,Export,No. Of Export partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,...,...,Export,No. Of Export products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,...,...,Import,No. Of Import partners,,,             75.00,,             72.00,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,...,...,Import,No. Of Import products,,,              1.00,,              1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,"Bahamas, The",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             26.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             17.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,Jamaica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             11.22,,             83.90,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,Oman,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             40.92,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             47.91,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             11.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             40.16,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            781.50,,            387.95,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Animal,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Metals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Stone and Glass,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Transportation,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Vegetable,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Wood,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,All Products,Export,Exports (in US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
