Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Czech Republic,...,...,Development,GDP (current US$ Mil),         215725.53,         195305.08,         186829.94,         207818.33,         209402.44,         207376.43,         227948.35,         207477.86,         206179.98,         235718.59,         189227.05,         155463.81,         136280.69,         119162.17,          99627.14,          81910.77,          67523.64,          61649.49,          64867.48,          66490.37,          61792.16,          66985.77,          59775.70,          47554.67,          40614.35,          34590.05,          29675.50,          40477.40,,
Czech Republic,...,...,Export,No. Of Export partners,            214.00,            215.00,            209.00,            213.00,            209.00,            210.00,            206.00,            205.00,            201.00,            203.00,            207.00,            204.00,            200.00,            199.00,            195.00,            198.00,            195.00,            192.00,            185.00,            184.00,            180.00,            185.00,            198.00,            196.00,            199.00,,,,,
Czech Republic,...,...,Export,No. Of Export products,           4384.00,           4399.00,           4393.00,           4377.00,           4422.00,           4408.00,           4410.00,           4401.00,           4411.00,           4406.00,           4392.00,           4597.00,           4577.00,           4602.00,           4584.00,           4551.00,           4650.00,           4650.00,           4650.00,           4638.00,           4617.00,           4601.00,           4681.00,           4622.00,           4600.00,,,,,
Czech Republic,...,...,Import,No. Of Import partners,            235.00,            226.00,            230.00,            232.00,            231.00,            226.00,            230.00,            225.00,            227.00,            225.00,            226.00,            224.00,            221.00,            222.00,            210.00,            209.00,            210.00,            213.00,            179.00,            187.00,            183.00,            178.00,            184.00,            184.00,            174.00,,,,,
Czech Republic,...,...,Import,No. Of Import products,           4510.00,           4531.00,           4527.00,           4515.00,           4524.00,           4524.00,           4559.00,           4543.00,           4551.00,           4567.00,           4556.00,           4795.00,           4798.00,           4811.00,           4792.00,           4802.00,           4849.00,           4856.00,           4879.00,           4877.00,           4868.00,           4839.00,           4889.00,           4852.00,           4839.00,,,,,
Czech Republic,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,              2.00,              2.00,              2.00,              2.00,              3.00,              2.00,              2.00,              2.00,,,,,,,,
Czech Republic,...,...,Development,Trade Balance (current US$ Mil),          15559.58,          14615.56,          11207.44,          13226.45,          12069.39,           9959.65,           8728.91,           6415.14,           7991.19,           5100.72,           4626.66,           4259.86,           3200.76,            968.26,          -1196.07,          -1046.56,           -846.81,          -1139.61,           -272.82,           -180.57,          -2565.13,          -3255.23,          -1850.53,           -549.72,            453.52,            413.95,           1661.26,            950.46,,
Czech Republic,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           7396.03,,,,,           4856.50,           4302.67,           3852.48,           3042.77,           2652.78,           1921.35,           1735.05,           1722.80,           1780.47,           1461.32,           1411.12,           1426.35,           1013.09,            779.36,,,,,
Czech Republic,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,           1614.28,           1836.09,           1646.86,           1593.99,           1747.44,           1207.00,           1001.18,,,,,
Czech Republic,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          20498.18,          17648.83,          18998.27,          17426.28,          15486.21,          15672.79,          18905.32,          15332.15,          10546.00,          12442.37,           9193.96,           5711.36,           3924.16,           3511.68,           2681.35,,,,,,,,,,,,,,,
Czech Republic,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9284.50,           8392.96,           8044.96,           8829.54,           7978.85,           7911.71,           8845.14,           7100.95,           6351.71,           7887.13,           6515.46,           5268.10,           4139.35,,,,,,           1044.98,,,,,,,,,,,
Czech Republic,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           2525.37,           2235.03,           1751.47,           1597.39,           1541.33,,,,,,,,,,,
Czech Republic,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          59413.68,          52492.42,          50567.28,          55775.42,          50566.48,          49142.43,          52221.25,          42212.77,          36438.82,          44867.59,          37191.79,          30366.44,          26200.64,          23835.74,          18025.63,          15442.12,          12736.69,          11752.22,          11293.30,          11498.60,           8131.52,           7891.97,           8144.92,           4153.09,           3352.32,,,,,
Czech Republic,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          42065.68,          37779.18,          36564.62,          40155.00,          36880.51,          35674.36,          38938.45,          32057.29,          27960.03,          38009.39,          32771.96,          26583.08,          22965.40,          21227.73,          16685.35,          14882.86,          12013.81,          10379.56,           9770.48,          10953.74,           8671.92,           8262.07,           8015.70,           3795.43,           3259.84,,,,,
