Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Denmark,...,...,Development,GDP (current US$ Mil),         324871.97,         306899.65,         301298.46,         352993.63,         343584.39,         327148.90,         344003.21,         321995.35,         321241.40,         353361.06,         319423.37,         282884.91,         264467.31,         251373.04,         218096.00,         178635.16,         164791.42,         164158.80,         177965.22,         176992.00,         173537.59,         187632.40,         185006.96,         156162.31,         143195.61,         152915.62,         139224.73,         138247.26,         112409.24,         115552.85
Denmark,...,...,Export,No. Of Export partners,            222.00,            224.00,            224.00,            223.00,            227.00,            217.00,            218.00,            224.00,            222.00,            223.00,            221.00,            225.00,            225.00,            225.00,            224.00,            225.00,            224.00,            209.00,            204.00,            205.00,            204.00,            203.00,            206.00,            206.00,            205.00,            203.00,            187.00,            183.00,            187.00,
Denmark,...,...,Export,No. Of Export products,           4251.00,           4245.00,           4212.00,           4248.00,           4222.00,           4224.00,           4265.00,           4255.00,           4274.00,           4312.00,           4327.00,           4526.00,           4493.00,           4521.00,           4528.00,           4504.00,           4390.00,           4360.00,           4341.00,           4277.00,           4227.00,           4291.00,           4342.00,           4394.00,           4436.00,           4416.00,           4411.00,           4443.00,           4408.00,
Denmark,...,...,Import,No. Of Import partners,            216.00,            213.00,            217.00,            218.00,            223.00,            220.00,            213.00,            216.00,            208.00,            221.00,            217.00,            211.00,            218.00,            209.00,            214.00,            213.00,            202.00,            185.00,            182.00,            178.00,            174.00,            172.00,            175.00,            176.00,            172.00,            178.00,            162.00,            167.00,            171.00,
Denmark,...,...,Import,No. Of Import products,           4418.00,           4442.00,           4425.00,           4428.00,           4423.00,           4442.00,           4474.00,           4480.00,           4484.00,           4501.00,           4497.00,           4740.00,           4723.00,           4726.00,           4759.00,           4755.00,           4758.00,           4753.00,           4727.00,           4717.00,           4689.00,           4723.00,           4808.00,           4801.00,           4837.00,           4852.00,           4833.00,           4843.00,           4848.00,
Denmark,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,...,...,Development,Trade Balance (current US$ Mil),          22930.10,          19009.56,          21971.32,          24576.54,          22702.27,          19694.34,          21997.27,          22365.46,          14446.45,          12450.32,           9254.55,          11579.50,          14557.52,          14200.40,          14819.89,          12240.11,          11766.83,          11016.07,          10677.30,           5440.69,           7561.51,          10626.52,           8712.69,           9249.91,          10779.01,          10561.62,           8657.70,           7681.22,           4265.96,           4016.79
Denmark,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           6745.10,           6441.27,           6375.32,           7113.52,           6573.97,           6405.17,           6720.22,           6426.37,           5326.85,           6486.46,           5498.02,           4454.83,           3577.02,,,,,,,,,,,,,,,,,
Denmark,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           2717.36,           3212.50,           2518.26,           2282.72,           2545.98,           2606.20,           2451.90,           2240.47,           2220.68,           1811.47,           1530.50,           1863.23,           1991.95,,,
Denmark,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          14517.07,          14313.61,          15591.59,          18338.25,          17046.75,          14920.02,          16415.70,          14371.91,          13839.00,          17472.67,          15037.00,          13579.50,          12617.22,          12315.99,          11182.09,          10012.18,           9166.93,           8252.69,           9118.43,           9281.71,           9673.70,           9699.28,          10208.96,           8302.77,           7987.45,           8809.39,           7505.80,           6460.22,           4592.55,
Denmark,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          19726.43,          18411.44,          17459.25,          20267.38,          20325.89,          18964.93,          19732.36,          17116.53,          16776.08,          22822.74,          21010.12,          18133.89,          15242.48,          14450.27,          12904.19,          10779.93,           9684.41,           9142.51,           9434.32,           9873.08,           9466.14,           8697.56,           9185.91,           7249.51,           6592.33,           7679.09,           7039.17,           7007.57,           5851.75,
Denmark,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           7104.43,           6776.55,           6843.37,           7473.95,           7220.28,           6708.69,           6832.06,           5855.96,           5644.72,           7324.11,           6517.07,           5243.13,           4894.83,           4508.84,           3884.34,           3324.10,           3123.50,           3321.84,           3499.52,           3447.57,           3441.74,           2829.51,           3023.56,           2248.37,           1880.27,           1834.60,           1824.83,           1840.29,           1497.36,
Denmark,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5901.13,           5872.10,           6000.69,           7396.63,           7339.24,           6976.12,           7040.08,           5920.36,           5726.40,           6906.30,           5944.46,,,           4119.26,,           3371.70,,           2669.84,           2765.76,           2738.58,           2926.32,           2994.64,           2771.27,           2483.29,           2425.91,           2216.66,           1927.75,           1946.42,           1567.69,
Denmark,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4585.99,           3533.78,           3992.32,           5560.18,           5857.49,           5290.07,,,,,,,,           3143.59,,,,,,,,,,,,,,,,
Denmark,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          15321.38,          11108.57,          10496.46,          10867.78,          10689.39,          10467.42,           9622.20,           8796.45,           9240.62,          11270.68,           9701.85,           9375.23,           9536.54,           5208.60,           4648.97,           3728.11,           3873.90,,,,,,,,,,,,,
Denmark,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          10855.80,          10669.58,          10436.20,          12551.08,          12935.34,          13238.23,          13813.45,          12347.37,          11255.09,          15927.74,          14460.98,          12236.43,          10602.98,           9280.37,           7875.01,           6233.00,           5679.51,           6133.11,           5438.46,           5034.24,           5355.26,           4734.04,           4404.17,           3918.19,           3386.72,           3969.57,           3906.17,           4284.47,           3290.25,
Denmark,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          10982.28,          10319.08,          10498.74,          12125.94,          12007.76,          11786.81,          12842.05,          11008.64,          10443.36,          15113.50,          14039.14,          11991.11,          10260.59,           8968.82,           7205.80,           5817.03,           5317.03,           5375.27,           5454.86,           5748.13,           5597.24,           4969.47,           5024.61,           3891.67,           3180.59,           3614.70,           3470.39,           3637.46,           3197.55,
Denmark,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7538.18,           5651.22,           5480.61,           7973.94,           8787.46,           9976.95,          10468.70,           7604.82,           7531.85,           8950.05,           7448.66,           6983.59,           6203.05,           5972.89,           5066.39,           5125.53,           4585.48,           4422.07,           4321.80,           4256.70,           4404.16,           4006.91,           3537.07,           3036.74,           2941.28,           3781.46,           3488.35,           3550.54,           3219.33,
