Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Ecuador,...,...,Development,GDP (current US$ Mil),         104295.86,          99937.70,          99290.38,         101726.33,          95129.66,          87924.54,          79276.66,          69555.37,          62519.69,          61762.64,          51007.78,          46802.04,          41507.08,          36591.66,          32432.86,          28548.95,          24468.32,          18327.76,          19645.27,          27981.90,          28162.05,          25226.39,          24432.88,          22708.67,          18938.72,          18094.24,          16988.54,          15239.28,          13890.83,          13051.89
Ecuador,...,...,Export,No. Of Export partners,            159.00,            162.00,            158.00,            154.00,            160.00,            155.00,            152.00,            148.00,            151.00,            149.00,            153.00,            142.00,            138.00,            134.00,            136.00,            142.00,            139.00,            128.00,            125.00,            114.00,            125.00,            128.00,            109.00,            101.00,             94.00,             89.00,             87.00,,,
Ecuador,...,...,Export,No. Of Export products,           2300.00,           2412.00,           2361.00,           2393.00,           2378.00,           2357.00,           2404.00,           2392.00,           2477.00,           2371.00,           2281.00,           2233.00,           2105.00,           1951.00,           1802.00,           1491.00,           1497.00,           1430.00,           1447.00,           1286.00,           1323.00,           1587.00,           1525.00,           1536.00,           1451.00,           1061.00,            506.00,,,
Ecuador,...,...,Import,No. Of Import partners,            192.00,            183.00,            192.00,            191.00,            203.00,            154.00,            184.00,            139.00,            136.00,            137.00,            123.00,            125.00,            126.00,            146.00,            142.00,            135.00,            138.00,            139.00,            122.00,            143.00,            121.00,            108.00,            101.00,            104.00,             92.00,             86.00,             93.00,,,
Ecuador,...,...,Import,No. Of Import products,           3981.00,           3970.00,           4011.00,           4059.00,           4064.00,           4112.00,           4081.00,           4121.00,           4064.00,           4071.00,           4234.00,           4227.00,           4248.00,           4252.00,           4238.00,           4251.00,           4259.00,           4183.00,           4184.00,           4270.00,           4216.00,           4200.00,           4240.00,           4166.00,           4027.00,           3742.00,           3699.00,,,
Ecuador,...,...,Tariff,No. Of Tariff Agreement,             46.00,             45.00,             45.00,             44.00,,             42.00,             42.00,             44.00,             42.00,             42.00,             13.00,             13.00,             12.00,             12.00,              1.00,              1.00,              1.00,              1.00,              2.00,              2.00,              3.00,              1.00,              2.00,              1.00,              1.00,,,,,
Ecuador,...,...,Development,Trade Balance (current US$ Mil),           -788.57,            487.94,          -2708.08,          -1632.16,          -2216.12,          -1249.84,          -1782.01,          -3139.26,          -1004.46,            166.96,            651.06,            447.60,           -358.41,           -569.57,           -663.20,          -1824.79,          -1052.03,            877.97,            698.16,          -2129.76,           -548.41,             83.47,           -815.44,           -730.79,           -587.01,            626.23,            365.68,            142.31,           -631.60,           -606.99
Ecuador,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            876.31,            683.25,            730.21,,,,,,            673.46,            894.28,            730.93,            883.96,            685.18,            508.07,            398.19,            405.93,,            136.37,,,,,,            226.92,,,            137.11,,,
Ecuador,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1236.13,           1150.56,           1138.08,           2327.63,           2464.24,           1993.83,           1105.50,            846.63,            899.98,           1509.37,            658.14,            554.36,,,,,,,,,            237.85,            220.53,            194.38,            166.49,,            151.68,,,,
Ecuador,Chile,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            490.55,,,,,            265.85,            200.38,,,,,,,,,,,,
Ecuador,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3684.97,           3090.21,           4073.76,           4614.57,           4508.39,           2810.68,           3326.99,           1606.56,           1100.28,           1636.36,           1121.74,            828.18,            621.73,            703.80,            481.85,,,,,,,,,,,,,,,
Ecuador,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            810.46,            784.03,            951.31,            921.67,           1059.11,,,            678.34,            803.78,            650.63,            715.26,            471.28,            282.02,            362.22,            361.04,            323.96,            259.49,            227.23,            282.55,            352.09,            300.47,            251.88,            225.97,            141.34,,,,,
Ecuador,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1603.07,           1308.49,           1608.40,           2063.23,           2162.91,           2190.19,           2108.10,           2022.33,           1537.90,           1791.37,           1488.84,           1546.54,           1383.17,           1107.49,            901.05,            902.35,            770.40,            488.20,            363.38,            592.13,            478.82,            378.44,            399.54,            297.87,,,,,,
Ecuador,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,            188.78,,            107.91,            136.97,,,
Ecuador,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,            125.91,            228.32,            188.10,,            190.40,            216.92,            131.19,            133.47,            142.75,,,
Ecuador,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,            426.73,            381.17,            354.26,            377.42,            289.25,,,            208.11,            257.16,            271.40,,            173.34,,            120.96,,,,,
Ecuador,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,            227.35,            127.95,            144.91,,,
Ecuador,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            391.56,            351.30,,            141.97,            481.24,            262.95,            209.76,            361.13,            515.46,            344.68,            326.75,            233.04,,,
Ecuador,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            296.08,            238.20,            317.04,            213.52,,,            314.42,            290.37,            289.62,            281.59,            347.82,            296.87,,,
Ecuador,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            833.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           1139.42,           1168.22,,           1070.89,,,,,,,,,,,,,,,            197.65,,,,,,,,
Ecuador,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            935.81,,,           1398.08,,,           1041.44,           2139.17,           1963.84,            879.42,,,            678.16,           1088.49,,,            297.23,            293.26,            219.50,,,            211.72,,,,,,,,
Ecuador,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            892.26,,,            954.60,           1293.77,           1662.99,           1471.60,           1027.24,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Peru,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1282.53,            934.22,            934.19,           1581.77,           1882.87,           1991.58,           1764.57,           1335.59,            939.44,           1731.04,           1491.92,           1039.36,            868.90,            601.44,            632.89,            373.71,            341.41,            288.52,,            199.11,            222.76,,,,            130.33,,            164.08,,,
Ecuador,Peru,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            622.67,,,,           1127.95,,           1035.59,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            817.41,,,,,,,,,,            260.82,,,,,,,,,,,,,,,
Ecuador,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            140.11,,,,,,            113.21,            113.08,,,
Ecuador,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,            119.20,            131.33,,,,
Ecuador,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6056.91,           5436.08,           7226.22,          11239.61,          11130.95,          10662.57,           9725.73,           6077.50,           4625.86,           8435.40,           5977.82,           6824.75,           4941.48,           3264.95,           2451.55,           2052.01,           1781.23,           1828.21,           1708.18,           1637.22,           1991.95,           1851.44,           1853.36,           1625.07,           1397.44,           1421.56,           1402.67,,,
Ecuador,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3960.17,           3753.80,           5085.70,           7692.96,           6807.96,           6773.93,           5138.35,           5736.44,           3962.36,           3748.24,           2794.78,           2738.81,           1842.72,           1323.17,           1227.57,           1480.87,           1326.44,            883.56,            918.44,           1680.19,           1376.22,           1174.02,           1289.71,            950.26,            810.09,            813.55,            742.25,,,
Ecuador,Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,           1007.90,           1473.87,            973.96,,,            484.07,,,,,,,,,,,,,,,,,,,
Ecuador,Venezuela,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            739.27,           2525.90,           1318.46,,            450.66,            559.17,            382.24,            353.23,            293.58,            271.68,            193.16,            269.36,            301.83,            172.60,            262.54,,,,,,,
Ecuador,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1457.71,           1115.94,            784.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        9256976.45,        7108531.62,       11201608.61,       15248009.93,,       14099332.53,       14029876.02,        8925478.79,        9104432.64,       10120271.52,        5871660.20,        4594429.67,        2189359.73,        1524703.51,        1121363.83,         608181.13,         447008.40,         343745.87,              0.00,         223037.35,         230617.51,         189868.42,         141901.39,         167467.42,         106050.93,,,,,
Ecuador,World,Animal,Export,Export(US$ Mil),           3296.49,           2848.13,           2565.73,           2847.80,           2091.38,           1650.80,           1507.54,           1107.66,            910.40,            918.93,            749.89,            726.52,            539.70,            407.82,            376.83,            357.16,            389.18,            360.85,            690.77,            966.42,            982.38,            726.36,            776.56,            634.84,            524.88,            589.04,            544.63,,,
Ecuador,World,Capital goods,Export,Export(US$ Mil),            208.03,            240.39,            249.42,            278.75,            295.32,            521.61,            407.95,            438.53,            269.70,            477.99,            308.70,            360.18,            142.56,             61.30,            119.60,             36.63,             33.17,             29.03,             29.38,             26.26,             28.38,             43.68,             41.33,             33.13,             32.62,             22.45,             12.60,,,
Ecuador,World,Chemicals,Export,Export(US$ Mil),            113.23,            122.77,            151.45,            135.99,            169.53,            235.09,            191.30,            201.93,            109.77,            113.56,             96.79,            120.76,             75.00,             86.15,             87.75,             72.37,             65.72,             54.90,             57.16,             53.26,             47.35,             42.99,             40.77,             30.60,             24.94,             14.84,             13.01,,,
Ecuador,World,Consumer goods,Export,Export(US$ Mil),           3831.38,           3190.24,           3183.25,           3651.98,           4038.41,           4196.09,           3955.24,           3131.26,           2844.52,           3589.21,           2710.21,           2415.25,           1845.50,           1492.20,           1406.20,           1294.93,           1163.10,           1019.09,            820.45,            815.58,            711.98,            595.47,            510.78,            427.24,            284.91,            179.86,            138.04,,,
Ecuador,World,Food Products,Export,Export(US$ Mil),           2574.51,           2427.95,           2456.72,           2710.59,           2633.47,           2283.88,           2158.94,           1642.52,           1578.72,           1734.63,           1304.71,           1171.91,            926.37,            774.52,            807.76,            663.88,            564.95,            468.83,            545.22,            460.30,            465.63,            518.47,            401.28,            312.56,            241.77,            186.03,            202.15,,,
Ecuador,World,Footwear,Export,Export(US$ Mil),             34.84,             42.21,             45.64,             50.21,             46.12,             42.52,             58.57,             45.17,             40.69,             38.85,             37.01,             30.78,             25.18,             22.61,             17.62,             19.01,             15.57,             13.61,              9.77,              9.91,             10.11,              9.09,              9.44,             10.26,              8.34,              6.39,              5.80,,,
Ecuador,World,Fuels,Export,Export(US$ Mil),           6914.48,           5495.73,           6661.97,          13276.06,          14106.35,          13797.48,          12909.39,           9672.49,           6963.95,          11720.09,           8279.08,           7544.24,           5869.38,           4233.79,           2606.38,           2060.97,           1899.82,           2442.32,           1479.64,            922.87,           1549.91,           1776.05,           1529.89,           1304.91,           1249.87,           1336.71,           1152.02,,,
Ecuador,World,Hides and Skins,Export,Export(US$ Mil),              9.37,              8.78,             13.50,             20.58,             17.57,             10.55,             11.80,              6.38,              2.96,              7.29,             10.04,              7.14,              5.75,              5.71,              4.91,              3.60,              4.67,              2.98,              2.55,              3.16,              2.88,              2.75,              3.78,              2.89,              1.65,              0.90,              0.45,,,
Ecuador,World,Intermediate goods,Export,Export(US$ Mil),           1299.20,           1579.75,           1978.59,           2254.06,           1795.47,           1843.22,           1425.00,           1088.92,            859.65,           1068.45,            770.40,            668.33,            555.73,            475.37,            416.85,            310.16,            319.44,            312.94,            301.31,            265.57,            388.98,            515.51,            338.47,            267.89,            223.62,            125.03,            127.42,,,
Ecuador,World,Mach and Elec,Export,Export(US$ Mil),            193.00,            199.20,            168.14,            194.89,            194.22,            204.65,            177.17,            186.77,            140.03,            206.67,            155.94,            132.82,             83.09,             54.54,             54.12,             36.58,             32.06,             31.55,             28.45,             34.33,             23.09,             32.44,             21.60,             18.77,             18.41,             15.14,              5.49,,,
Ecuador,World,Metals,Export,Export(US$ Mil),            326.24,            239.18,            286.64,            309.00,            319.04,            301.56,            247.62,            217.87,            204.96,            280.25,            246.72,            197.27,            119.59,             69.65,             51.29,             53.51,             53.26,             38.84,             37.71,             38.12,             43.45,             37.48,             42.23,             35.42,             21.73,             18.49,             11.57,,,
