Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Spain,...,...,Development,GDP (current US$ Mil),        1311320.02,        1237255.02,        1197789.90,        1376910.81,        1361854.21,        1336018.95,        1488067.26,        1431616.75,        1499099.75,        1635015.38,        1479341.64,        1264551.50,        1157276.46,        1069555.50,         906853.27,         705145.87,         625975.84,         595402.62,         633194.12,         617041.99,         588692.05,         640998.29,         612939.69,         529121.58,         523649.48,         629202.39,         575598.54,         535101.25,         413630.54,         375138.72
Spain,...,...,Export,No. Of Export partners,            228.00,            230.00,            226.00,            223.00,            227.00,            221.00,            222.00,            223.00,            217.00,            224.00,            221.00,            219.00,            217.00,            219.00,            220.00,            215.00,            216.00,            208.00,            204.00,            200.00,            203.00,            196.00,            203.00,            197.00,            195.00,            192.00,            177.00,            183.00,            179.00,
Spain,...,...,Export,No. Of Export products,           4491.00,           4516.00,           4509.00,           4514.00,           4511.00,           4486.00,           4517.00,           4515.00,           4517.00,           4545.00,           4548.00,           4785.00,           4766.00,           4765.00,           4763.00,           4751.00,           4802.00,           4799.00,           4794.00,           4797.00,           4819.00,           4756.00,           4825.00,           4816.00,           4793.00,           4769.00,           4764.00,           4749.00,           4755.00,
Spain,...,...,Import,No. Of Import partners,            231.00,            228.00,            229.00,            226.00,            226.00,            226.00,            229.00,            223.00,            218.00,            220.00,            221.00,            214.00,            216.00,            218.00,            215.00,            218.00,            216.00,            206.00,            200.00,            198.00,            197.00,            194.00,            200.00,            196.00,            194.00,            199.00,            179.00,            182.00,            181.00,
Spain,...,...,Import,No. Of Import products,           4537.00,           4566.00,           4558.00,           4563.00,           4562.00,           4516.00,           4558.00,           4557.00,           4559.00,           4562.00,           4565.00,           4824.00,           4822.00,           4818.00,           4826.00,           4826.00,           4888.00,           4904.00,           4921.00,           4929.00,           4917.00,           4908.00,           4971.00,           4977.00,           4970.00,           4953.00,           4960.00,           4956.00,           4952.00,
Spain,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,...,...,Development,Trade Balance (current US$ Mil),          34969.68,          37330.41,          27186.55,          33452.26,          44334.59,          19623.70,          -3658.83,         -18682.33,         -17245.07,         -83793.76,         -88627.16,         -74802.41,         -57858.48,         -41227.96,         -20102.71,         -14304.54,         -14708.72,         -17894.79,         -12306.63,          -3071.61,           1267.05,           -587.15,          -5924.74,          -4647.93,          -7359.18,         -21909.43,         -22095.27,         -21631.48,         -16771.22,          -7438.00
Spain,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          28960.42,          26404.75,          26474.44,          26227.84,          23059.56,          22671.31,          25932.84,          25005.97,          20123.25,          30279.43,          25382.67,          18050.44,          14557.16,          10613.25,,,,,,,,,,,,,,,,
Spain,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          46955.10,          42622.10,          42997.77,          49979.75,          49958.95,          46380.33,          53510.40,          45008.07,          43150.58,          50896.88,          47708.90,          40058.21,          36990.73,          35431.85,          29953.33,          23945.64,          22667.97,          22033.55,          21748.21,          21267.78,          19415.67,          20602.47,          18401.47,          14746.50,          11539.69,          13003.30,          12032.88,          11565.87,           8715.44,
Spain,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          37615.52,          33621.89,          33030.90,          38490.08,          36209.39,          34213.53,          39334.04,          33872.08,          33672.48,          46502.46,          48041.72,          42106.01,          40840.99,          39610.47,          33582.59,          27251.31,          25956.86,          26144.78,          26454.99,          24716.17,          21846.18,          21959.84,          19523.91,          16148.22,          13382.99,          15829.71,          14162.88,          12861.62,           9761.32,
Spain,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          34899.29,          31812.64,          30077.28,          33057.85,          31286.75,          29935.17,          30365.66,          25784.51,          24705.32,          29361.38,          27282.10,          23350.43,          21901.06,          21246.26,          18657.19,          14466.82,          13763.11,          14023.00,          14647.13,          14891.01,          14219.90,          14920.05,          13809.76,          10397.33,           8912.01,          10088.51,           9589.19,           7453.56,           5274.08,
Spain,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          43895.56,          40781.50,          39853.50,          42444.33,          36850.51,          34855.87,          42764.11,          37029.71,          38615.68,          58377.63,          59906.15,          46830.38,          42712.95,          41508.05,          34072.70,          26779.26,          24084.52,          22731.62,          23317.45,          20811.31,          18391.70,          18228.45,          17286.21,          13511.50,          11924.89,          16361.32,          15107.23,          14393.02,          11476.62,
Spain,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          25084.15,          22471.14,          20758.32,          22899.37,          21803.40,          21183.69,          23665.69,          21600.35,          18251.00,          22396.49,          22595.30,          18265.61,          16127.98,          16508.12,          15182.03,          11855.66,          10472.21,           9938.32,          10036.92,          10104.29,          10345.26,           8853.14,           8152.58,           6741.37,           5539.96,           7007.03,           6834.01,           5953.22,           4296.82,
Spain,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          22778.01,          19991.80,          19241.30,          20628.39,          19388.81,          20013.01,          23784.56,          22126.56,          20822.93,          32189.09,          34108.77,          27296.47,          24746.69,          23568.11,          18999.53,          15017.41,          14301.60,          13431.79,          13827.05,          13344.53,          11902.00,          11850.04,          10321.42,           8274.19,           6741.41,           9806.41,           9377.48,           8909.41,           7446.45,
Spain,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,          14170.23,,,,,,,,,           8379.65,,,,,,,,,,,,,,,
Spain,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          22378.62,          20135.91,          19913.78,          23913.65,          23220.26,          19608.56,          23921.86,          21973.47,          20526.61,          24672.32,          21947.46,          19056.50,          18456.10,          17836.51,          14967.44,          12807.48,          11836.89,          10619.36,          11168.08,          10294.58,           9632.58,           8922.09,           7485.70,           5694.36,           4422.63,           4836.01,           3968.82,           3369.29,,
Spain,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          21370.85,          21203.53,          20258.01,          21918.18,          20932.60,          17548.28,          18835.40,          15238.34,          14082.91,          19746.34,          19582.60,          17054.73,          16201.57,          16500.20,          14585.31,          12150.45,          10485.67,           9424.58,           9308.19,           9201.21,           9298.91,           8425.82,           7160.83,           6016.45,           5021.01,           4925.76,           4621.00,           5000.59,           4433.37,
Spain,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          14671.87,,,,          14298.00,          13818.04,          19245.90,          19416.33,          16688.42,          16454.57,          15915.76,          13368.65,          10823.89,          10895.79,          10736.75,          11042.74,          10359.11,          10108.26,          10195.35,           8812.31,           7259.64,           5931.70,           7282.33,           7026.48,           6277.43,           4639.35,
Spain,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           3278.61,
