Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Ethiopia(excludes Eritrea),...,...,Development,GDP (current US$ Mil),          80561.50,          73000.98,          64464.55,          55612.23,          47648.21,          43310.72,          31952.76,          29933.79,          32437.39,          27066.91,          19707.62,          15280.86,          12401.14,          10131.19,           8623.69,           7850.81,           8231.33,           8242.39,           7700.83,           7818.22,           8589.21,           8547.94,           7663.98,           6927.95,           8830.71,          10492.99,          13463.87,          12175.17,          11476.58,          10908.94
Ethiopia(excludes Eritrea),...,...,Export,No. Of Export partners,,            142.00,            156.00,            144.00,            142.00,            146.00,            143.00,            137.00,            139.00,            139.00,            138.00,            112.00,            111.00,            111.00,            104.00,             94.00,             88.00,             68.00,             59.00,             64.00,             70.00,,             52.00,,,,,,,
Ethiopia(excludes Eritrea),...,...,Export,No. Of Export products,,           1633.00,           1654.00,           1717.00,           1503.00,           1536.00,           1414.00,           1538.00,           1314.00,           1341.00,           1200.00,            503.00,            404.00,            515.00,            533.00,            505.00,            435.00,            163.00,            171.00,            146.00,            166.00,,            123.00,,,,,,,
Ethiopia(excludes Eritrea),...,...,Import,No. Of Import partners,,            162.00,            161.00,            168.00,            166.00,            164.00,            169.00,            159.00,            161.00,            159.00,            169.00,            167.00,            169.00,            176.00,            173.00,            157.00,            140.00,            152.00,            142.00,            137.00,            137.00,,             97.00,,,,,,,
Ethiopia(excludes Eritrea),...,...,Import,No. Of Import products,,           3876.00,           4055.00,           4080.00,           4094.00,           3900.00,           3839.00,           3833.00,           3784.00,           3834.00,           3874.00,           3939.00,           3859.00,           3691.00,           3681.00,           3448.00,           3513.00,           3359.00,           3291.00,           3272.00,           3010.00,,           3006.00,,,,,,,
Ethiopia(excludes Eritrea),...,...,Tariff,No. Of Tariff Agreement,,,              3.00,,,              3.00,              3.00,              3.00,              3.00,              3.00,,              1.00,,,,              1.00,              1.00,,,,,,              1.00,,,,,,,
Ethiopia(excludes Eritrea),...,...,Development,Trade Balance (current US$ Mil),         -12868.88,         -14315.71,         -13492.11,          -9708.70,          -7863.69,          -7736.73,          -4747.93,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia(excludes Eritrea),China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             88.69,            378.49,            533.17,            329.05,            320.92,            283.44,            241.76,            243.13,,,            101.35,             90.44,,,,,,,,,,,,,,,,,
Ethiopia(excludes Eritrea),China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           6095.99,           7166.91,           5808.43,           3244.70,           2572.36,           1718.11,           2062.08,           1920.40,           1750.43,           1138.77,            639.54,            516.95,            367.77,            313.41,            144.85,            134.81,             96.73,,,,,,,,,,,,
Ethiopia(excludes Eritrea),Djibouti,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             99.31,             54.35,             71.42,             51.48,             49.16,             55.32,,,             38.52,,,,,,,
