Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Faeroe Islands,...,...,Development,GDP (current US$ Mil),,,           2476.75,           2810.55,           2613.46,           2356.50,           2468.75,           2301.17,           2257.08,           2413.25,           2278.23,           1970.14,           1730.89,           1684.00,           1486.86,           1268.45,           1154.90,           1062.34,           1125.68,           1105.69,,,,,,,,,,
Faeroe Islands,...,...,Export,No. Of Export partners,,,,,,,,,             64.00,             58.00,             56.00,             53.00,             46.00,             51.00,             44.00,             38.00,             42.00,             40.00,             29.00,             30.00,             34.00,             32.00,,,,,,,,
Faeroe Islands,...,...,Export,No. Of Export products,,,,,,,,,            328.00,            335.00,            289.00,            319.00,            107.00,             91.00,             83.00,            121.00,            103.00,            129.00,            143.00,            165.00,            138.00,            103.00,,,,,,,,
Faeroe Islands,...,...,Import,No. Of Import partners,,,,,,,,,            184.00,            182.00,            170.00,            167.00,            156.00,            160.00,            165.00,            158.00,            158.00,            137.00,            116.00,            109.00,            107.00,            112.00,,,,,,,,
Faeroe Islands,...,...,Import,No. Of Import products,,,,,,,,,           3408.00,           3476.00,           3520.00,           3652.00,           3652.00,           3692.00,           3721.00,           3720.00,           3633.00,           3636.00,           3700.00,           3690.00,           3671.00,           3664.00,,,,,,,,
Faeroe Islands,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,...,...,Development,Trade Balance (current US$ Mil),,,,,           -169.33,           -352.35,           -150.87,            -84.99,           -158.74,           -219.49,           -370.34,           -200.44,           -172.92,            -64.60,           -202.04,            -12.92,            -14.66,            -83.51,            -34.40,             26.56,,,,,,,,,,
Faeroe Islands,Chile,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             51.64,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             83.81,            102.84,             95.83,             77.11,             88.12,            121.54,            140.13,            109.67,            133.31,            114.88,            153.76,            130.32,            115.83,            130.14,,,,,,,,
Faeroe Islands,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            237.92,            313.65,            293.31,            235.44,            199.44,            206.80,            191.92,            155.87,            147.40,            129.75,            132.62,            116.14,            106.75,            122.28,,,,,,,,
