Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Gabon,...,...,Development,GDP (current US$ Mil),          15013.95,          14014.37,          14377.32,          18179.75,          17590.75,          17171.45,          18186.48,          14358.58,          12065.14,          15508.57,          12438.96,          10318.42,           9578.97,           7756.29,           6497.31,           5310.38,           5018.87,           5067.87,           4662.99,           4483.42,           5326.82,           5694.04,           4958.85,           4190.82,           4378.65,           5592.39,           5402.92,           5952.29,           4186.41,           3834.50
Gabon,...,...,Export,No. Of Export partners,,,,,,,,,            114.00,            120.00,             97.00,             99.00,             98.00,             99.00,             96.00,             94.00,             89.00,             84.00,             86.00,             90.00,             80.00,             80.00,,             68.00,             72.00,,,,,
Gabon,...,...,Export,No. Of Export products,,,,,,,,,            693.00,            747.00,            657.00,            600.00,            731.00,            612.00,            674.00,            712.00,            801.00,            770.00,            818.00,            779.00,            616.00,            598.00,,            462.00,            457.00,,,,,
Gabon,...,...,Import,No. Of Import partners,,,,,,,,,            130.00,            125.00,            123.00,            126.00,            133.00,            119.00,            129.00,             21.00,            134.00,            121.00,            115.00,            123.00,            120.00,            115.00,,             95.00,             97.00,,,,,
Gabon,...,...,Import,No. Of Import products,,,,,,,,,           3424.00,           3367.00,           3345.00,           3323.00,           3138.00,           3120.00,           3041.00,           3028.00,           3319.00,           3285.00,           3325.00,           3290.00,           3307.00,           3353.00,,           3359.00,           3444.00,,,,,
Gabon,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,              2.00,              2.00,              2.00,,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,              5.00,,,,,,,,,,
Gabon,...,...,Development,Trade Balance (current US$ Mil),           3876.77,           2513.80,           2604.34,           2821.76,           4235.81,           5075.51,           5999.79,           3757.54,           2514.24,           5490.12,           3971.10,           3352.89,           3454.92,           2195.87,           1530.52,           1086.44,           1250.29,           1842.80,           1002.24,            -52.10,           1282.26,           1688.60,           1172.24,            981.68,            623.79,            686.87,            755.98,            903.53,            192.47,           -194.06
Gabon,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            392.62,            352.10,            276.87,            245.06,            177.14,            106.01,,             37.09,             39.20,             43.37,,,,,,,,,,,,
Gabon,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,             38.92,,,,,,,,,
Gabon,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             58.12,,,,,,,,,,,,,,
Gabon,Cameroon,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             59.95,             52.59,,             31.67,,,,,,,,,,,,,,,
Gabon,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,             81.62,,,,,
Gabon,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            427.92,           1259.98,            599.68,            635.82,            202.92,            175.01,            155.43,            108.08,            129.11,            175.41,            160.42,             90.85,            160.14,            136.24,,,,,,,,
