Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Georgia,...,...,Development,GDP (current US$ Mil),          15081.34,          14378.02,          13993.55,          16509.31,          16140.05,          15846.47,          14434.62,          11638.54,          10766.81,          12795.04,          10172.87,           7745.40,           6410.85,           5125.36,           3991.28,           3395.74,           3219.49,           3057.45,           2800.02,           3613.50,           3510.54,           3094.92,           2693.73,           2513.87,           2701.18,           3690.33,           6357.62,           7753.50,,
Georgia,...,...,Export,No. Of Export partners,            119.00,            116.00,            113.00,            120.00,            110.00,            112.00,            107.00,            106.00,            103.00,             93.00,             96.00,            101.00,             93.00,             80.00,             84.00,             87.00,             81.00,             86.00,             68.00,             65.00,             59.00,             50.00,,,,,,,,
Georgia,...,...,Export,No. Of Export products,           2262.00,           2167.00,           2173.00,           2112.00,           2056.00,           1955.00,           1829.00,           1742.00,           1618.00,           1676.00,           1620.00,           1624.00,           1432.00,           1316.00,           1206.00,           1166.00,           1146.00,           1195.00,           1219.00,           1018.00,            932.00,            863.00,,,,,,,,
Georgia,...,...,Import,No. Of Import partners,            123.00,            119.00,            126.00,            130.00,            120.00,            125.00,            132.00,            126.00,            118.00,            122.00,            113.00,            116.00,            117.00,            116.00,            110.00,            110.00,            103.00,             92.00,             94.00,             98.00,             89.00,             75.00,,,,,,,,
Georgia,...,...,Import,No. Of Import products,           3955.00,           3928.00,           3927.00,           3880.00,           3885.00,           3853.00,           3795.00,           3688.00,           3624.00,           3914.00,           3966.00,           3906.00,           3692.00,           3589.00,           3237.00,           3098.00,           3049.00,           3030.00,           2964.00,           2628.00,           2386.00,           2070.00,,,,,,,,
Georgia,...,...,Tariff,No. Of Tariff Agreement,,              4.00,              5.00,,              3.00,             13.00,             13.00,             13.00,             13.00,             12.00,             11.00,             13.00,              1.00,              1.00,              1.00,              1.00,              2.00,,              4.00,,,,,,,,,,,
Georgia,...,...,Development,Trade Balance (current US$ Mil),          -1807.19,          -2260.38,          -2453.39,          -2893.51,          -2090.48,          -3113.48,          -2674.97,          -2073.21,          -2066.65,          -3810.83,          -2720.72,          -1870.60,          -1142.38,           -852.17,           -582.11,           -447.24,           -463.84,           -509.76,           -533.14,           -746.16,           -931.43,           -589.40,           -453.22,          -1291.08,           -671.55,          -1130.35,           -231.79,           -413.52,,
Georgia,Armenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            208.70,,            157.00,            280.57,            312.62,            255.69,            218.07,            163.69,             88.26,            124.78,            110.78,             73.52,,             54.33,             30.68,,,             13.55,             15.00,             17.83,             18.94,             21.03,,,,,,,,
Georgia,Azerbaijan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            272.17,            153.46,            240.95,            544.17,            709.93,            626.51,            425.73,            255.81,            164.99,            205.22,            137.29,             88.25,             83.26,,,             29.21,,             20.27,             19.18,             18.47,             25.10,             24.34,,,,,,,,
Georgia,Azerbaijan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            609.72,            495.38,,,,            460.44,            472.12,            391.86,            288.77,            607.64,            381.94,            318.49,            233.34,            155.82,             93.71,             80.29,             73.21,             56.06,             41.48,             73.52,            115.80,             78.70,,,,,,,,
Georgia,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            167.16,            214.25,,,,,,,,,,             42.84,,,,,,,,,,,,,,,,,
Georgia,Bulgaria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,             43.27,,,,,,,,
Georgia,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            118.74,            117.22,            131.80,,,,,,,,,,,,,,,,,,,,
Georgia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            207.22,            169.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            732.29,            547.48,            587.36,            733.47,            612.25,            614.42,            527.70,            335.16,,,,,,,,,,,,,,,,,,,,,,
Georgia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             34.00,             24.53,             13.24,,,,,,,,,,
Georgia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            419.37,,            466.10,            448.95,            540.44,            480.97,            334.69,            302.77,            432.82,            386.14,            350.77,            206.49,            150.84,,             59.60,             75.80,             54.86,             44.09,             82.13,,,,,,,,,,
Georgia,Ireland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            456.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Kazakhstan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            156.87,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Romania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,             40.94,,,,,,,,
Georgia,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            394.71,            206.23,            159.44,            270.03,            179.68,,,,,,,             75.57,            153.72,            104.53,             83.93,             61.10,             74.01,             67.22,             44.61,             55.23,             68.69,             56.66,,,,,,,,
Georgia,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            788.97,            674.95,            515.75,            462.23,            503.52,,,,,            424.65,            575.28,            557.60,            382.63,            254.89,            160.63,            121.73,             92.78,             92.78,            115.63,            127.14,            124.51,            127.09,,,,,,,,
Georgia,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             33.25,,             16.33,,,,             13.92,,,,,,,,,
Georgia,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            216.57,            173.57,            168.41,            222.38,            184.03,            134.89,            214.07,            206.38,            218.90,            262.90,            171.69,            123.30,            121.83,            118.61,             82.55,             53.74,             69.86,             72.84,             37.72,             20.29,             39.42,             25.89,,,,,,,,
Georgia,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1372.80,           1352.40,           1327.40,           1728.76,           1410.20,           1470.24,           1278.68,            885.90,            786.91,            916.17,            708.37,            519.37,            282.26,            201.37,            111.62,             89.22,            106.91,            111.09,             73.20,             98.39,            116.72,             76.59,,,,,,,,
Georgia,Turkmenistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             71.81,             75.83,            113.44,             54.91,             36.73,             28.88,,,,,             13.43,,,,,,,,
Georgia,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            192.82,            167.02,,,             83.96,            134.16,             94.17,,,,,,,,,,,,,,,,,,,
Georgia,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            445.15,,            455.57,            548.61,            601.50,            587.88,            691.86,            551.34,            411.80,            654.84,            469.73,            301.89,            200.50,,,,,,,,             55.67,,,,,,,,,
Georgia,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,             31.67,,             32.77,             22.87,,,,,,,,,,,,,
Georgia,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            158.40,            123.74,,,,,,,,,,,,,,,
Georgia,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            207.37,,            226.20,            143.47,            187.23,,,            149.04,,,,,,,,,,,,,,,,,,,
Georgia,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            231.62,,,,,,             90.65,             68.52,             63.97,             69.56,             71.78,             75.85,             70.35,,,,,,,,,
Georgia,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,        6282619.32,        7126074.45,,        6751016.10,        7265131.01,        5763020.74,        4847693.55,        3878560.79,        5720469.38,        4713021.94,        2038312.61,         615909.32,          38939.98,          24549.64,          21619.49,          15172.33,,              0.00,,,,,,,,,,,
Georgia,World,Animal,Export,Export(US$ Mil),             81.37,             74.64,             53.07,             61.46,             72.27,             65.03,             18.56,             18.13,             19.49,              9.24,              5.14,              2.41,              4.17,              5.48,              0.98,              2.99,              0.57,              0.48,              1.39,              1.26,              0.85,              0.83,,,,,,,,
Georgia,World,Capital goods,Export,Export(US$ Mil),            139.53,             77.63,            117.79,            136.26,            177.28,            138.65,             96.81,             76.25,             68.18,             72.50,             76.03,            105.09,            117.00,            114.36,             45.70,             54.73,             55.74,             34.04,             38.28,             11.95,             14.79,             10.58,,,,,,,,
Georgia,World,Chemicals,Export,Export(US$ Mil),            283.60,            225.10,            312.82,            291.15,            258.79,            261.16,            228.49,            142.83,            104.43,            157.22,            117.87,             77.74,             58.51,             44.22,             27.94,             22.71,             16.88,             32.17,             17.64,             22.81,             24.84,             19.90,,,,,,,,
Georgia,World,Consumer goods,Export,Export(US$ Mil),           1160.86,            810.64,            852.22,           1313.85,           1330.01,           1046.44,            800.92,            508.24,            302.57,            374.13,            334.75,            254.57,            269.14,            181.52,            153.30,             98.59,             85.37,             83.69,             62.55,             71.04,             87.37,             75.01,,,,,,,,
Georgia,World,Food Products,Export,Export(US$ Mil),            527.32,            367.61,            317.46,            500.99,            405.12,            266.54,            214.60,            179.97,            147.54,            175.62,            196.10,            151.49,            204.55,            143.38,            129.31,             78.42,             60.70,             57.53,             30.73,             37.59,             47.77,             21.61,,,,,,,,
Georgia,World,Footwear,Export,Export(US$ Mil),              1.58,              2.24,              2.27,              4.19,              3.14,              0.54,              0.40,              0.26,              1.18,              1.17,              0.82,              0.35,              0.14,              0.13,              0.14,              0.03,              0.71,              1.52,              1.50,              0.74,              0.47,              0.63,,,,,,,,
Georgia,World,Fuels,Export,Export(US$ Mil),            104.97,             62.29,            136.43,             77.00,             70.63,             50.28,             72.31,             70.64,             44.52,             44.18,             45.90,             29.45,             27.98,             22.80,             23.31,             18.86,             28.99,             26.26,             23.12,             21.48,             40.31,             37.45,,,,,,,,
Georgia,World,Hides and Skins,Export,Export(US$ Mil),              3.60,              4.34,              5.62,              7.43,              7.05,              5.25,              4.86,              4.04,              2.22,              2.75,              3.64,              2.48,              1.68,              1.70,              1.71,              1.74,              2.09,              2.32,              0.76,              0.94,              1.51,              1.77,,,,,,,,
Georgia,World,Intermediate goods,Export,Export(US$ Mil),            692.75,            506.32,            559.17,            762.71,            783.17,            731.32,            750.89,            637.27,            432.10,            656.07,            450.62,            263.22,            217.53,            134.21,            103.68,             97.30,             67.74,             70.22,             64.23,             65.88,             90.59,             68.50,,,,,,,,
Georgia,World,Mach and Elec,Export,Export(US$ Mil),             97.92,             53.94,             65.02,             71.58,             77.49,             68.53,             48.02,             27.11,             29.10,             29.90,             44.05,             38.06,             34.78,             22.04,             12.22,              9.62,             15.75,             23.35,             12.83,              9.02,             11.68,              7.72,,,,,,,,
Georgia,World,Metals,Export,Export(US$ Mil),            441.48,            250.64,            293.45,            481.79,            462.66,            454.29,            525.93,            488.11,            232.10,            475.60,            332.03,            217.87,            195.42,            167.29,            113.63,             70.34,             80.54,             80.81,             55.98,             38.51,             49.60,             29.87,,,,,,,,
Georgia,World,Minerals,Export,Export(US$ Mil),            430.51,            342.03,            277.36,            267.65,            199.22,             93.13,            116.73,             92.86,             91.02,            204.78,            144.90,            111.52,             56.85,             45.25,             32.77,             19.68,             24.44,             31.14,             15.82,             10.25,             11.26,             14.69,,,,,,,,
Georgia,World,Miscellaneous,Export,Export(US$ Mil),             37.78,             42.97,             34.22,             28.46,             28.70,             60.81,             69.83,             58.55,             44.90,              9.90,             11.17,              9.35,              6.97,              2.97,              1.40,              3.09,              1.81,              3.18,              5.17,              1.41,              0.54,              1.04,,,,,,,,
Georgia,World,Plastic or Rubber,Export,Export(US$ Mil),             50.88,             34.25,             32.85,             35.60,             24.83,             13.10,              4.62,              2.55,              1.87,              2.26,              2.56,              2.47,              0.65,              2.09,              1.34,              1.44,              1.07,              1.43,              1.08,              0.87,              1.41,              2.16,,,,,,,,
Georgia,World,Raw materials,Export,Export(US$ Mil),            723.07,            696.81,            669.50,            641.00,            615.48,            423.66,            485.93,            408.93,            295.74,            392.17,            366.77,            311.67,            260.62,            216.37,            158.21,             94.82,            108.58,            133.16,             73.10,             43.44,             47.03,             44.67,,,,,,,,
Georgia,World,Stone and Glass,Export,Export(US$ Mil),             89.94,             98.87,             85.95,             63.01,            100.24,            109.47,            126.25,            130.69,            122.45,            108.55,             79.99,             56.71,             40.52,             22.64,             22.73,             29.60,             15.35,              3.08,              1.19,              1.61,              3.30,              1.50,,,,,,,,
Georgia,World,Textiles and Clothing,Export,Export(US$ Mil),             96.58,             85.99,             91.27,             90.97,             62.55,             44.61,             27.71,             29.15,             25.14,             21.30,             16.32,             11.99,              8.96,              2.29,              3.45,              1.76,              1.39,              1.41,              1.62,              2.68,              3.70,              5.70,,,,,,,,
Georgia,World,Transportation,Export,Export(US$ Mil),            266.40,            184.67,            228.88,            588.32,            807.67,            667.64,            546.55,            301.88,            122.41,            163.51,            108.98,            121.23,            111.90,             97.96,             44.84,             56.77,             40.43,             15.32,             28.97,              5.57,              5.83,              3.52,,,,,,,,
Georgia,World,Vegetable,Export,Export(US$ Mil),            168.35,            250.00,            241.67,            263.39,            297.42,            179.02,            156.81,            111.02,            120.40,             65.65,             97.37,             81.00,             95.18,             53.49,             34.38,             23.16,             22.37,             34.61,             34.10,             31.03,             30.75,             37.55,,,,,,,,
Georgia,World,Wood,Export,Export(US$ Mil),             45.70,             34.15,             26.33,             28.04,             32.78,             37.25,             24.73,             19.48,             24.87,             25.84,             25.52,             21.03,             17.19,             13.17,             11.26,              5.73,              4.54,              8.14,              6.27,              6.55,              5.96,             12.84,,,,,,,,
Georgia,World,All Products,Export,Exports (in US$ Mil),           2727.96,           2113.73,           2204.68,           2861.04,           2910.58,           2376.63,           2186.41,           1677.30,           1133.63,           1497.48,           1232.36,            935.14,            865.45,            646.90,            461.41,            345.93,            317.64,            322.75,            238.17,            192.32,            239.79,            198.77,,,,,,,,
Georgia,World,Capital goods,Import,Import(US$ Mil),           1571.92,           1571.45,           1393.28,           1610.43,           1447.21,           1669.82,           1423.55,            877.09,            742.06,           1232.84,           1024.82,            746.59,            551.73,            380.47,            258.69,            179.67,            185.33,            166.06,            130.32,            212.74,            113.41,             62.59,,,,,,,,
Georgia,World,Consumer goods,Import,Import(US$ Mil),           4184.22,           3873.82,           4441.76,           4865.01,           4571.24,           4423.61,           3879.38,           3023.30,           2450.93,           3329.09,           2742.59,           2080.60,           1351.28,            924.58,            539.03,            422.73,            389.83,            359.62,            344.40,            429.97,            542.77,            397.12,,,,,,,,
Georgia,World,Intermediate goods,Import,Import(US$ Mil),           1210.14,           1064.43,           1099.45,           1262.10,           1176.04,           1255.57,           1036.71,            747.50,            565.34,           1026.07,            806.59,            521.48,            422.39,            375.56,            269.92,            129.00,            122.68,            111.14,             80.23,            167.02,            190.66,            135.57,,,,,,,,
Georgia,World,Raw materials,Import,Import(US$ Mil),            871.90,            695.96,            752.64,            816.68,            761.04,            672.20,            359.65,            267.83,            193.80,            432.99,            365.67,            234.97,            121.44,            130.26,             67.64,             59.44,             51.87,             66.74,             48.18,             70.63,             94.88,             91.50,,,,,,,,
Georgia,World,All Products,Import,Imports (in US$ Mil),           7979.43,           7235.77,           7730.08,           8601.81,           8022.26,           8053.87,           7071.61,           5235.75,           4475.32,           6055.67,           5214.13,           3674.47,           2489.95,           1845.55,           1141.16,            795.54,            753.23,            709.38,            603.13,            880.38,            941.72,            686.78,,,,,,,,
Georgia,...,...,Development,"GNI per capita, Atlas method (current US$)",           3780.00,           3830.00,   4120.00,   4490.00,   4240.00,   3870.00,   3300.00,   3000.00,   2810.00,   2670.00,   2250.00,   1790.00,   1410.00,   1120.00,    910.00,    770.00,    720.00,    750.00,    780.00,    820.00,    790.00,    650.00,    540.00,    510.00,    540.00,    750.00,,,,
Georgia,...,...,Trade Indicator,HH Market concentration index,              0.11,              0.05,      0.05,      0.06,      0.05,      0.04,      0.04,      0.05,      0.06,      0.08,      0.06,      0.06,      0.09,      0.10,      0.10,      0.09,      0.10,      0.11,      0.09,      0.12,      0.17,      0.15,,,,,,,,
Georgia,...,...,Trade Indicator,Index of export market penetration,              2.72,              2.58,      2.57,      2.59,      2.56,      2.39,      2.32,      2.20,      2.10,      2.12,      2.07,      1.95,      1.87,      1.80,      1.76,      1.74,      1.77,      1.76,      1.69,      1.65,      1.59,      1.55,,,,,,,,
Georgia,...,...,Development,Trade (% of GDP),            112.51,            102.93,    107.01,    103.41,    102.33,     95.95,     91.02,     87.72,     78.67,     87.02,     89.16,     89.88,     85.32,     79.74,     78.26,     71.63,     63.33,     62.66,     57.15,     53.57,     57.75,     45.70,     67.83,    166.90,    118.64,    101.94,     58.85,     85.33,     87.50,     88.44
Georgia,...,...,Development,Trade Balance (% of GDP),            -11.98,            -15.72,    -17.53,    -17.53,    -12.95,    -19.65,    -18.53,    -17.81,    -19.19,    -29.78,    -26.74,    -24.15,    -17.82,    -16.63,    -14.58,    -13.17,    -14.41,    -16.67,    -19.04,    -20.65,    -26.53,    -19.04,    -16.82,    -51.36,    -24.86,    -30.63,     -3.65,     -5.33,     -2.78,     -4.08
Georgia,...,...,Development,Trade in services (% of GDP),             39.49,             35.12,     34.09,     28.96,     28.16,     25.34,     22.75,     23.49,     21.43,     19.67,     20.07,     21.26,     21.43,     20.61,     22.13,     23.06,     21.47,     21.72,     15.75,     19.66,     12.75,,,,,,,,,
Georgia,Armenia,All Products,Export,Partner share(%)-Top 5 Export Partner,              7.65,,      7.12,      9.81,     10.74,     10.76,      9.97,      9.76,      7.79,      8.33,      8.99,      7.86,,      8.40,      6.65,,,      4.20,      6.30,      9.27,      7.90,     10.58,,,,,,,,
Georgia,Azerbaijan,All Products,Export,Partner share(%)-Top 5 Export Partner,              9.98,              7.26,     10.93,     19.02,     24.39,     26.36,     19.47,     15.25,     14.55,     13.70,     11.14,      9.44,      9.62,,,      8.44,,      6.28,      8.05,      9.60,     10.47,     12.25,,,,,,,,
Georgia,Azerbaijan,All Products,Import,Partner share(%)-Top 5 Import Partner,              7.64,              6.85,,,,      5.72,      6.68,      7.48,      6.45,     10.03,      7.33,      8.67,      9.37,      8.44,      8.21,     10.09,      9.72,      7.90,      6.88,      8.35,     12.30,     11.46,,,,,,,,
Georgia,Bulgaria,All Products,Export,Partner share(%)-Top 5 Export Partner,,              7.91,      9.72,,,,,,,,,,      4.95,,,,,,,,,,,,,,,,,
Georgia,Bulgaria,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,      6.30,,,,,,,,
Georgia,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,      7.08,     10.34,      8.80,,,,,,,,,,,,,,,,,,,,
Georgia,China,All Products,Export,Partner share(%)-Top 5 Export Partner,              7.60,              8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
