Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Ghana,...,...,Development,GDP (current US$ Mil),          58996.78,          55009.73,          49181.85,          53601.13,          63277.22,          41939.73,          39566.29,          32174.77,          25977.85,          28526.89,          24758.82,          20409.67,          10731.63,           8881.37,           7632.41,           6166.33,           5314.91,           4983.02,           7719.35,           7480.97,           6891.31,           6934.98,           6465.14,           5444.56,           5966.26,           6413.90,           6596.55,           5889.17,           5251.76,           5197.84
Ghana,...,...,Export,No. Of Export partners,            150.00,            127.00,,,            145.00,            141.00,            152.00,            115.00,            127.00,            144.00,            134.00,            127.00,            148.00,            140.00,            139.00,,            112.00,            125.00,            108.00,            105.00,            107.00,            109.00,,,,,,,,
Ghana,...,...,Export,No. Of Export products,           1980.00,           1797.00,,,           2282.00,           1938.00,           1844.00,           1474.00,           1415.00,           1523.00,           1434.00,           1203.00,           1268.00,              1.00,           1280.00,,            868.00,           1193.00,           1123.00,           1225.00,           1134.00,           1247.00,,,,,,,,
Ghana,...,...,Import,No. Of Import partners,            180.00,            185.00,,,            171.00,            167.00,            171.00,            153.00,            161.00,            165.00,            165.00,            161.00,            155.00,            171.00,            179.00,            152.00,            151.00,            150.00,            162.00,            155.00,            162.00,            158.00,,,,,,,,
Ghana,...,...,Import,No. Of Import products,           4160.00,           4208.00,,,           4078.00,           4105.00,           4079.00,           3986.00,           4154.00,           4219.00,           4232.00,           4220.00,           4195.00,              1.00,           4177.00,           3919.00,           3984.00,           3978.00,           3949.00,           3868.00,           3801.00,           3672.00,,,,,,,,
Ghana,...,...,Tariff,No. Of Tariff Agreement,              2.00,              2.00,,,              2.00,,,              1.00,              2.00,              2.00,              2.00,,,              1.00,              1.00,              1.00,              2.00,              1.00,,,,,,,,,,,,
Ghana,...,...,Development,Trade Balance (current US$ Mil),          -1847.90,          -3078.52,          -5738.93,          -4035.30,          -6345.73,          -5221.33,          -4915.02,          -5284.51,          -3379.98,          -5550.00,          -4036.71,          -3171.09,          -2712.21,          -1870.74,          -1215.77,           -755.79,          -1040.65,           -919.06,          -1354.63,           -961.82,          -1418.32,           -553.45,           -545.02,           -626.34,           -964.22,           -740.27,           -564.75,           -528.40,           -399.17,           -305.57
Ghana,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,            212.72,            130.50,            113.87,,,,,,,,,,,,,,,
Ghana,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            718.81,            577.37,,,            918.05,            927.43,            809.30,            445.57,            341.92,            455.11,            431.02,            300.93,            283.84,            251.60,,            142.61,,,,,,,,,,,,,,
Ghana,Burkina Faso,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            207.62,,            163.06,            456.02,,,,,,,             62.30,,,,,,,,,,,
Ghana,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2381.36,            941.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2134.18,           1964.59,,,           2280.47,           2407.44,           2062.11,           1060.93,            835.84,           1060.70,            806.06,            504.04,            395.80,            364.81,            179.63,,,,,,,,,,,,,,,
Ghana,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            941.56,           1409.59,           1722.43,,,,,            164.72,,            109.75,,,,,,             66.57,             79.92,,,,,,,,,
Ghana,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            498.44,            294.84,,,,,,,,,,,,            200.63,,,,,,,,,
Ghana,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            113.35,,,             84.47,,             87.38,            119.56,            307.09,,,,,,,,
Ghana,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            314.78,            218.95,            189.17,            210.59,            205.21,            222.58,            237.79,            296.27,            292.56,,,,,,,,
Ghana,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2689.42,           1557.74,,,,,,,,            214.84,,,,,,,,,,,,,,,,,,,,
Ghana,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            527.62,,,            608.81,            595.99,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           1097.46,           1226.91,           1041.46,,,,,,,,,,             49.75,,             81.17,,,             94.68,,,,,,,,
Ghana,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,            127.32,,            112.11,,,,,,,,
Ghana,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            159.31,,,,,,,,
Ghana,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            127.53,,,,,,,,,,,,,,,,,,,,
Ghana,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            884.61,,,,,,,            291.81,            439.02,            473.68,            425.74,            402.57,            344.99,            452.37,            274.13,,             71.31,            176.05,            179.22,            184.32,            209.55,            207.59,,,,,,,,
Ghana,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            191.78,            184.10,            209.75,            149.90,            239.47,,,,,,,,,
Ghana,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,            393.93,,,,,,,,,,,,,,,,,
Ghana,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            841.73,,,            790.51,            502.55,            510.00,            570.69,,            599.78,            194.04,            349.89,            317.01,            240.50,,,,,,,,,,,
Ghana,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            910.27,,,,           2833.22,           4535.20,           3146.84,           2798.66,           2363.72,           1774.29,           1312.04,            932.81,            768.97,,,,,,,,,,,,,,,,,
Ghana,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             87.27,,,,,,,,,,
Ghana,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            754.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1660.10,           1868.67,,,           1172.03,           1212.36,,            215.50,            515.49,,            210.17,            245.40,,,            587.89,,            214.22,            369.84,,,            435.81,            620.65,,,,,,,,
Ghana,Togo,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           4594.01,,,,,,,,,,,,,,,,,,,,,,,
Ghana,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1427.35,,,           1659.72,           1634.30,            993.89,            353.39,,,,,,,,,,,,,,,,,,,,,,
Ghana,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            175.77,            162.29,            148.69,            209.79,,            217.09,            239.54,            464.74,,            201.17,            296.71,            288.00,            219.47,            296.16,            552.06,,,,,,,,
Ghana,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1099.10,           1106.72,,,            541.87,            729.37,            607.37,            387.54,            323.10,            393.37,            411.12,            473.96,            368.71,            233.99,            219.05,            238.25,            316.04,            265.45,            307.74,            348.67,            471.15,            429.28,,,,,,,,
Ghana,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             76.26,             92.41,             69.18,,,,,,,,,,,
Ghana,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1200.06,            881.81,,,           1259.24,           1566.86,           1307.25,           1101.26,            522.89,            693.49,            555.77,            352.29,            345.57,            362.75,            225.88,            201.54,            216.31,            216.87,            261.24,            313.43,            377.95,            323.88,,,,,,,,
Ghana,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            793.29,,,,,,,,,,,,,,,,
Ghana,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            549.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        1113954.96,         716704.93,,,        1868612.95,,,        1647744.78,        1233956.97,        2507962.44,        1790085.84,,,,         958219.31,         958219.31,         958219.31,         877266.63,,,,,,,,,,,,
Ghana,World,Animal,Export,Export(US$ Mil),             77.64,             17.22,,,             19.06,             18.24,             36.74,             17.99,             21.88,             34.35,             37.54,             20.96,             34.39,             28.01,             28.73,,              9.76,             18.48,             18.24,             18.41,             31.76,             17.43,,,,,,,,
Ghana,World,Capital goods,Export,Export(US$ Mil),             63.50,            104.49,,,            259.91,            213.49,            143.13,             73.60,             64.60,            101.16,             63.12,             13.74,             81.87,,             16.69,,              5.66,             18.22,             17.49,             14.44,             10.26,             11.85,,,,,,,,
Ghana,World,Chemicals,Export,Export(US$ Mil),            148.95,            353.50,,,            387.05,            231.74,            282.80,             52.43,             56.46,             33.77,             67.70,             36.18,             40.35,             30.71,              8.75,,              9.53,              8.88,             13.47,              1.88,              3.26,              2.74,,,,,,,,
Ghana,World,Consumer goods,Export,Export(US$ Mil),           1111.88,            940.28,,,            880.89,           1432.30,           5588.60,            177.44,            295.69,            208.31,            266.39,            333.40,            227.53,,            175.05,,            172.89,            229.72,            156.11,            119.00,            135.95,            159.31,,,,,,,,
