Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Guadeloupe,...,...,Export,No. Of Export partners,,,,,,,,,,,,,,,,,,,,,,,             53.00,             42.00,,,,,,
Guadeloupe,...,...,Export,No. Of Export products,,,,,,,,,,,,,,,,,,,,,,,            762.00,            794.00,,,,,,
Guadeloupe,...,...,Import,No. Of Import partners,,,,,,,,,,,,,,,,,,,,,,,            134.00,            134.00,,,,,,
Guadeloupe,...,...,Import,No. Of Import products,,,,,,,,,,,,,,,,,,,,,,,           3237.00,           3254.00,,,,,,
Guadeloupe,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,"Bahamas, The",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,              7.05,,,,,,,
Guadeloupe,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,              2.70,,,,,,
Guadeloupe,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,            106.56,            114.91,,,,,,
Guadeloupe,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,           1213.89,           1027.23,,,,,,
Guadeloupe,French Guiana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,              3.69,,,,,,
Guadeloupe,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             60.77,             55.31,,,,,,
Guadeloupe,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,              7.41,,,,,,,
