Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
French Guiana,...,...,Export,No. Of Export partners,,,,,,,,,,,,,,,,,,,,,,,             27.00,             23.00,,,,,,
French Guiana,...,...,Export,No. Of Export products,,,,,,,,,,,,,,,,,,,,,,,            401.00,            422.00,,,,,,
French Guiana,...,...,Import,No. Of Import partners,,,,,,,,,,,,,,,,,,,,,,,             95.00,             89.00,,,,,,
French Guiana,...,...,Import,No. Of Import products,,,,,,,,,,,,,,,,,,,,,,,           2730.00,           2713.00,,,,,,
French Guiana,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,              5.02,,,,,,,
French Guiana,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             32.48,,,,,,,
French Guiana,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,            109.14,            106.64,,,,,,
French Guiana,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,            475.81,            410.13,,,,,,
French Guiana,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,             26.34,,,,,,
French Guiana,Guadeloupe,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             13.36,             10.21,,,,,,
French Guiana,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             38.06,             39.92,,,,,,
French Guiana,Martinique,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,              7.68,              7.62,,,,,,
French Guiana,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,              8.87,              5.53,,,,,,
French Guiana,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             40.23,             44.71,,,,,,
French Guiana,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,              7.47,,,,,,
French Guiana,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             45.72,             31.98,,,,,,
French Guiana,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,World,Animal,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             40.36,             36.17,,,,,,
French Guiana,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             47.61,             40.21,,,,,,
French Guiana,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              2.17,              1.29,,,,,,
French Guiana,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             20.77,             43.70,,,,,,
French Guiana,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.01,              0.01,,,,,,
French Guiana,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.01,              0.01,,,,,,
French Guiana,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.31,              0.00,,,,,,
French Guiana,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.00,              0.32,,,,,,
French Guiana,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             39.71,             22.28,,,,,,
French Guiana,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             11.46,              8.24,,,,,,
French Guiana,World,Metals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             15.13,             33.37,,,,,,
French Guiana,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.00,              0.01,,,,,,
French Guiana,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              9.23,              3.70,,,,,,
French Guiana,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.04,              0.10,,,,,,
French Guiana,World,Raw materials,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             50.08,             42.66,,,,,,
French Guiana,World,Stone and Glass,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             25.19,             15.87,,,,,,
French Guiana,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.55,              9.75,,,,,,
French Guiana,World,Transportation,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             40.67,             29.42,,,,,,
