Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Croatia,...,...,Development,GDP (current US$ Mil),          55213.09,          51640.88,          49490.14,          57671.31,          58147.69,          56548.37,          62404.15,          59844.21,          62754.16,          70474.60,          60093.90,          50375.10,          45347.18,          41523.42,          34667.27,          26868.45,          23289.67,          21774.27,          23386.95,          25432.14,          23822.09,          23678.01,          22387.56,,,,,,,
Croatia,...,...,Export,No. Of Export partners,            182.00,            179.00,            183.00,            182.00,            184.00,            192.00,            177.00,            162.00,            171.00,            166.00,            167.00,            166.00,            153.00,            158.00,            158.00,            151.00,            159.00,            148.00,            142.00,            141.00,            142.00,            154.00,            153.00,            157.00,            160.00,            136.00,,,,
Croatia,...,...,Export,No. Of Export products,           3900.00,           3932.00,           3909.00,           3846.00,           3792.00,           3699.00,           3576.00,           3600.00,           3617.00,           3699.00,           3664.00,           3711.00,           3724.00,           3721.00,           3655.00,           3675.00,           3558.00,           3502.00,           3454.00,           3589.00,           3642.00,           3671.00,           3627.00,           3574.00,           3443.00,           3608.00,,,,
Croatia,...,...,Import,No. Of Import partners,            159.00,            169.00,            159.00,            167.00,            171.00,            219.00,            212.00,            210.00,            205.00,            220.00,            207.00,            204.00,            206.00,            208.00,            202.00,            196.00,            192.00,            176.00,            145.00,            151.00,            156.00,            150.00,            154.00,            154.00,            162.00,            135.00,,,,
Croatia,...,...,Import,No. Of Import products,           4346.00,           4377.00,           4349.00,           4346.00,           4361.00,           4365.00,           4344.00,           4344.00,           4359.00,           4361.00,           4362.00,           4596.00,           4580.00,           4566.00,           4570.00,           4585.00,           4596.00,           4557.00,           4587.00,           4624.00,           4629.00,           4676.00,           4647.00,           4599.00,           4504.00,           4458.00,,,,
Croatia,...,...,Tariff,No. Of Tariff Agreement,,,,,             13.00,             13.00,             13.00,             13.00,             13.00,             13.00,             13.00,             13.00,             13.00,             17.00,              2.00,              1.00,              2.00,,,,,,,,,,,,,
Croatia,...,...,Development,Trade Balance (current US$ Mil),           1240.95,           1438.74,           1171.46,           1105.33,            267.49,            267.28,           -287.67,           -252.14,          -2328.61,          -5665.20,          -4365.20,          -3398.18,          -2787.03,          -2501.19,          -2578.19,          -2116.96,           -819.78,           -663.43,          -1415.64,          -1727.32,          -3075.08,          -1546.05,          -1854.22,,,,,,,
Croatia,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            985.04,            873.56,            840.88,            842.62,            797.36,            808.07,            762.14,            624.28,            565.10,            815.66,            755.71,            626.88,            628.30,            756.57,            479.39,            365.72,            267.95,            292.43,            264.54,,            222.86,,            200.30,,,,,,,
Croatia,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1849.59,           1739.05,           1881.68,           1978.68,           1971.09,,,,,,,           1169.30,           1067.28,           1131.32,            941.07,            710.00,            631.23,            528.71,            549.12,            612.32,            708.84,            597.37,            574.03,            352.66,            310.49,,,,,
Croatia,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1536.75,           1249.80,           1248.87,           1641.11,           1562.43,           1577.52,           1637.28,           1368.34,           1347.15,           2177.81,           1782.59,           1310.51,           1256.12,           1153.79,            892.44,            704.44,            560.56,            494.83,            547.07,            653.79,            648.65,            548.46,            383.18,            338.38,            188.79,            192.30,,,,
