Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
India,...,...,Development,GDP (current US$ Mil),        2600818.24,        2274229.71,        2102390.81,        2039127.45,        1856722.12,        1827637.86,        1823049.93,        1656617.07,        1323940.30,        1186952.76,        1201111.77,         920316.53,         808901.08,         699688.85,         599592.90,         508068.95,         478965.49,         462146.80,         452700.00,         415730.87,         410320.30,         387656.02,         355475.98,         322909.90,         275570.36,         284363.88,         266502.28,         316697.34,         292093.31,         292632.66
India,...,...,Export,No. Of Export partners,            219.00,            219.00,            220.00,            221.00,            221.00,            221.00,            220.00,            223.00,            222.00,            222.00,            221.00,            221.00,            223.00,            222.00,            217.00,            213.00,            212.00,            212.00,            206.00,            205.00,            206.00,            203.00,            203.00,            203.00,            201.00,            187.00,            173.00,            173.00,            169.00,            165.00
India,...,...,Export,No. Of Export products,           4418.00,           4411.00,           4424.00,           4434.00,           4444.00,           4460.00,           4483.00,           4462.00,           4467.00,           4691.00,           4664.00,           4692.00,           4696.00,           4695.00,           4662.00,           4649.00,           4577.00,           4501.00,           4397.00,           4361.00,           4374.00,           4314.00,           4252.00,           4164.00,           4093.00,           3965.00,           3837.00,           3671.00,           3625.00,           3665.00
India,...,...,Import,No. Of Import partners,            213.00,            211.00,            215.00,            222.00,            208.00,            207.00,            214.00,            214.00,            215.00,            218.00,            210.00,            209.00,            207.00,            198.00,            189.00,            185.00,            179.00,            174.00,            166.00,            162.00,            151.00,            152.00,            145.00,            152.00,            147.00,            124.00,            123.00,            128.00,            126.00,            122.00
India,...,...,Import,No. Of Import products,           4317.00,           4310.00,           4313.00,           4331.00,           4336.00,           4354.00,           4341.00,           4338.00,           4383.00,           4484.00,           4510.00,           4608.00,           4582.00,           4551.00,           4587.00,           4558.00,           4530.00,           4441.00,           4393.00,           4278.00,           4144.00,           3979.00,           3988.00,           3863.00,           3712.00,           3549.00,           3391.00,           3385.00,           3411.00,           3487.00
India,...,...,Tariff,No. Of Tariff Agreement,             22.00,             23.00,              2.00,,              1.00,              1.00,              1.00,             13.00,             18.00,             18.00,              1.00,              1.00,             13.00,              2.00,              1.00,              1.00,              2.00,              2.00,              5.00,,              5.00,              1.00,,,,              4.00,,              2.00,,
India,...,...,Development,Trade Balance (current US$ Mil),         -77494.97,         -39101.62,         -48309.31,         -60893.64,         -55375.05,        -122906.09,        -119283.20,         -74680.29,         -73424.48,         -62059.90,         -49767.84,         -30035.73,         -22945.08,         -12711.75,          -4280.14,          -5079.93,          -4282.99,          -4273.86,          -8782.47,          -7017.68,          -5163.95,          -4569.08,          -4264.02,          -1006.20,             29.90,          -2164.50,            -12.31,          -4495.90,          -3367.75,          -4212.90
India,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,          12017.05,,,,,,,,,,,,,,,,,,,,,
India,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,           4388.40,           3827.90,           3566.10,           2485.65,           3238.50,           3701.63,,,,,,,,,,,
India,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,           2880.63,           2669.24,           2234.80,,,           1873.45,           2042.14,           1394.54,,           1658.55,           1413.32
