Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Ireland,...,...,Development,GDP (current US$ Mil),         333730.76,         304819.02,         290617.01,         258099.01,         239389.34,         225571.85,         239018.54,         221951.35,         236311.34,         275020.02,         269917.52,         232085.54,         211650.76,         193870.35,         164285.11,         127945.38,         109133.51,          99853.53,          98691.85,          90082.03,          82826.15,          75880.63,          69222.63,          57166.04,          52480.25,          55985.51,          49847.13,          49364.68,          39285.39,          37818.13
Ireland,...,...,Export,No. Of Export partners,            208.00,            210.00,            212.00,            218.00,            212.00,            212.00,            211.00,            208.00,            212.00,            207.00,            208.00,            203.00,            212.00,            207.00,            203.00,            204.00,            202.00,            201.00,            201.00,            198.00,            198.00,            199.00,            203.00,            200.00,            203.00,            187.00,,,,
Ireland,...,...,Export,No. Of Export products,           3654.00,           3656.00,           3681.00,           3657.00,           3674.00,           3678.00,           3618.00,           3602.00,           3565.00,           3538.00,           3588.00,           3684.00,           3687.00,           3733.00,           3741.00,           3732.00,           3748.00,           3782.00,           3758.00,           3625.00,           3622.00,           3572.00,           3531.00,           3585.00,           3588.00,           4103.00,,,,
Ireland,...,...,Import,No. Of Import partners,            226.00,            222.00,            224.00,            220.00,            227.00,            224.00,            221.00,            221.00,            216.00,            219.00,            222.00,            213.00,            215.00,            215.00,            207.00,            207.00,            211.00,            202.00,            190.00,            183.00,            184.00,            186.00,            186.00,            184.00,            176.00,            166.00,,,,
Ireland,...,...,Import,No. Of Import products,           4356.00,           4342.00,           4376.00,           4401.00,           4393.00,           4373.00,           4397.00,           4411.00,           4438.00,           4440.00,           4453.00,           4684.00,           4676.00,           4685.00,           4693.00,           4688.00,           4732.00,           4734.00,           4768.00,           4720.00,           4716.00,           4696.00,           4746.00,           4741.00,           4771.00,           4762.00,,,,
Ireland,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,...,...,Development,Trade Balance (current US$ Mil),         107241.75,          67080.59,          96189.59,          45908.54,          44970.03,          38733.44,          44707.22,          36914.19,          31844.85,          23664.08,          22325.34,          18672.63,          23045.38,          27870.51,          24892.80,          21986.66,          17048.32,          13819.58,          12900.51,           9809.80,           9926.30,           8295.99,           7561.73,           5384.99,           5310.56,           4062.76,           2351.70,           2161.08,           2115.41,           2253.69
Ireland,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          15047.54,          16175.16,          16136.29,          15687.18,          14910.84,          17507.82,          18404.43,          17983.03,          19631.81,          18028.00,          17527.25,          15313.12,          16639.90,          15311.96,          11669.00,          12739.30,           3966.34,,,,,,,,,,,,,
Ireland,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,           4090.31,,,,,,,,,,
Ireland,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4974.68,           4579.11,           4766.01,           4500.70,           3998.04,           3547.68,           3576.75,           3339.46,           3589.87,           5756.41,           6556.43,           5581.80,           4618.22,           3532.72,           2506.39,,,,,,,,,,,,,,,
Ireland,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           7127.82,           6150.38,           6280.42,           7384.97,           7111.64,           6366.25,           7040.36,           6251.90,           5689.67,           4405.43,           5035.92,           5823.03,           5995.89,           5286.99,           4309.68,           3904.66,           4143.41,           3138.65,           2640.14,           2731.59,,,,
Ireland,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          11791.44,          11024.09,           9628.29,           9989.50,           6847.67,           7906.58,           6020.56,           5297.08,,,,,,           2778.10,,           2131.42,           2528.99,           2385.42,           1939.30,,,,,,            845.79,           1000.25,,,,
Ireland,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          11373.57,           8880.52,           8296.97,           8080.89,           9081.19,           9635.10,           9196.66,           8645.55,           8286.70,           8959.32,           9210.97,           8736.88,           8234.30,           7984.46,           7708.29,           6362.98,          10503.04,           8629.70,           8505.78,           9654.10,           6745.00,           5844.81,           6328.61,           4836.98,           3832.44,           3616.28,,,,
Ireland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           7729.68,           7509.08,           6521.52,           6136.64,           5794.79,           4725.08,           5399.00,           4734.90,           4227.66,           6848.90,           7666.66,           6310.80,           5359.36,           4684.47,           3892.71,           3336.24,           3156.61,           2945.06,           2930.17,           2763.38,           2366.98,           2452.18,           2256.23,           1816.62,           1568.59,           1880.51,,,,
Ireland,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           2591.57,           1890.18,,           2433.58,           2707.50,           3129.66,           2705.49,           1929.92,           1705.82,           1233.56,           1416.16,           1125.30,,,,
