Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Iran, Islamic Rep.",...,...,Development,GDP (current US$ Mil),         454012.77,         418976.68,         385874.47,         434474.62,         467414.85,         598853.40,         583500.36,         487069.57,         414059.09,         406070.95,         349881.60,         266298.91,         226452.14,         190043.43,         153544.75,         128626.92,         126878.75,         109591.71,         113848.45,         110276.91,         113919.16,         120403.93,          96419.23,          71841.46,          63743.62,,,         124813.26,         120496.36,         123057.86
"Iran, Islamic Rep.",...,...,Export,No. Of Export partners,,,,,,,            149.00,            158.00,,,,            149.00,            154.00,            155.00,            159.00,            158.00,            161.00,            151.00,            144.00,            145.00,            139.00,,,,,,,,,
"Iran, Islamic Rep.",...,...,Export,No. Of Export products,,,,,,,           2452.00,           2554.00,,,,           2873.00,           2878.00,           2603.00,           2634.00,           2574.00,           2398.00,           2333.00,           2172.00,           1972.00,           1887.00,,,,,,,,,
"Iran, Islamic Rep.",...,...,Import,No. Of Import partners,,,,,,,            123.00,            141.00,,,,             51.00,            115.00,            110.00,            105.00,            119.00,            103.00,            107.00,            102.00,            100.00,            104.00,,,,,,,,,
"Iran, Islamic Rep.",...,...,Import,No. Of Import products,,,,,,,           3805.00,           3906.00,,,,           3390.00,           4010.00,           3943.00,           3713.00,           3439.00,           3147.00,           2997.00,           2964.00,           3011.00,           2977.00,,,,,,,,,
"Iran, Islamic Rep.",...,...,Tariff,No. Of Tariff Agreement,,,,,,,              1.00,,,,,,,              1.00,              1.00,,,              1.00,,,,,,,,,,,,
"Iran, Islamic Rep.",...,...,Development,Trade Balance (current US$ Mil),           5011.01,           6676.80,           1811.57,           7287.45,          16043.16,           5297.89,          47115.39,          24493.09,           7135.89,          19998.39,          27290.48,          17497.73,          14087.91,          -1482.34,          -2186.72,            842.66,          -2447.40,           1837.71,           4210.84,          -4258.30,           2171.65,           6223.63,           7914.32,          10749.82,           3046.54,,,         -13134.20,          -9977.68,          -8630.86
"Iran, Islamic Rep.",Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,            832.97,,,,,,,,,
"Iran, Islamic Rep.",Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,            901.66,,,,,,,,,,
"Iran, Islamic Rep.",Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            825.89,,,,,,,,,,,,,
"Iran, Islamic Rep.",China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           5287.38,           4450.43,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           7044.68,           5714.52,,,,           2456.58,           2364.45,,           1410.15,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,           4392.96,           4318.77,           1638.39,           1251.18,,            718.73,           1068.29,,,            813.04,,,,,,,,,
"Iran, Islamic Rep.",France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,           2205.48,           2703.16,           2680.54,           1948.44,           1207.46,            907.25,,            685.39,,,,,,,,,,,
"Iran, Islamic Rep.",Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,            423.00,            410.10,,,,,,,,,,
"Iran, Islamic Rep.",Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           3927.41,           4463.58,,,,,           5105.17,           4114.25,           2815.99,           3474.64,           1689.57,           1390.77,           1382.15,           1659.69,           1853.90,,,,,,,,,
"Iran, Islamic Rep.",India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,           1493.37,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           4646.79,           4601.58,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,           6739.66,           6191.62,           3171.82,           2364.59,           1884.39,           2067.15,           2276.74,            181.40,            202.22,           1837.71,,,,,,,,,
"Iran, Islamic Rep.",Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,           2351.37,           2358.63,           1620.91,           1178.69,            982.66,            813.18,            901.50,           1187.49,            795.05,,,,,,,,,
"Iran, Islamic Rep.",Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,          15109.77,          17038.08,           9665.63,           7458.86,           5076.42,           5108.19,           4968.56,,,           2900.47,,,,,,,,,
"Iran, Islamic Rep.",Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,           1045.27,,,,,,,,           1004.71,            881.66,,,,,,,,,
"Iran, Islamic Rep.","Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           4494.05,           3687.11,,,,,,           1755.21,,,,            726.63,,,,,,,,,,,,
"Iran, Islamic Rep.",Monaco,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,           3386.50,,,,,,,,,
