Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Iraq,...,...,Development,GDP (current US$ Mil),         192060.81,         170559.56,         177498.58,         234648.37,         234648.37,         218000.99,         185749.66,         138516.72,         111660.86,         131613.66,          88840.05,          65140.29,          49954.89,          36627.90,,,,,,,,,,,,,,         179885.82,          65641.36,          62503.06
Iraq,...,...,Export,No. Of Export partners,,,,             16.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,...,...,Export,No. Of Export products,,,,             21.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,...,...,Import,No. Of Import partners,,,,             89.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,...,...,Import,No. Of Import products,,,,           1280.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,...,...,Development,Trade Balance (current US$ Mil),           2592.24,         -14366.79,         -10787.66,          10300.00,           8600.00,          33459.84,          30952.80,           7391.50,            126.00,          25797.69,          15730.75,           8086.10,          -3520.22,          -2817.48,,,,,,,,,,,,,,            486.33,           -594.08,          -1953.04
Iraq,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          10506.36,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Jordan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             13.59,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           2904.52,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Syrian Arab Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             33.60,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             17.74,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            128.68,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           5535.41,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           2431.06,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          84303.30,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           5225.90,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Animal,Export,Export(US$ Mil),,,,              3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
