Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Iceland,...,...,Development,GDP (current US$ Mil),          23909.29,          20304.10,          16942.25,          17304.03,          15548.32,          14292.01,          14732.69,          13310.57,          12944.11,          17658.41,          21319.95,          17048.65,          16691.49,          13722.82,          11316.44,           9207.69,           8136.35,           8927.14,           8917.29,           8453.70,           7548.91,           7330.97,           7018.10,           6294.80,           6126.46,           6976.08,           6807.37,           6372.91,           5588.53,           6016.17
Iceland,...,...,Export,No. Of Export partners,            129.00,            141.00,            125.00,            130.00,            130.00,            125.00,            130.00,            129.00,            127.00,            136.00,            134.00,            125.00,            113.00,            114.00,            104.00,            103.00,            109.00,            107.00,             94.00,             95.00,             91.00,             90.00,             77.00,             76.00,             78.00,             72.00,             67.00,             67.00,             78.00,             75.00
Iceland,...,...,Export,No. Of Export products,           1403.00,           1673.00,           1520.00,           1521.00,           1570.00,           1603.00,           1587.00,           1548.00,           1562.00,           1676.00,           1449.00,           1290.00,           1226.00,           1267.00,           1248.00,           1304.00,           1353.00,           1345.00,           1253.00,           1147.00,            886.00,            839.00,            771.00,            604.00,            584.00,            573.00,            526.00,            566.00,            545.00,            516.00
Iceland,...,...,Import,No. Of Import partners,            147.00,            163.00,            148.00,            140.00,            136.00,            139.00,            142.00,            131.00,            127.00,            134.00,            130.00,            136.00,            133.00,            123.00,            124.00,            123.00,            125.00,            123.00,            129.00,            124.00,            122.00,            117.00,            114.00,            114.00,            105.00,            102.00,             94.00,            101.00,             94.00,            103.00
Iceland,...,...,Import,No. Of Import products,           4013.00,           4055.00,           4015.00,           4004.00,           3959.00,           3959.00,           3951.00,           3931.00,           3926.00,           3894.00,           3998.00,           4090.00,           4172.00,           4104.00,           4036.00,           4027.00,           4086.00,           4138.00,           4235.00,           4089.00,           4189.00,           4132.00,           4179.00,           4136.00,           4122.00,           4163.00,           4200.00,           4130.00,           4147.00,           4261.00
Iceland,...,...,Tariff,No. Of Tariff Agreement,             32.00,             32.00,             32.00,             26.00,             26.00,             23.00,             22.00,             22.00,             20.00,             20.00,             19.00,             16.00,              2.00,              2.00,              2.00,,              2.00,              3.00,              2.00,              2.00,,              1.00,,,              5.00,,,,,
Iceland,...,...,Development,Trade Balance (current US$ Mil),            983.88,           1286.39,           1242.26,           1074.04,           1231.34,            849.14,           1167.73,           1351.61,           1160.52,           -386.47,          -1952.81,          -2925.54,          -1982.41,           -736.09,           -338.16,            141.15,            -71.53,           -621.85,           -406.02,           -369.96,             34.83,             44.56,            253.61,            324.45,            193.93,             -5.26,            -83.70,             83.68,            126.34,            -53.23
Iceland,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            317.44,,            339.97,,,,,,,,,,,,,,,,,,,,,,
Iceland,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            483.22,            419.22,            414.33,            397.51,            391.97,            341.50,            303.03,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            105.30,,            136.59,            141.26,,,,,,,
