Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Jamaica,...,...,Development,GDP (current US$ Mil),          14781.11,          14072.14,          14145.47,          13852.19,          14193.01,          14798.72,          14413.36,          13200.29,          12067.48,          13680.48,          12827.81,          11901.91,          11204.42,          10150.98,           9399.45,           9694.17,           9178.02,           8985.35,           8851.58,           8763.22,           8375.08,           7368.00,           6538.84,           5419.13,           5405.10,           3530.89,           4071.22,           4592.22,           4404.97,           3828.31
Jamaica,...,...,Export,No. Of Export partners,            118.00,            114.00,             93.00,            104.00,            116.00,            107.00,            109.00,            111.00,            109.00,            117.00,            102.00,             94.00,             96.00,             88.00,             77.00,             79.00,             78.00,             77.00,             85.00,             85.00,             84.00,             88.00,,,             81.00,             79.00,             81.00,,,
Jamaica,...,...,Export,No. Of Export products,           1655.00,           1620.00,           1296.00,           1448.00,           1520.00,           1572.00,           1649.00,           1669.00,           1764.00,           1586.00,           1443.00,           1390.00,           1357.00,           1167.00,           1177.00,           1171.00,           1068.00,           1170.00,           1185.00,           1028.00,           1008.00,            991.00,,,            929.00,            944.00,            959.00,,,
Jamaica,...,...,Import,No. Of Import partners,            114.00,            123.00,            120.00,            110.00,            123.00,            119.00,            122.00,            117.00,            117.00,            110.00,            116.00,            112.00,            128.00,            111.00,            112.00,            117.00,            113.00,            110.00,            117.00,            122.00,            124.00,            126.00,,,            125.00,            115.00,            106.00,,,
Jamaica,...,...,Import,No. Of Import products,           3764.00,           3689.00,           3569.00,           3567.00,           3619.00,           3633.00,           3628.00,           3615.00,           3610.00,           3677.00,           3897.00,           3913.00,           3946.00,           3967.00,           4029.00,           4059.00,           3918.00,           3999.00,           4036.00,           2713.00,           2776.00,           2770.00,,,           2712.00,           2676.00,           2657.00,,,
Jamaica,...,...,Tariff,No. Of Tariff Agreement,,              1.00,              1.00,,              2.00,              2.00,              6.00,              6.00,,,              1.00,              2.00,,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,              1.00,,,,,,,,
Jamaica,...,...,Development,Trade Balance (current US$ Mil),          -2133.93,          -1879.05,          -2305.96,          -3079.89,          -3138.12,          -3207.27,          -3327.27,          -2409.03,          -2163.21,          -4061.84,          -2794.80,          -2437.81,          -2234.32,          -1444.49,          -1402.74,          -1582.37,          -1257.34,          -1072.21,           -545.13,           -666.79,           -653.79,           -532.30,           -333.49,            -15.59,            287.89,            -33.38,            -48.21,           -175.14,           -387.01,           -159.08
Jamaica,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            323.70,            203.17,            126.87,            223.83,            305.06,,            155.93,            151.31,,,,,,,,,,,,,,,,
Jamaica,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            125.61,            145.31,            182.46,            221.53,            225.07,            121.58,            263.66,            163.44,            131.63,            258.99,            333.30,            309.44,            293.86,            273.52,            192.41,            156.86,            191.12,            133.82,            135.50,            151.37,            195.11,            163.51,,,            107.34,            119.82,            119.31,,,
Jamaica,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             96.50,             90.20,,             87.86,,,             89.10,             75.15,             75.96,,,
