Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Jordan,...,...,Development,GDP (current US$ Mil),          40068.31,          38654.73,          37517.41,          35826.93,          33593.84,          30937.28,          28840.26,          26425.38,          23820.23,          21972.00,          17110.59,          15056.93,          12588.67,          11411.39,          10195.66,           9582.45,           8975.69,           8460.42,           8149.11,           7912.33,           7246.19,           6928.36,           6727.45,           6237.74,           5605.84,           5311.33,           4344.25,           4160.00,           4220.95,           6277.20
Jordan,...,...,Export,No. Of Export partners,            145.00,            151.00,            146.00,            151.00,            148.00,            145.00,            151.00,            151.00,            143.00,            143.00,            140.00,            137.00,            137.00,            137.00,            131.00,            128.00,            122.00,            121.00,            125.00,            113.00,            113.00,,            120.00,            107.00,,,,,,
Jordan,...,...,Export,No. Of Export products,           2190.00,           2181.00,           2153.00,           2297.00,           2368.00,           2422.00,           2362.00,           2423.00,           2422.00,           2487.00,           2417.00,           2485.00,           2511.00,           2527.00,           2342.00,           1901.00,           1843.00,           2606.00,           2342.00,            925.00,           1731.00,,           1901.00,           1732.00,,,,,,
Jordan,...,...,Import,No. Of Import partners,            147.00,            150.00,            145.00,            143.00,            143.00,            142.00,            137.00,            143.00,            128.00,            130.00,            128.00,            124.00,            123.00,            118.00,            121.00,            120.00,            118.00,            127.00,            116.00,            110.00,            111.00,,            109.00,            113.00,,,,,,
Jordan,...,...,Import,No. Of Import products,           3764.00,           3815.00,           3576.00,           3849.00,           3863.00,           3905.00,           3891.00,           3887.00,           3876.00,           3810.00,           3764.00,           3900.00,           3859.00,           3834.00,           3658.00,           3617.00,           3630.00,           3880.00,           3693.00,           3211.00,           3173.00,,           3793.00,           3851.00,,,,,,
Jordan,...,...,Tariff,No. Of Tariff Agreement,             23.00,             21.00,             21.00,             22.00,              1.00,              1.00,              1.00,              1.00,              2.00,              2.00,              2.00,              2.00,             19.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,
Jordan,...,...,Development,Trade Balance (current US$ Mil),          -8644.00,          -8129.72,          -8591.97,          -9460.14,          -9944.51,          -8668.03,          -7557.32,          -5489.58,          -5397.46,          -6528.53,          -6312.83,          -5029.76,          -5145.56,          -3408.32,          -2137.24,          -1831.45,          -2245.42,          -2256.84,          -1454.66,          -1539.90,          -1611.61,          -1752.75,          -1422.23,          -1410.13,          -1671.43,          -1655.93,           -976.65,          -1238.81,           -774.45,          -1332.89
Jordan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2764.41,           2690.26,           2640.35,           2392.06,           2233.51,           1943.70,           1823.02,           1655.72,           1540.75,           1750.14,           1308.24,           1196.16,            961.60,            684.42,            454.78,            334.07,            237.84,,,,,,,,,,,,,
Jordan,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            692.98,            859.01,            729.92,            590.69,            482.33,,,,,,,,,,,,,,,,,,
Jordan,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            208.51,,,,,,,,,,,,,,
Jordan,Free Zones,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            933.08,            852.11,            842.91,            821.93,            899.78,            777.03,            691.43,            609.22,            551.75,            660.46,            524.64,            390.73,            333.24,            297.29,            279.41,            202.85,            259.34,            210.83,            183.85,,            106.83,,            108.30,             78.35,,,,,,
Jordan,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            900.37,            881.34,            944.14,,,,            780.54,            923.90,            885.69,           1010.51,           1020.64,            890.83,            837.32,            555.62,            437.38,            464.97,            447.24,            524.08,            356.70,            374.89,            388.49,,            311.58,            263.90,,,,,,
