Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Kiribati,...,...,Development,GDP (current US$ Mil),            185.57,            178.33,            171.12,            179.70,            185.11,            190.24,            181.71,            156.12,            132.42,            141.04,            132.67,            110.23,            112.13,            102.37,             90.23,             72.20,             63.10,             67.25,             69.03,             65.33,             67.54,             66.52,             56.34,             54.83,             46.92,             47.74,             47.52,             39.81,             41.12,             42.97
Kiribati,...,...,Export,No. Of Export partners,,             27.00,             28.00,             19.00,             22.00,             15.00,             13.00,             14.00,             14.00,             14.00,             15.00,,             11.00,,,,,,             14.00,             20.00,             14.00,             16.00,             20.00,,,,,,,
Kiribati,...,...,Export,No. Of Export products,,            198.00,            190.00,            234.00,             50.00,             39.00,             26.00,             33.00,             46.00,             52.00,             51.00,,             44.00,,,,,,             14.00,             16.00,             17.00,             14.00,             15.00,,,,,,,
Kiribati,...,...,Import,No. Of Import partners,,             33.00,             57.00,             52.00,             53.00,             53.00,             46.00,             46.00,             49.00,             48.00,             36.00,             48.00,             35.00,             34.00,,,,,             35.00,             31.00,             33.00,             36.00,             29.00,,,,,,,
Kiribati,...,...,Import,No. Of Import products,,           2288.00,           2224.00,           2106.00,           1883.00,           1898.00,           1820.00,           1721.00,           1662.00,           1653.00,           1744.00,           1949.00,           2058.00,            520.00,,,,,           1300.00,           1118.00,           1178.00,           1157.00,           1123.00,,,,,,,
Kiribati,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,...,...,Development,Trade Balance (current US$ Mil),           -146.23,           -137.53,           -147.70,           -145.30,           -137.48,           -149.63,           -124.79,           -102.05,            -93.56,           -101.99,            -94.08,            -86.60,           -108.72,            -80.69,            -68.06,            -65.41,            -51.81,            -54.73,            -51.84,            -41.28,            -48.48,            -52.52,            -47.32,            -34.25,            -38.80,            -48.85,            -34.58,            -38.87,            -29.84,            -27.26
Kiribati,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              0.63,,              1.14,              0.80,              1.34,              2.26,              4.55,,              0.81,,,,,,,,              0.83,              0.37,              0.52,,,,,,,
Kiribati,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             25.62,             22.18,             27.45,             26.04,             26.44,             33.07,             20.52,             19.70,             25.47,             23.52,             22.46,             26.34,             24.66,,,,,             18.10,             14.98,             15.58,             17.39,             16.14,,,,,,,
Kiribati,Bangladesh,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,              4.67,              2.84,              3.00,              2.68,              4.50,,,,,,,
Kiribati,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             11.24,             12.82,,,,              6.46,,,              5.46,              3.03,,,,,,,,              1.82,              2.13,,              2.22,              1.83,,,,,,,
Kiribati,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,              0.74,              0.39,              0.28,              0.30,,,,,,,,
Kiribati,East Timor,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              1.03,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,Fiji,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              1.56,              2.48,              2.71,              0.81,              0.34,,,              0.62,,              0.54,,              0.55,,,,,,,,,,,,,,,,,
Kiribati,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             25.56,             23.39,             18.33,             14.50,             15.13,             12.29,             19.58,             17.31,             28.00,             24.62,             21.49,             15.50,             13.62,,,,,              7.71,              5.98,              6.08,              6.96,              6.47,,,,,,,
Kiribati,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,              4.58,,,,,,,,,,,,,,,,,,,,,
Kiribati,Free Zones,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              1.23,,,,,,,,,,,,,,,,,
Kiribati,Guam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              0.46,,,,,,,,,,,,,,,,,,,,,,
Kiribati,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              0.62,              0.58,              0.71,              1.36,              1.77,              1.06,,              0.34,,,,,,              0.31,              0.32,,              0.40,              0.45,,,,,,,
Kiribati,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              0.45,              1.47,              0.52,,,,,,              0.29,,,,,,,,,,              0.71,,,,,,,,,,
Kiribati,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             14.73,,             22.89,,              5.39,,              3.60,              4.42,              3.78,             12.65,              3.25,,,,,              6.09,              2.66,              7.16,              3.21,              2.58,,,,,,,
Kiribati,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              3.49,              2.31,              3.69,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,Marshall Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              0.85,,,,,,,,,,,,,,              1.14,,,,,,,,,,,
Kiribati,Morocco,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              1.62,              2.74,              1.21,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              1.51,,,,,,              0.17,,,,,,,,,,,,,,,,,,,,,,
Kiribati,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,              9.61,             12.28,              9.92,             12.80,              7.15,,,              4.44,,              4.12,              4.14,              4.03,              3.32,,,,,,,              1.87,              3.08,              2.97,,,,,,,
Kiribati,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              1.03,,              1.19,              4.96,              1.44,              1.34,              1.65,              2.14,,              0.46,,,,,,,,,,,,,,,,,
