Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Korea, Rep.",...,...,Development,GDP (current US$ Mil),        1530750.92,        1414804.16,        1382764.03,        1411333.93,        1305604.98,        1222807.28,        1202463.68,        1094499.34,         901934.95,        1002219.05,        1122679.15,        1011797.46,         898137.19,         764880.64,         680520.72,         609020.05,         533052.08,         561633.13,         485248.23,         374241.35,         557503.07,         598099.07,         556130.93,         455602.96,         386302.84,         350051.11,         325734.23,         279349.36,         243526.05,         196964.20
"Korea, Rep.",...,...,Export,No. Of Export partners,            223.00,            221.00,            220.00,            222.00,            225.00,            225.00,            225.00,            222.00,            224.00,            219.00,            219.00,            218.00,            220.00,            223.00,            220.00,            219.00,            219.00,            223.00,            210.00,            205.00,            202.00,            201.00,            203.00,            204.00,            198.00,            187.00,            182.00,            162.00,            162.00,            163.00
"Korea, Rep.",...,...,Export,No. Of Export products,           4284.00,           4313.00,           4286.00,           4277.00,           4275.00,           4235.00,           4261.00,           4241.00,           4224.00,           4216.00,           4181.00,           4358.00,           4386.00,           4361.00,           4347.00,           4364.00,           4354.00,           4371.00,           4365.00,           4359.00,           4327.00,           4333.00,           4398.00,           4345.00,           4249.00,           4171.00,           4171.00,           4142.00,           4140.00,           4164.00
"Korea, Rep.",...,...,Import,No. Of Import partners,            226.00,            228.00,            228.00,            226.00,            223.00,            224.00,            220.00,            221.00,            220.00,            220.00,            218.00,            223.00,            216.00,            218.00,            218.00,            214.00,            211.00,            215.00,            188.00,            179.00,            191.00,            187.00,            175.00,            177.00,            173.00,            162.00,            167.00,            135.00,            138.00,            128.00
"Korea, Rep.",...,...,Import,No. Of Import products,           4487.00,           4510.00,           4507.00,           4512.00,           4504.00,           4507.00,           4537.00,           4530.00,           4532.00,           4532.00,           4520.00,           4764.00,           4766.00,           4767.00,           4755.00,           4753.00,           4803.00,           4805.00,           4790.00,           4731.00,           4782.00,           4767.00,           4812.00,           4793.00,           4773.00,           4767.00,           4773.00,           4754.00,           4748.00,           4736.00
"Korea, Rep.",...,...,Tariff,No. Of Tariff Agreement,             27.00,              6.00,             28.00,             26.00,              6.00,              6.00,              5.00,              6.00,              6.00,              6.00,             12.00,              6.00,              6.00,              5.00,              6.00,              2.00,              4.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,,,              2.00,,              2.00,              4.00,              7.00
"Korea, Rep.",...,...,Development,Trade Balance (current US$ Mil),          82702.38,          96992.90,          96257.77,          74149.29,          65011.38,          34168.66,          17975.59,          34858.71,          42272.64,           -107.62,          12645.26,           7903.93,          21869.77,          29286.66,          13687.62,           9135.31,           8282.71,          11628.97,          27620.67,          40383.75,          -3785.07,         -17553.61,          -5105.73,          -1713.61,           2623.24,           -823.03,          -6787.89,          -1623.57,           5267.48,          13138.06
"Korea, Rep.",Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,          26316.08,          20454.64,          14755.93,,,,,,,           5973.31,           5534.11,           5958.13,           4671.94,           4603.96,           5893.91,,,,,,,           2589.10,           2243.05,           1797.32
"Korea, Rep.",Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1882.25,
"Korea, Rep.",China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         142119.05,         124432.94,         137123.93,         145327.70,         145869.50,         134322.40,         134185.01,         116837.80,          86703.25,          91388.90,          81985.13,          69459.18,          61914.97,          49763.18,          35109.72,          23753.23,          18186.81,          18454.54,          13684.57,          10966.59,          13572.45,          11377.04,           9143.56,           6202.95,           5150.96,,,,,
"Korea, Rep.",China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          97859.48,          86978.91,          90248.76,          90071.15,          83051.45,          80782.20,          86430.97,          71573.12,          54245.68,          76926.97,          63025.15,          48556.60,          38648.08,          29584.76,          21909.06,          17399.68,          13302.62,          12798.65,           8866.61,           6227.48,          10116.69,           8538.20,           7400.93,           5462.70,           3928.55,           3724.73,           3440.15,,,
"Korea, Rep.",Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,           4313.47,           3592.78,           2876.96,           3192.38,           2849.16,           2137.19,           2367.57
"Korea, Rep.",Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          19748.24,          18916.82,          20955.92,,,,,,,,          13534.21,,,           8485.47,           6821.63,,,,,,,           7239.17,           6583.82,           5159.35,           3954.67,           3742.50,           3698.23,           3283.54,           2623.54,           2073.92
"Korea, Rep.","Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          39059.15,          32778.60,          30418.15,          27275.38,          27756.05,          32605.23,          30967.38,          25294.02,          19660.84,          19771.22,          18654.45,          18978.45,          15531.02,          18127.10,          14653.70,          10144.88,           9451.46,          10708.09,           9048.18,           8583.52,          11725.05,          11130.95,          10681.98,           8014.71,           6430.74,           5909.01,           4769.02,           3779.95,           3374.59,           3559.86
"Korea, Rep.",Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          26814.29,          24354.46,          25576.46,          32247.79,          34662.22,          38795.95,          39679.48,          28176.25,          21770.82,          28252.42,          26370.19,          26533.92,          24027.42,          21701.33,          17276.11,          15140.35,          16502.32,          20466.02,          15862.43,          11068.67,          14770.79,          15766.81,          17048.83,          13522.83,          11564.38,          11599.43,          12355.81,          12637.88,          13456.74,          11996.52
"Korea, Rep.",Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          55124.45,          47466.28,          45853.40,          53775.89,          60029.17,          64362.82,          68319.88,          64295.81,          49427.29,          60956.29,          56250.10,          51926.27,          48403.13,          46144.46,          36313.00,          29855.16,          26633.08,          31826.98,          24141.63,          16536.66,          27906.40,          31447.74,          32604.09,          25388.45,          20015.22,          19457.55,          21120.08,          18573.82,          17448.58,          15928.65
"Korea, Rep.","Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,          13027.11,          12995.66,          10862.93,           9844.21,           7044.55,           6631.58,           5835.27,           8026.63,           6345.45,,,,,,,,,,,
"Korea, Rep.","Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          16403.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",Qatar,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          25727.90,          25873.84,          25504.67,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          19590.48,,          19561.49,          36724.14,          37665.21,          39707.05,          36972.61,          26820.00,          19736.85,          33781.94,          21163.16,          20552.11,          16105.79,          11799.58,           9267.84,           8322.78,           8160.83,           9756.44,           5664.37,           3957.87,           7153.18,           6666.85,           5432.07,           3815.52,           3734.74,           3797.38,           3268.56,,,
"Korea, Rep.",Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          23905.65,          22289.03,          22887.92,          20839.00,          15244.20,          13616.99,          16292.97,,,,,,,,,,,           5796.79,           6438.76,           6689.33,,,           3221.76,           2701.92,,,
"Korea, Rep.",Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,           4832.42,,,,,,,,,,
"Korea, Rep.",United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,          19248.52,,          12930.86,          10018.32,,,,,,,,,,,,,,,,,
"Korea, Rep.",United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1950.89
"Korea, Rep.",United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          68852.27,          66748.31,          70117.31,          70598.28,          62326.90,          58806.90,          56421.43,          49991.46,          37802.59,          46500.68,          45883.92,          43320.31,          41499.40,          43026.56,          34368.72,          32942.69,          31357.34,          37806.06,          29600.91,          22783.27,          21850.05,          21925.58,          24343.73,          20703.43,          18218.60,          18153.09,          18607.50,          19446.19,          20717.50,          21469.18
"Korea, Rep.",United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          50908.00,          43397.74,          44208.11,          45531.18,          41762.16,          43652.46,          44814.72,          40588.44,          29160.31,          38555.95,          37392.95,          33796.54,          30787.48,          28918.64,          24934.99,          23110.98,          22430.93,          29285.99,          24942.89,          20244.35,          30134.83,          33319.80,          30418.72,          21598.59,          17951.63,          18318.99,          18901.69,          16945.86,          15915.39,          12758.77
"Korea, Rep.",Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,           2440.24,,
"Korea, Rep.",Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,           4027.35,           3781.66,           2805.84
"Korea, Rep.",Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          47753.84,          32630.46,          27770.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",World,All Products,Tariff,Duty Free Imports (US$ Thousand),      232453991.40,      116454782.56,      242668878.58,      215433335.69,      141472509.61,      141248894.47,      155307550.37,      129726055.60,       98697076.68,      132488518.20,      112389137.35,       78040946.60,       66822408.11,       58196668.07,       35725263.62,       31388637.63,       25869821.24,       33781693.34,        2330351.13,        1924728.69,        3545063.14,        3941135.37,        3298094.37,,,        2420833.34,,        1390351.46,         158114.03,         128543.61
