Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Libya,...,...,Development,GDP (current US$ Mil),          38107.73,          26221.66,          27842.13,          41142.72,          65502.87,          81873.66,          34699.40,          74773.44,          63028.32,          87140.41,          67516.24,          54961.94,          47334.15,          33122.31,          26265.63,          20481.89,          34110.06,          38270.21,          35976.71,          27249.79,          30698.63,          27884.62,          25544.13,          28607.92,          30657.03,          33881.39,          31995.01,          28901.84,,
Libya,...,...,Export,No. Of Export partners,,,,,,,,             48.00,             44.00,             49.00,             48.00,,,,,,,,,,,,,,,,,,,
Libya,...,...,Export,No. Of Export products,,,,,,,,             48.00,             46.00,             44.00,             57.00,,,,,,,,,,,,,,,,,,,
Libya,...,...,Import,No. Of Import partners,,,,,,,,            100.00,            105.00,             96.00,             96.00,,,,,,,,,,,,,,,,,,,
Libya,...,...,Import,No. Of Import products,,,,,,,,           2612.00,           3242.00,           3044.00,           3267.00,,,,,,,,,,,,,,,,,,,
Libya,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,...,...,Development,Trade Balance (current US$ Mil),           1245.13,          -4703.48,          -9553.36,         -18460.31,           3671.94,          28554.33,           3483.09,          17577.36,          10345.43,          37928.24,          29149.37,          24875.76,          17311.42,          10394.64,           6309.38,           2186.61,           3379.61,           6825.46,           2028.89,           -412.75,           1516.60,           1327.84,           1726.86,            262.63,          -1012.48,           1734.73,            981.12,           2472.46,,
Libya,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           3407.18,           3049.16,,,,,,,,,,,,,,,,,,,,,
Libya,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           1724.61,           1561.08,           1011.90,            679.13,,,,,,,,,,,,,,,,,,,
Libya,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            459.15,,,,,,,,,,,,,,,,,,,
Libya,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           5662.65,           3272.65,           4417.77,           2075.45,,,,,,,,,,,,,,,,,,,
Libya,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,           1886.59,           3677.85,           3696.13,,,,,,,,,,,,,,,,,,,
Libya,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           1624.75,,,,,,,,,,,,,,,,,,,,,,
Libya,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,          15403.95,           9336.26,          19949.11,          13332.00,,,,,,,,,,,,,,,,,,,
Libya,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           1663.93,            927.10,            897.49,            548.39,,,,,,,,,,,,,,,,,,,
