Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        5974236.16,        5381030.43,        5516998.48,        6417071.12,        6295129.14,        6143787.79,        6080907.93,        5347330.84,        4312103.23,        4588223.61,        3947715.66,        3350524.32,        2858804.69,        2364523.93,        2051742.39,        2008216.16,        2238146.73,        2287586.78,        2073874.34,        2298573.97,        2277920.57,        2077833.02,        1920186.46,        1800721.51,        1575935.75,        1370353.69,        1449734.17,        1178575.13,        1006652.99,         922128.04
,...,...,Export,No. Of Export partners,            230.00,            234.00,            229.00,            233.00,            234.00,            233.00,            232.00,            231.00,            231.00,            232.00,            233.00,            229.00,            231.00,            227.00,            227.00,            229.00,            229.00,            225.00,            214.00,            212.00,            216.00,            216.00,            213.00,            211.00,            197.00,            187.00,            192.00,            187.00,            175.00,
,...,...,Export,No. Of Export products,           4634.00,           4601.00,           4617.00,           4606.00,           4617.00,           4640.00,           4670.00,           4665.00,           4676.00,           4719.00,           4825.00,           4841.00,           4869.00,           4857.00,           4862.00,           4877.00,           4896.00,           4872.00,           4914.00,           4920.00,           4941.00,           4962.00,           4940.00,           4939.00,           4889.00,           4843.00,           4796.00,           4682.00,           4005.00,
,...,...,Import,No. Of Import partners,            236.00,            237.00,            238.00,            236.00,            238.00,            237.00,            237.00,            234.00,            235.00,            234.00,            234.00,            233.00,            232.00,            233.00,            231.00,            232.00,            232.00,            227.00,            218.00,            212.00,            217.00,            217.00,            218.00,            213.00,            212.00,            194.00,            188.00,            175.00,            120.00,
,...,...,Import,No. Of Import products,           4786.00,           4775.00,           4768.00,           4763.00,           4814.00,           4864.00,           4870.00,           4879.00,           4884.00,           4904.00,           4922.00,           4928.00,           4951.00,           4945.00,           4950.00,           4950.00,           4958.00,           4954.00,           4981.00,           4981.00,           5022.00,           5016.00,           5019.00,           5012.00,           5012.00,           5000.00,           4991.00,           4974.00,           4442.00,
,...,...,Tariff,No. Of Tariff Agreement,           1273.00,           1163.00,           1302.00,           1036.00,            933.00,            988.00,            946.00,            844.00,            830.00,            869.00,            558.00,            550.00,            245.00,            279.00,             29.00,             27.00,             17.00,             27.00,             40.00,             15.00,             12.00,              8.00,             97.00,             49.00,            173.00,             11.00,             50.00,             11.00,             11.00,
,...,...,Development,Trade Balance (current US$ Mil),         -72555.40,         -82604.26,        -140868.55,        -175856.22,        -109374.78,         -45177.34,          11529.28,          32340.59,           5479.28,          -4432.46,          45586.31,          80623.77,          72753.71,          59153.92,          44121.70,          22197.50,         -16293.61,         -14270.99,         -20225.96,         -56834.64,         -41743.75,         -15258.69,         -14221.10,         -31669.01,         -25375.95,         -12831.80,           5971.14,          22318.38,          25136.44,          19455.97
,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          23602.69,,,,,,          29554.96,          23547.49,,,          18434.39,,,,,,           6776.31,           8223.71,           7081.95,           9027.81,           9042.40,           7175.07,,,           4836.19,           4049.34,,,,
,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,          12487.95,          12556.24,          10609.26,          13361.11,          13495.49,          11416.24,           9604.22,           6980.59,           4220.40,           3478.79,           2997.53,           2503.79,           1375.02,
,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          25070.04,          23124.81,          25928.13,          35315.05,          38914.36,          38122.09,          37584.84,          31305.43,          23197.60,          30539.40,          22214.59,          18675.09,          13884.30,          11311.79,           8220.80,           8252.47,          11135.23,          12491.79,           8832.28,          11822.55,          12835.85,          11190.70,          10596.51,           6398.44,,,,,,
,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          41930.12,          35361.35,          35865.57,          39060.26,          47753.33,          48009.88,          53840.44,          43641.47,          32154.63,          46835.14,          39626.27,          34601.07,          30163.17,          22776.55,          15307.78,          11410.70,          13429.44,          13518.43,          10886.28,          13153.80,          13085.51,          10636.67,           9338.62,           9631.48,           6909.99,           3163.11,,,,
,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          20317.01,          19143.49,          20273.97,          21849.86,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          94178.48,          74417.40,          74482.78,          85060.26,          92909.65,          83798.07,          86337.06,          67809.52,          46839.93,          39547.38,          33824.19,          23135.23,          19134.78,          14326.76,          11252.02,,,,,,,,,,,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         165368.55,         157024.72,         170421.69,         175444.54,         175470.29,         165268.81,         152252.92,         120337.55,          81618.60,          95998.03,          71785.44,          54396.38,          36344.17,          27715.34,          17948.58,          12399.87,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1298.83,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,           2250.91,           1685.79,,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,           7730.64,,,           6705.24,           7669.61,           7310.23,,,           6612.61,           5990.79,           4141.54,           4089.45,           4167.51,           3110.07,           1571.94,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          36672.74,          34170.69,          36593.27,          41198.00,          43828.19,          42275.67,          42626.41,          35569.43,          28682.75,          35507.75,          27722.36,,          20930.29,          17393.58,          14529.55,          14471.29,          15318.86,          14165.72,          14312.78,          15575.96,          14544.49,          12827.73,          12678.57,          10789.57,           7806.81,           5912.92,           5387.30,           4063.52,           1626.54,
,Iraq,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1691.86,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,           6593.19,           7139.43,           7642.97,           6985.15,           6503.89,           8804.48,           8601.42,           8812.75,           7179.21,           5382.86,           5462.59,           5798.60,           5179.78,           2416.17,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          30111.19,          29849.45,          31725.55,          33834.60,          35502.15,          37496.68,          37073.34,          33577.77,          25287.67,          35923.93,          31528.02,          27755.75,          23631.76,          19457.34,          14831.74,          16561.31,          16409.78,          14416.71,          13175.85,          15562.57,          14661.45,          11803.34,          12242.79,          12057.24,           8518.60,           6792.99,           5214.70,           3671.50,           1608.25,
,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          19629.85,          19508.74,          25264.65,,          27822.48,,,          17994.98,          24865.95,          20262.50,          16606.35,          13292.43,          12208.84,          10654.45,           7331.35,,,,,           7407.87,           7278.93,           6194.34,           6122.02,           4654.13,           3414.27,           3208.12,           3250.76,           2816.03,
,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,          33450.25,,,,,,,,,,,,,,,,,,,,,,,,,
,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,           2519.56,           2431.21,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         407525.76,         382761.79,         396694.53,         422721.46,         407784.67,         402462.09,         382942.09,         322820.22,         256153.31,         355894.44,         307765.09,         326886.15,         283026.31,         249482.53,         204243.79,         194773.57,         188598.42,         203220.70,         165750.64,         139881.77,         135850.36,         120849.24,          99558.62,          81717.48,          60263.63,          52406.75,          31305.64,          27839.00,           7898.54,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         288677.42,         279595.22,         304197.07,         335024.29,         333673.39,         336580.84,         319268.55,         259449.09,         208783.63,         268374.55,         232134.10,         206944.00,         185435.10,         164572.83,         150741.49,         152851.97,         166465.95,         175710.02,         153963.62,         149375.21,         138822.16,         111920.82,          96012.05,          86990.65,          69148.73,          59888.24,          35348.50,          25896.59,           4139.39,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,          67998.78,          81372.93,          83315.24,          61885.78,          56043.02,          38706.47,,          20581.86,          20670.27,          13423.72,,           9378.07,           8120.42,,,,,,,,,,,,,
,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,          33343.03,,,,,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      566721761.11,      321524326.66,      450376254.31,      587252463.64,      416668129.62,      432218415.43,      438148895.90,      335710964.66,      338456658.86,      463345056.87,      357643323.85,      309097303.65,      238182504.73,      214110493.85,       42358110.21,       85874804.90,       42892436.30,       32646023.03,       17719493.42,       24680681.97,       21963495.09,       16285019.72,       36394630.43,        5604487.38,        7348945.97,        6276033.65,       11785871.80,        7698031.18,        1322713.98,
,World,Animal,Export,Export(US$ Mil),          40290.65,          36752.93,          36951.26,          42946.43,          39044.44,          36198.55,          35650.75,          29886.23,          26732.83,          30895.30,          25090.22,          21989.84,          19774.82,          16439.28,          12336.99,          10293.09,          10214.94,           9428.95,           9191.83,           9290.50,           9394.21,           8442.43,           8099.51,           6679.90,           5014.95,           3373.48,           2967.39,           1902.85,            729.58,
,World,Capital goods,Export,Export(US$ Mil),         240509.29,         229855.67,         228522.90,         229392.94,         220115.11,         208797.67,         190421.68,         166979.04,         127324.18,         160904.72,         143276.18,         138852.62,         122148.74,         108319.33,          91335.46,          86785.65,          87130.82,          87747.52,          72666.36,          61378.31,          53506.54,          43525.24,          36822.48,          30698.12,          24652.41,          20283.00,           9913.56,           8815.51,           5495.03,
,World,Chemicals,Export,Export(US$ Mil),          32814.33,          36450.47,          42250.77,          46400.01,          48879.78,          49764.46,          49136.38,          39332.73,          32370.41,          38229.85,          30314.57,          27164.57,          23515.17,          20372.64,          16262.00,          14879.50,          14881.26,          14443.84,          13149.91,          12844.12,          12589.03,          11275.89,          10351.56,           7973.90,           6134.50,           5225.35,           4780.13,           3396.77,           1618.25,
,World,Consumer goods,Export,Export(US$ Mil),         206849.49,         195016.09,         213966.93,         230750.76,         251245.05,         254508.57,         222379.58,         213477.94,         184535.57,         229957.73,         188026.29,         172451.87,         158225.13,         130466.57,         104574.50,         101627.28,         105447.32,         106921.81,          81310.78,          83102.93,          77951.41,          67000.10,          57334.22,          47521.32,          35981.46,          28400.22,          16526.06,          12634.80,           6942.32,
,World,Food Products,Export,Export(US$ Mil),          68595.64,          68852.64,          67188.41,          74211.74,          77822.35,          75426.74,          74500.98,          63450.26,          56733.41,          55774.33,          46178.41,          41003.47,          34342.20,          29810.99,          25671.18,          23275.18,          22545.47,          19457.70,          19485.42,          19988.83,          21998.68,          20946.94,          17164.48,          14031.99,          11313.61,           9034.25,           7062.36,           6670.97,           5289.44,
,World,Footwear,Export,Export(US$ Mil),           2729.87,           3468.07,           3747.22,           4056.75,           4075.70,           4214.16,           3986.96,           3693.55,           3272.26,           4111.40,           3945.08,           3680.25,           2892.51,           2723.57,           2385.43,           2262.53,           2277.34,           2233.77,           2000.13,           2123.78,           2459.16,           2315.11,           2097.85,           2183.37,           2521.36,           1935.54,           1537.66,           1315.80,           1317.64,
,World,Fuels,Export,Export(US$ Mil),          82739.00,          59326.26,          78004.93,         139321.87,         236710.13,         253336.65,         220933.01,         178687.23,         141982.59,         208131.29,          99916.16,         149071.77,         122072.73,          85268.79,          61403.41,          51171.72,          52301.43,          61706.34,          37833.07,          27497.58,          39708.85,          41265.60,          31419.60,          26814.48,          13402.72,          13589.00,          13121.93,          10594.18,            852.13,
,World,Hides and Skins,Export,Export(US$ Mil),           4185.48,           4618.87,           5267.56,           6380.73,           5684.72,           5080.26,           4963.13,           4425.64,           3207.53,           4889.74,           5313.29,           4671.33,           3882.05,           3618.42,           3102.09,           2852.09,           3019.88,           3021.16,           2589.82,           2722.47,           2971.61,           2716.26,           2642.64,           2226.91,           1665.14,            816.74,            631.88,            444.69,            324.69,
,World,Intermediate goods,Export,Export(US$ Mil),         189528.55,         180904.76,         187177.63,         213794.83,         221612.15,         232480.78,         241084.37,         196229.68,         157036.44,         190754.16,         163103.84,         146082.43,         120302.06,         103161.01,          77987.76,          66794.93,          65812.89,          65809.92,          57685.05,          58224.77,          63991.83,          60900.24,          59237.24,          45306.38,          33843.51,          29193.78,          24442.50,          22241.80,          13950.33,
,World,Mach and Elec,Export,Export(US$ Mil),         171423.31,         161694.30,         164560.55,         169672.24,         162260.61,         161003.13,         149855.83,         139694.64,         112228.91,         140394.03,         123842.38,         121248.99,         103058.97,          92094.44,          80214.00,          77481.29,          78350.94,          81388.65,          67821.93,          56984.63,          50435.99,          42187.27,          36342.47,          30565.70,          24622.91,          20212.48,           7580.56,           6982.55,           3812.82,
,World,Metals,Export,Export(US$ Mil),          60213.45,          52822.86,          57477.38,          68270.90,          69653.09,          74911.83,          83275.61,          71246.89,          54406.27,          77278.19,          72337.21,          66797.38,          50769.35,          41757.35,          27838.61,          25287.79,          23810.87,          25074.59,          21012.41,          21739.86,          24354.75,          22301.84,          22679.37,          17101.01,          13368.94,          13464.86,          11253.90,          10722.63,           6333.94,
,World,Minerals,Export,Export(US$ Mil),          68907.50,          52638.72,          51818.68,          69458.79,          77411.70,          78229.79,          88110.32,          67249.66,          39607.71,          48203.96,          46175.26,          36581.26,          26559.35,          18345.54,          10575.41,           8680.73,           8723.61,           9071.50,           7949.03,           8256.92,           8380.60,           7653.56,           7536.04,           5677.14,           4448.13,           5439.75,           4984.65,           4341.67,           2589.78,
,World,Miscellaneous,Export,Export(US$ Mil),          42137.06,          45869.41,          44339.77,          46579.62,          42926.19,          43141.91,          64293.41,          32329.64,          29289.32,          32756.70,          38834.56,          29503.65,          23345.28,          21668.23,          19514.38,          19269.54,          17430.76,          16136.18,          11649.64,          10351.75,          13296.51,          10674.66,           6286.55,           5230.25,           4349.83,           3492.55,           1619.40,           1298.62,            706.87,
,World,Plastic or Rubber,Export,Export(US$ Mil),          23011.69,          22427.04,          23349.36,          24988.73,          24479.27,          24721.01,          23913.76,          19524.76,          15920.09,          18631.48,          17772.63,          15475.64,          13776.96,          11307.96,           8970.36,           7821.29,           7798.49,           7977.35,           6649.21,           6290.43,           6204.64,           5468.18,           5302.00,           4193.87,           3338.30,           2692.53,           1693.02,           1363.42,            880.67,
