Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Macao,...,...,Development,GDP (current US$ Mil),          50361.20,          45310.88,          45361.68,          55348.00,          51552.08,          43031.58,          36709.86,          28123.64,          21475.52,          20917.44,          18340.45,          14789.66,          12092.22,          10585.62,           8195.03,           7322.68,           6811.23,           6720.49,           6490.57,           6742.37,           7211.26,           7122.54,           6996.03,           6265.84,           5625.53,           4879.02,           3735.12,           3220.92,           2683.25,           2269.23
Macao,...,...,Export,No. Of Export partners,,             27.00,             34.00,             56.00,,             61.00,             67.00,             73.00,             79.00,             95.00,             96.00,             90.00,             85.00,             98.00,             93.00,             87.00,             94.00,             91.00,             88.00,             93.00,             91.00,             90.00,             88.00,             77.00,             77.00,             85.00,             89.00,,,
Macao,...,...,Export,No. Of Export products,,            208.00,            771.00,            704.00,,            321.00,            440.00,            464.00,           2143.00,           2212.00,           2058.00,           2021.00,           2004.00,           2062.00,           1922.00,           1836.00,           1874.00,           1893.00,           1927.00,           1888.00,           1983.00,           1963.00,           2133.00,           2188.00,           2202.00,           2142.00,           2190.00,,,
Macao,...,...,Import,No. Of Import partners,,            129.00,             74.00,            136.00,,            124.00,            121.00,            116.00,            118.00,            116.00,            121.00,            118.00,            118.00,            143.00,            125.00,            108.00,            108.00,             98.00,             86.00,             78.00,             86.00,             87.00,             72.00,             69.00,             72.00,             64.00,             67.00,,,
Macao,...,...,Import,No. Of Import products,,           1741.00,           2274.00,           2187.00,,           1970.00,           1967.00,           1984.00,           3095.00,           3254.00,           3286.00,           3441.00,           3443.00,           3475.00,           3239.00,           3097.00,           3021.00,           3042.00,           3145.00,           3196.00,           3258.00,           3333.00,           3371.00,           3361.00,           3474.00,           3533.00,           3467.00,,,
Macao,...,...,Tariff,No. Of Tariff Agreement,,              1.00,              1.00,              1.00,,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,,,,,,,,
Macao,...,...,Development,Trade Balance (current US$ Mil),          23863.82,          18829.78,          17771.07,          29505.83,          31052.41,          24977.28,          21292.93,          15506.36,           9383.04,           6893.06,           4996.20,           4210.14,           3939.91,           4325.12,           2880.87,           2517.12,           2224.56,           2083.88,           1318.96,           1595.73,           1787.52,           1843.12,           1592.79,           1054.48,           1005.32,            838.28,            555.20,            676.60,            478.35,            380.94
Macao,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             86.01,            169.07,            169.51,,            112.40,             86.97,             99.17,            139.92,            245.41,            377.57,            379.37,            367.75,            391.43,            354.63,            367.14,            268.25,            259.13,            201.95,            144.54,            266.34,            264.04,            212.51,            241.27,            241.88,            183.52,            145.62,,,
Macao,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           3132.43,           1590.15,           3735.22,,           2900.80,           2386.59,           1714.27,           1451.58,           2111.28,           2287.74,           2059.59,           1687.06,           1544.98,           1183.00,           1055.95,           1016.92,            925.82,            725.00,            635.70,            592.83,            476.95,            440.65,            393.33,            424.79,            397.89,            396.43,,,
Macao,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,            131.70,            148.80,            156.14,            148.68,,,
Macao,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            713.54,,            951.30,,            782.91,            786.48,            504.84,            369.20,,,,,,,,,,,,,,,,,,,,,
Macao,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             37.04,             80.83,            161.50,            187.11,            146.47,            232.58,            211.64,            175.78,            176.52,            196.90,            193.24,            186.84,            211.50,            213.39,            197.61,            188.98,            203.30,            211.88,            230.49,,,
Macao,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,            107.96,,,,,,,,,,,
Macao,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            397.33,            640.99,            666.81,,            404.66,            261.71,            264.80,            377.47,            394.34,            332.81,            286.47,            242.58,            212.35,            169.79,            136.90,            146.60,            165.69,            149.28,            162.48,            167.74,            212.70,            205.09,            222.56,            232.41,            230.30,            223.68,,,
Macao,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            792.05,           8518.73,           1154.96,,           1026.96,            947.00,            578.33,            505.40,            544.46,            542.39,            465.27,            390.26,            367.73,            348.44,            368.22,            331.16,            343.71,            367.93,            461.89,            522.86,            578.78,            585.18,            634.12,            596.90,            640.92,            641.60,,,
Macao,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            703.55,,            776.43,,            674.16,            587.45,,,,,,,,,,,,,,,,,,,,,,,
Macao,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             24.35,             12.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macao,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             48.81,,,,,            477.83,            381.86,            454.82,            482.81,            381.66,            426.56,            335.06,            248.96,            171.39,,            142.85,            135.41,            150.91,            177.42,            178.94,            213.05,            267.17,            315.72,            350.71,            319.72,,,
Macao,Macao,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            463.86,            632.49,            624.45,            575.28,            562.24,            431.86,            372.18,            363.20,            338.12,,,,,,,,,,,,
Macao,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macao,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              3.66,,              8.40,,,,,,,,,,,,,,,,,,,,,,,,,,
Macao,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             48.70,,,,,,,,,,,,            159.85,,            159.12,            214.26,            193.64,            192.01,            192.42,            175.50,            146.54,            141.81,            130.46,            125.55,            111.42,,,
Macao,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            202.39,,,,,,,,,,,,,,,,,
Macao,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            485.70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macao,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            702.10,,           1025.81,,            705.21,            559.82,            417.58,,,,,,,,,,,,,,,,,,,,,,
Macao,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            123.60,            112.04,            127.97,            146.90,            174.98,            162.72,            165.32,            168.47,            151.74,            142.20,,,,,,,
Macao,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             17.06,,             44.56,             53.87,             95.65,            163.81,            797.89,           1031.85,           1127.52,           1204.19,           1369.82,           1286.81,           1139.66,           1108.74,           1225.61,           1030.74,           1017.20,            970.54,            802.17,            834.20,            681.81,            589.96,            619.39,            526.36,,,
Macao,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            103.36,,,,,,            328.22,            333.75,            341.65,            291.31,,            186.95,,            203.63,            169.28,,,             91.57,            130.46,            117.43,            150.14,            142.71,            115.65,            100.30,             85.13,,,
Macao,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            737.33,,            325.92,,            371.69,            374.61,            259.29,             87.37,            190.31,            150.60,            135.79,            100.77,,,,,,,,,,,,,,,,,
Macao,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             16.96,             14.32,             23.52,,,,,,,,,,,,,,,,,,,,,,
Macao,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,       10284830.19,       10808059.74,       10808059.74,,        8756493.22,        7324313.26,        5280115.06,        4750943.52,        5879854.88,        6044742.11,        5235426.39,        4514198.03,        4093675.96,        3232180.07,        3008957.90,        2823500.68,        2625222.81,        2035866.97,        1947667.10,        2076626.19,        1991975.01,,,,,,,,
Macao,World,Animal,Export,Export(US$ Mil),,              0.24,              2.64,              3.05,,              2.96,              2.41,              3.00,              4.39,              3.66,              3.97,              3.49,              3.14,              3.18,              3.02,              4.01,              3.80,              3.90,              3.12,              2.50,              3.15,              3.66,              3.52,              6.21,              7.44,              6.84,              8.06,,,
Macao,World,Capital goods,Export,Export(US$ Mil),,             91.12,            203.53,            275.46,,            185.26,             60.66,             35.12,            110.72,            197.36,            302.61,            192.39,            177.52,            160.46,             95.00,             65.54,             68.11,            106.50,             70.49,             74.46,             62.82,             59.67,             99.33,             72.34,             72.84,             67.14,             53.49,,,
Macao,World,Chemicals,Export,Export(US$ Mil),,              7.46,             35.75,              9.68,,              3.32,              5.18,              0.55,             39.97,             42.24,             28.91,             31.27,             25.98,             28.75,             29.06,             27.35,             29.66,             26.31,             25.85,             23.76,             30.95,             27.85,             27.95,             27.32,             27.89,             26.84,             24.05,,,
Macao,World,Consumer goods,Export,Export(US$ Mil),,            376.16,            493.69,            468.38,,            170.43,            169.34,            198.44,            724.68,           1599.54,           1952.88,           2033.05,           1948.91,           2267.78,           2085.97,           1883.65,           1870.02,           2076.72,           1814.64,           1808.85,           1954.84,           1746.61,           1634.21,           1520.74,           1438.09,           1454.33,           1387.82,,,
Macao,World,Food Products,Export,Export(US$ Mil),,             28.22,             21.65,             96.17,,             12.50,             19.34,             15.66,             47.06,             53.11,             38.91,             41.08,             36.14,             29.16,             24.73,             22.51,             23.65,             20.66,             26.58,             33.24,             28.92,             28.45,             28.65,             59.59,             61.51,             22.98,             11.15,,,
Macao,World,Footwear,Export,Export(US$ Mil),,             26.16,              9.52,             25.93,,             15.26,              0.50,              1.83,             10.68,             18.89,             51.41,             52.88,             12.51,            111.74,            102.30,             93.57,             99.92,            102.23,             78.25,             61.25,             51.31,             48.18,             51.11,             37.27,             26.22,             20.11,             26.57,,,
Macao,World,Fuels,Export,Export(US$ Mil),,,              0.05,              0.12,,,,,             87.39,            191.52,            150.71,            136.12,            100.90,             69.16,             34.52,             27.89,             13.57,             17.17,              7.95,              8.26,              9.08,              7.85,              0.09,              0.20,              0.31,              0.30,              0.29,,,
Macao,World,Hides and Skins,Export,Export(US$ Mil),,             44.86,             53.50,             41.46,,              3.28,              1.57,              0.81,             14.82,             10.88,              6.99,              6.05,              6.31,              5.65,              8.63,             10.41,             12.12,             14.67,              8.69,             11.94,             20.75,             58.18,             70.53,             69.90,             72.55,             64.27,             62.42,,,
Macao,World,Intermediate goods,Export,Export(US$ Mil),,              2.97,             52.50,             27.59,,             14.51,             17.82,             30.40,            115.05,            189.07,            273.98,            319.13,            337.74,            369.77,            366.37,            378.17,            345.30,            336.98,            289.74,            229.55,            229.68,            235.86,            239.98,            231.50,            244.26,            235.88,            225.87,,,
Macao,World,Mach and Elec,Export,Export(US$ Mil),,             94.14,            204.53,            280.76,,            196.38,             74.37,             62.15,            137.69,            225.05,            342.80,            231.95,            199.15,            170.30,            105.07,             84.71,             88.53,            144.25,             99.25,             80.42,             86.31,             79.75,            122.76,            127.75,            118.71,             95.19,             78.19,,,
Macao,World,Metals,Export,Export(US$ Mil),,             10.56,             17.57,             26.62,,              9.43,              8.16,              1.34,             47.83,             72.42,             75.61,             62.67,             49.09,             41.36,             19.68,              9.54,              7.72,              8.25,              9.25,              8.73,              9.67,              9.86,             11.78,             13.52,             15.34,             10.42,              7.74,,,
Macao,World,Minerals,Export,Export(US$ Mil),,,              0.01,              0.01,,,              0.00,              0.01,              0.24,              0.20,              0.60,              0.08,              0.38,              0.71,              4.52,              3.69,             11.75,             13.31,             17.57,             12.43,             18.44,             21.97,             16.82,             14.64,             17.95,             15.36,             12.75,,,
Macao,World,Miscellaneous,Export,Export(US$ Mil),,            895.54,            760.95,            584.96,,            645.77,            614.80,            607.93,            107.76,             86.47,             65.41,             40.42,             26.87,             21.56,             27.23,             26.25,             29.11,             36.10,             31.95,             32.55,             34.16,             53.58,            109.12,            113.87,            109.35,            132.85,            148.52,,,
Macao,World,Plastic or Rubber,Export,Export(US$ Mil),,             52.31,             37.38,             11.00,,              3.07,             10.66,              2.98,             13.96,             17.22,             17.88,             16.20,             13.86,             12.92,             11.85,              9.89,              8.16,             10.14,              6.98,              6.37,              6.06,              7.26,              9.40,             10.10,             11.10,             11.13,             11.92,,,
Macao,World,Raw materials,Export,Export(US$ Mil),,              8.49,              6.99,             21.61,,              7.96,              7.63,              1.30,             10.23,             11.37,             12.96,             12.43,             10.33,             14.05,             33.66,             29.40,             16.07,             19.12,             13.88,             13.50,             25.67,             50.01,             51.06,             47.58,             41.49,             28.53,             21.68,,,
Macao,World,Stone and Glass,Export,Export(US$ Mil),,             66.44,            102.63,             80.03,,             32.73,             36.72,              5.99,            110.25,            110.00,             71.99,             79.07,             51.36,             42.19,             28.79,             24.71,             14.94,             21.65,             15.62,             14.59,             11.29,              4.22,              5.19,              5.44,              5.79,              5.52,              5.66,,,
