Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Morocco,...,...,Development,GDP (current US$ Mil),         109708.73,         103345.30,         101179.81,         110081.25,         106825.65,          98266.31,         101370.47,          93216.75,          92897.32,          92507.26,          79041.29,          68640.83,          62343.02,          59626.02,          52064.06,          42236.84,          39459.58,          38857.25,          41632.03,          41806.22,          39147.84,          43161.45,          39030.29,          35604.14,          31655.47,          33711.07,          32285.39,          30180.11,          26314.22,          25705.30
Morocco,...,...,Export,No. Of Export partners,,            179.00,            175.00,            171.00,            173.00,            167.00,            163.00,            167.00,            165.00,            161.00,            165.00,            155.00,            159.00,            157.00,            163.00,            153.00,            151.00,            146.00,            140.00,            134.00,            132.00,            131.00,            130.00,            129.00,            131.00,,,,,
Morocco,...,...,Export,No. Of Export products,,           3052.00,           3007.00,           3072.00,           2885.00,           2931.00,           2919.00,           2952.00,           2930.00,           2935.00,           2898.00,           2801.00,           2749.00,           2919.00,           2837.00,           2769.00,           2704.00,           2537.00,           2524.00,           2475.00,           2285.00,           2217.00,           2176.00,           2303.00,           2245.00,,,,,
Morocco,...,...,Import,No. Of Import partners,,            181.00,            190.00,            177.00,            179.00,            178.00,            167.00,            161.00,            160.00,            166.00,            165.00,            163.00,            168.00,            161.00,            158.00,            155.00,            147.00,            144.00,            142.00,            137.00,            129.00,            128.00,            130.00,            129.00,            128.00,,,,,
Morocco,...,...,Import,No. Of Import products,,           4271.00,           4272.00,           4514.00,           4473.00,           4465.00,           4496.00,           4514.00,           4531.00,           4485.00,           4494.00,           4460.00,           4463.00,           4434.00,           4428.00,           4412.00,           4409.00,           4410.00,           4405.00,           4439.00,           4375.00,           4372.00,           4355.00,           4271.00,           4347.00,,,,,
Morocco,...,...,Tariff,No. Of Tariff Agreement,,             19.00,             19.00,             19.00,,             19.00,              1.00,              1.00,             16.00,             16.00,             19.00,             18.00,             16.00,,              1.00,              1.00,              1.00,              1.00,,,              2.00,,,,              2.00,,,,,
Morocco,...,...,Development,Trade Balance (current US$ Mil),         -10432.42,         -10613.31,          -7687.60,         -13768.36,         -15452.62,         -15001.16,         -14218.96,         -10050.25,         -11062.91,         -13125.04,          -7385.47,          -4108.54,          -3788.30,          -3208.68,          -1728.62,          -1139.91,          -1183.66,          -2170.94,          -1531.21,          -1668.10,          -1292.63,          -1477.67,          -2485.68,          -1935.64,          -1755.91,          -1995.36,          -1660.04,          -1662.33,          -1379.12,            -37.15
Morocco,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           1088.61,           1311.58,           1266.37,           1118.20,            670.44,,            982.86,,,,,,,,,,,,,,,,,,,,
Morocco,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           3804.07,           3152.87,           3507.53,           3136.69,           2967.81,           2884.59,           2968.06,           2567.73,           2406.75,           1855.52,           1259.79,,,,,,,,,,,,,,,,,,
Morocco,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           4827.95,           4389.43,           4951.11,           4717.31,           4619.48,           4564.21,           3991.78,           3508.85,           4103.56,           4080.82,           3563.76,           3367.84,           3336.16,           3004.63,           2645.95,           2320.82,           2491.05,           2683.70,           2488.58,           1261.12,           1343.96,           1400.14,           1279.19,           1227.50,,,,,
Morocco,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           5513.79,           4755.41,           6225.05,           5849.12,           5548.46,           6308.93,           5507.69,           5117.97,           6354.91,           5007.74,           3840.17,           3778.39,           3290.35,           2927.16,           2437.71,           2479.24,           2771.35,           2777.95,           2706.59,           1633.81,           1720.62,           1865.57,           1626.76,           1528.75,,,,,
Morocco,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            476.40,,,,,,            345.24,            327.49,            336.11,            369.25,            426.70,            432.32,,,,,            163.36,,,,,
Morocco,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2452.47,           2179.61,,,,,,,,,,,           1053.01,            740.07,            630.07,            568.25,,            651.82,            697.46,,            501.69,            534.87,            506.65,            395.23,,,,,
Morocco,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            758.47,            876.67,            866.84,,           1160.55,           1504.93,           1075.56,            728.46,           1371.60,            555.46,            540.05,            443.80,,,,,,,,            386.13,            299.04,            309.63,            258.20,,,,,,
Morocco,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1062.47,            975.46,           1023.77,            829.84,,,            798.65,            657.99,            946.64,            745.27,            616.63,            559.17,            462.84,            452.13,            424.96,            409.08,            529.49,            379.93,            356.40,            298.63,            298.93,            268.70,            231.06,            193.23,,,,,
