Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Mayotte,...,...,Export,No. Of Export partners,,,,,,,,,             23.00,             29.00,             22.00,             17.00,             15.00,             23.00,             18.00,             20.00,             16.00,             11.00,,,,,,,,,,,,
Mayotte,...,...,Export,No. Of Export products,,,,,,,,,            412.00,            377.00,            341.00,            381.00,            341.00,            310.00,            372.00,            381.00,            407.00,            179.00,,,,,,,,,,,,
Mayotte,...,...,Import,No. Of Import partners,,,,,,,,,            138.00,            136.00,            139.00,            133.00,            133.00,            134.00,            114.00,            119.00,            121.00,            117.00,,,,,,,,,,,,
Mayotte,...,...,Import,No. Of Import products,,,,,,,,,           2883.00,           2925.00,           2954.00,           3048.00,           2994.00,           2971.00,           2901.00,           2867.00,           2889.00,           2853.00,,,,,,,,,,,,
Mayotte,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,              2.00,              2.00,              2.00,,,,,,,,,,,,,,,,,,,
Mayotte,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             18.39,,,,,,,,,,,,,,,,,,,
Mayotte,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             10.56,              7.76,,,,,,,,,,,,,,,,,
Mayotte,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             24.20,             29.49,             28.29,             18.04,             11.65,              8.07,              6.24,,,,,,,,,,,,,,,
Mayotte,Comoros,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              1.07,              1.22,              1.40,              1.88,              1.88,              0.71,              1.24,              1.41,              1.53,              0.35,,,,,,,,,,,,
Mayotte,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              3.55,              4.40,              5.89,              5.09,              3.04,              2.75,              3.41,              4.10,              1.70,              2.08,,,,,,,,,,,,
Mayotte,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            244.59,            230.40,            224.32,            167.63,            113.18,            112.72,            118.34,            111.11,             97.39,             81.68,,,,,,,,,,,,
Mayotte,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              0.02,,,,,,,,,,,,
Mayotte,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             19.74,             28.87,             16.82,              9.79,,,              5.97,,              6.36,              5.46,,,,,,,,,,,,
Mayotte,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.03,,,,,,,,,,,,,,,
Mayotte,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              0.05,              0.08,,,,,,,,,,,,,,,,,,
Mayotte,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              0.28,,,,,,,,,,,,,,,,,,,,,
Mayotte,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,              0.02,,,,,,,,,,,,,
Mayotte,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             14.01,,,,,,,,,              3.51,,,,,,,,,,,,
Mayotte,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              0.05,,,,,,,,,,,,,,,,,,,
Mayotte,Madagascar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              0.97,              0.41,              0.27,              0.17,              0.16,              0.26,              0.21,              0.17,              0.15,              0.23,,,,,,,,,,,,
Mayotte,Mauritius,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              0.20,              0.36,,,              0.04,              0.04,              0.03,              0.14,              0.07,              0.05,,,,,,,,,,,,
Mayotte,Mauritius,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,              4.91,,,,,,,,,,,,,,
Mayotte,Mozambique,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              0.10,,,,,,,,,,,,,,
Mayotte,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.04,,,,,,,,,,,,,,,,,
Mayotte,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             31.16,,,,,,,,,,,,,,,,,,,,
Mayotte,Seychelles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             26.85,             44.54,             24.65,             10.96,,,,,,,,,,,,,,,,
Mayotte,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,              0.03,,,,,,,,,,,,,,,,
Mayotte,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,              7.90,             16.41,             14.03,              8.44,              6.70,              7.63,,,,,,,,,,,,
Mayotte,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,              4.39,              3.78,,,,,,,,,,,,,
Mayotte,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             20.49,,,,,              7.19,              7.39,              6.31,              6.39,              4.47,,,,,,,,,,,,
Mayotte,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             33.24,,,,,,,,,,,,,,,,,,,,
Mayotte,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,              0.04,,,,,,,,,,,,,,,,,,
Mayotte,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              0.48,,,,,,,,,,,,,,,,,,,,
Mayotte,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,         387957.95,         472781.24,         380583.59,,,,,,,,,,,,,,,,,,,
Mayotte,World,Animal,Export,Export(US$ Mil),,,,,,,,,              0.76,              0.88,              0.89,              0.86,              0.56,              0.67,              1.07,              0.74,              0.18,              0.04,,,,,,,,,,,,
Mayotte,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,              2.55,              2.21,              1.84,              2.60,              1.61,              1.33,              1.21,              1.40,              0.70,              0.55,,,,,,,,,,,,
Mayotte,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,              0.44,              1.46,              0.95,              1.07,              0.79,              0.41,              0.75,              0.74,              0.69,              1.35,,,,,,,,,,,,
Mayotte,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,              2.31,              2.93,              3.47,              2.98,              2.24,              1.52,              1.98,              3.06,              1.79,              0.51,,,,,,,,,,,,
Mayotte,World,Food Products,Export,Export(US$ Mil),,,,,,,,,              0.31,              0.20,              0.19,              0.20,              0.44,              0.16,              0.07,              0.11,              0.09,              0.02,,,,,,,,,,,,
Mayotte,World,Footwear,Export,Export(US$ Mil),,,,,,,,,              0.00,              0.00,              0.00,              0.01,              0.00,              0.00,              0.01,              0.00,              0.00,              0.00,,,,,,,,,,,,
Mayotte,World,Fuels,Export,Export(US$ Mil),,,,,,,,,              0.04,              0.06,              0.06,              0.04,              0.01,              0.06,              0.01,              0.00,              0.00,              0.00,,,,,,,,,,,,
Mayotte,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,              0.00,              0.00,              0.02,              0.02,              0.00,,              0.01,              0.00,              0.00,              0.00,,,,,,,,,,,,
Mayotte,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,,              0.71,              1.71,              1.00,              0.94,              0.78,              0.48,              0.73,              0.87,              0.82,              1.49,,,,,,,,,,,,
