Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Namibia,...,...,Development,GDP (current US$ Mil),          13253.70,          11281.26,          11650.66,          12786.08,          12717.79,          13016.27,          12409.63,          11282.19,           8876.19,           8486.72,           8740.87,           7835.04,           7121.39,           6480.44,           4811.99,           3275.67,           3476.45,           3833.99,           3818.95,           3826.53,           4102.65,           3945.34,           3942.48,           3636.65,           3218.48,           3424.73,           2992.65,           2785.76,           2531.52,           2491.41
Namibia,...,...,Export,No. Of Export partners,            163.00,            167.00,            165.00,            156.00,            162.00,            144.00,            156.00,            154.00,            154.00,            159.00,            148.00,            157.00,            154.00,            154.00,            125.00,            127.00,            131.00,            136.00,,,,,,,,,,,,
Namibia,...,...,Export,No. Of Export products,           2980.00,           2923.00,           3090.00,           3263.00,           3259.00,           3285.00,           3334.00,           3417.00,           3399.00,           3325.00,           3228.00,           3405.00,           3487.00,           3538.00,           3313.00,           3361.00,           3162.00,           2985.00,,,,,,,,,,,,
Namibia,...,...,Import,No. Of Import partners,            172.00,            158.00,            161.00,            152.00,            128.00,            120.00,            122.00,            120.00,            110.00,            126.00,            119.00,            127.00,            134.00,            126.00,            115.00,            125.00,            126.00,            123.00,,,,,,,,,,,,
Namibia,...,...,Import,No. Of Import products,           4135.00,           4140.00,           4166.00,           4137.00,           4091.00,           4167.00,           4137.00,           4156.00,           4107.00,           4105.00,           4191.00,           4397.00,           4473.00,           4440.00,           4268.00,           4313.00,           4344.00,           4357.00,,,,,,,,,,,,
Namibia,...,...,Tariff,No. Of Tariff Agreement,              9.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              3.00,              3.00,              3.00,,              4.00,              2.00,,,,,,,,,,,,,
Namibia,...,...,Development,Trade Balance (current US$ Mil),          -1431.35,          -2377.25,          -3532.22,          -3160.03,          -2144.83,          -2179.37,          -1482.81,          -1455.28,          -1844.83,          -1060.74,           -466.34,            311.84,              9.94,           -149.79,           -447.99,            -69.58,           -230.24,           -143.55,           -318.75,           -363.71,           -313.66,           -228.78,           -166.43,            -47.02,            -93.91,           -203.84,           -175.93,           -185.20,             85.17,             37.51
Namibia,Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            206.76,            435.85,            466.23,            500.91,            492.01,            558.96,            663.75,            405.62,            260.86,            192.87,            194.52,            244.58,            321.26,            185.32,             79.77,             92.71,,,,,,,,,,,,
Namibia,"Bahamas, The",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            167.26,            295.72,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            439.21,            327.79,,,,,,,,,,,,,,,,,,,,,,,
