Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Nigeria,...,...,Development,GDP (current US$ Mil),         375745.49,         404649.53,         494583.18,         568498.94,         514966.29,         459376.05,         410334.58,         363359.89,         291880.20,         337035.51,         275625.68,         236103.98,         176134.09,         136385.98,         104911.95,          95385.82,          74030.36,          69448.76,          59372.61,          54604.05,          54457.84,          51075.82,          44062.47,          33833.04,          27752.20,          47794.93,          49118.43,          54035.80,          44003.06,          49648.47
Nigeria,...,...,Export,No. Of Export partners,            116.00,            115.00,,            151.00,            148.00,            148.00,            135.00,            145.00,            138.00,            147.00,            124.00,             81.00,,,             70.00,             54.00,             50.00,             67.00,             94.00,             62.00,             54.00,             92.00,,,,,,,,
Nigeria,...,...,Export,No. Of Export products,            328.00,            274.00,,            990.00,           1228.00,            972.00,           1510.00,            873.00,            808.00,            938.00,            813.00,            356.00,,,            318.00,            236.00,            203.00,            292.00,            587.00,            245.00,            187.00,            366.00,,,,,,,,
Nigeria,...,...,Import,No. Of Import partners,            199.00,            181.00,,            195.00,            188.00,            173.00,            160.00,            161.00,            171.00,            198.00,            196.00,            203.00,,,            195.00,            181.00,            199.00,            187.00,            158.00,            132.00,            140.00,            135.00,,,,,,,,
Nigeria,...,...,Import,No. Of Import products,           4010.00,           3971.00,,           4036.00,           3890.00,           3809.00,           3696.00,           3479.00,           3425.00,           3508.00,           3387.00,           3338.00,,,           3820.00,           3793.00,           3686.00,           3810.00,           3885.00,           3803.00,           3830.00,           3511.00,,,,,,,,
Nigeria,...,...,Tariff,No. Of Tariff Agreement,,              2.00,,              1.00,              1.00,,              1.00,              4.00,              1.00,              1.00,,              1.00,,,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,
Nigeria,...,...,Development,Trade Balance (current US$ Mil),            -16.81,          -9251.50,           -660.46,          34024.99,          26010.71,          85263.90,          40852.59,          29070.48,           3508.32,          35534.70,           8642.91,          38876.17,          15866.95,          11745.20,           4372.52,           6146.92,           5049.92,          16008.59,           4874.99,          -1632.89,           3179.52,           2958.14,           3870.12,           1366.60,           1779.84,           4646.68,           5634.93,           5957.34,           7180.83,           2679.87
Nigeria,Albania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,           2537.49,,,,,,,,,,,,,,,,,,,,,
Nigeria,Antigua and Barbuda,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           4537.68,           2479.52,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,           4510.56,,,,,,,,,,,,,,,,,,,
Nigeria,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4022.51,           4267.64,,           3369.66,,,,,           1627.64,           1593.52,           3960.79,           1170.96,,,,            519.39,            438.17,            315.13,,,,,,,,,,,,
Nigeria,Belize,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,           2000.15,,,,,,,,,,,,,,,,,,,,
