Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Norway,...,...,Development,GDP (current US$ Mil),         398831.96,         371075.24,         386663.14,         499338.53,         523502.13,         510229.14,         498831.56,         429130.95,         386622.46,         462554.43,         401082.62,         345424.66,         308722.08,         264357.49,         228752.44,         195418.35,         174003.25,         171315.64,         162286.00,         154165.22,         161354.37,         163517.78,         152027.40,         127131.46,         120579.07,         130838.04,         121872.46,         119791.68,         102633.79,         101900.26
Norway,...,...,Export,No. Of Export partners,            207.00,            210.00,            212.00,            206.00,            210.00,            207.00,            204.00,            204.00,            206.00,            202.00,            199.00,            195.00,            196.00,            194.00,            195.00,            197.00,            203.00,            203.00,            195.00,            195.00,            199.00,            199.00,            197.00,            200.00,            192.00,,,,,
Norway,...,...,Export,No. Of Export products,           3661.00,           3664.00,           3659.00,           3648.00,           3639.00,           3638.00,           3581.00,           3579.00,           3493.00,           3557.00,           3599.00,           3775.00,           3836.00,           3802.00,           3804.00,           3757.00,           3868.00,           3913.00,           3942.00,           3928.00,           3927.00,           3923.00,           3972.00,           3970.00,           3867.00,,,,,
Norway,...,...,Import,No. Of Import partners,            200.00,            201.00,            188.00,            181.00,            176.00,            190.00,            182.00,            176.00,            171.00,            172.00,            194.00,            188.00,            188.00,            170.00,            163.00,            173.00,            179.00,            179.00,            172.00,            163.00,            166.00,            158.00,            155.00,            155.00,            157.00,,,,,
Norway,...,...,Import,No. Of Import products,           4367.00,           4374.00,           4382.00,           4357.00,           4366.00,           4361.00,           4385.00,           4350.00,           4353.00,           4390.00,           4415.00,           4660.00,           4660.00,           4650.00,           4640.00,           4658.00,           4748.00,           4758.00,           4784.00,           4790.00,           4770.00,           4778.00,           4833.00,           4861.00,           4845.00,,,,,
Norway,...,...,Tariff,No. Of Tariff Agreement,             36.00,             36.00,             36.00,             31.00,             32.00,             27.00,             25.00,             25.00,             24.00,             22.00,             22.00,             23.00,             21.00,             25.00,             25.00,             20.00,             13.00,              4.00,             21.00,              4.00,              2.00,             15.00,              5.00,,              5.00,,,,,
Norway,...,...,Development,Trade Balance (current US$ Mil),           9653.80,           3204.05,          21751.78,          44938.43,          56456.17,          66495.92,          64151.68,          48321.47,          44089.66,          78323.94,          53776.55,          58518.24,          49395.27,          34844.23,          29082.23,          25683.76,          28957.93,          28791.95,          11685.69,           2764.84,          12992.34,          14331.30,           9182.19,           7559.37,           7557.12,           8642.53,           9420.78,           7486.30,           3569.70,           -595.06
Norway,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8409.85,           8011.72,           8126.39,           8484.22,           8260.52,           8077.56,           8290.99,           6565.41,           5349.10,           5763.21,           4850.68,           3662.91,           3112.30,           2406.51,,,,,,,,,,,,,,,,
Norway,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           4064.54,,,           5470.07,           5420.21,           5741.38,           4801.04,           4651.27,           6132.13,           5141.66,           4429.57,           4057.92,           3556.36,           3129.74,           2748.19,           2329.52,           2188.89,           2335.43,           2493.23,           2518.05,           2654.52,           2473.20,           2015.51,,,,,,
Norway,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6569.90,           6133.02,           6865.41,           8838.67,          11440.96,          10111.05,          10912.55,           8452.82,           9137.04,          16233.25,          10940.93,          10097.81,           9643.83,           7225.05,           5575.89,           5046.01,           5572.56,           6009.31,           3792.97,           3417.01,           4119.65,           4320.56,           3246.59,           2826.94,           2524.40,,,,,
Norway,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          15822.79,          12774.56,          18614.13,          24476.88,          26702.19,          19279.13,          17041.11,          14453.96,          14173.54,          21622.78,          16782.56,          15043.29,          13082.63,          10834.27,           8845.56,           7550.70,           7176.47,           6172.07,           4565.48,           4986.13,           5283.65,           5456.73,           4981.02,           4322.30,           4149.23,,,,,
Norway,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           9486.93,           8712.64,           8707.10,          10566.33,          11129.27,          10816.25,          10880.85,           9506.89,           8793.88,          11961.85,          10894.44,           8642.38,           7451.41,           6584.16,           5281.89,           4554.42,           4167.63,           4079.28,           4389.09,           5048.68,           4842.86,           4592.26,           4557.97,           3802.82,           3254.68,,,,,
Norway,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,           1923.25,,,,,
Norway,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5787.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          10135.33,           9523.67,          11534.31,          19267.98,          16869.32,          19709.80,          18726.52,          15537.30,          13197.06,          18089.16,          14013.56,          12546.24,          10306.35,           8448.82,           6525.78,           5692.54,           6150.45,           6858.41,           4796.95,           3899.46,           5539.66,           5436.28,           3977.34,           3302.83,           2706.11,,,,,
Norway,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6738.53,           5757.00,           6184.26,           8185.13,           9013.79,          10204.87,          10377.64,           9168.88,           6883.11,          10821.10,           8923.04,           7849.48,,,,,           4775.61,           5042.38,           4256.73,           3950.77,           4268.66,           4540.62,           4119.11,           3260.20,           2777.78,,,,,
Norway,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           9819.38,           8675.90,           8854.55,          10949.47,          11954.50,          11821.43,          12143.83,          10806.93,           9492.29,          12723.34,          11777.75,           9634.68,           7998.01,           7597.48,           6398.12,           5354.34,           5023.16,           5046.07,           5151.04,           5526.38,           5606.72,           5855.25,           5048.29,           4094.35,           3397.65,,,,,
Norway,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          21523.28,          18548.82,          21092.59,          32894.51,          37366.12,          42622.02,          45141.29,          35867.94,          26297.43,          47022.44,          35758.22,          32695.75,          25980.73,          18601.81,          14435.23,          11497.41,          11574.19,          12375.24,           8260.15,           6838.79,           9357.78,           9713.36,           8361.99,           7231.61,           7842.93,,,,,
Norway,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           4945.09,           5787.19,           5751.08,           5348.74,           5075.30,           4580.21,,           5302.34,           5533.59,           4116.23,           4000.06,           3186.30,           2853.97,           2539.12,           2594.20,           2786.75,           3145.39,           3701.63,           3369.61,           3191.22,           3203.62,           2830.53,           2197.39,,,,,
Norway,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,           6842.51,           6300.38,           5873.68,           5240.43,,,,,,,,,,,,,,
