Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Nepal,...,...,Development,GDP (current US$ Mil),          24880.27,          21185.92,          21410.84,          20002.97,          19271.17,          18851.51,          18913.57,          16002.66,          12854.99,          12545.44,          10325.62,           9043.72,           8130.26,           7273.94,           6330.47,           6050.88,           6007.06,           5494.25,           5033.64,           4856.26,           4918.69,           4521.58,           4401.10,           4066.78,           3660.04,           3401.21,           3921.48,           3627.56,           3525.23,           3487.01
Nepal,...,...,Export,No. Of Export partners,            124.00,            132.00,            127.00,            128.00,            135.00,            132.00,            133.00,            146.00,            146.00,,,,,,             78.00,,,             68.00,             54.00,             58.00,,,,             56.00,,,,,,
Nepal,...,...,Export,No. Of Export products,           1093.00,           1106.00,            897.00,           1151.00,           1175.00,           1051.00,           1019.00,           1088.00,           1167.00,,,,,,           1086.00,,,            329.00,            789.00,            120.00,,,,           1359.00,,,,,,
Nepal,...,...,Import,No. Of Import partners,            147.00,            170.00,            159.00,            153.00,            153.00,            153.00,            162.00,            146.00,            141.00,,,,,,             95.00,,,             73.00,             71.00,             73.00,,,,             72.00,,,,,,
Nepal,...,...,Import,No. Of Import products,           4146.00,           4192.00,           4066.00,           4134.00,           4004.00,           4062.00,           4070.00,           4022.00,           3892.00,,,,,,           4167.00,,,           2096.00,           3492.00,            256.00,,,,           4250.00,,,,,,
Nepal,...,...,Tariff,No. Of Tariff Agreement,,              3.00,              3.00,              3.00,              3.00,              3.00,              3.00,              3.00,              3.00,,,,,,              1.00,,,              1.00,              1.00,              3.00,,,,,,,,,,
Nepal,...,...,Development,Trade Balance (current US$ Mil),          -8406.99,          -6316.51,          -6391.43,          -5849.87,          -5158.48,          -4432.07,          -4543.08,          -4291.89,          -2859.04,          -2569.88,          -1948.23,          -1616.00,          -1211.05,           -929.75,           -813.35,           -650.86,           -641.46,           -502.32,           -345.81,           -537.37,           -559.74,           -579.78,           -420.05,           -506.08,           -377.85,           -332.50,           -458.56,           -403.90,           -395.38,           -381.29
Nepal,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            107.45,            179.24,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Bangladesh,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             37.95,             26.04,             59.99,             60.84,,,,,,,,,,             18.19,              9.01,,,,,,,,,,
Nepal,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             11.41,,,,,,,,,,,,
Nepal,Bhutan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             18.64,,,,,,,,,,,,,,,,,,,,,,
Nepal,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             28.01,             20.23,             21.91,,,             23.87,,,,,,             22.43,,,,              8.79,,,,,,,,,,,
Nepal,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1267.43,           1247.16,            920.00,            939.54,            603.62,            696.57,            689.89,            561.20,            421.39,,,,,,            150.95,,,            117.31,             85.37,             63.38,,,,             53.14,,,,,,
Nepal,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              7.37,,,,,,,,,,
Nepal,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            155.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             29.10,             29.44,             26.76,             32.34,             33.53,             29.51,             40.90,             35.73,             35.97,,,,,,             22.12,,,            105.52,            115.55,            103.15,,,,            202.41,,,,,,
Nepal,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,             95.65,             38.59,            141.21,,,,            142.85,,,,,,
Nepal,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            420.18,            394.60,            419.09,            584.11,            578.09,            601.18,            614.38,            570.59,            562.81,,,,,,            341.80,,,            317.79,            186.60,            136.44,,,,             44.17,,,,,,
Nepal,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           6519.70,           5816.21,           4008.22,           4935.20,           4103.81,           3935.46,           3751.68,           3252.66,           2131.93,,,,,,            954.91,,,            575.65,            619.86,            394.53,,,,            429.84,,,,,,
Nepal,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            110.86,            118.08,            157.48,            180.97,             93.44,            115.20,            106.63,            107.05,,,,,,             58.59,,,,,,,,,,,,,,,
Nepal,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             59.59,,,,,,,,,,,,,,,
Nepal,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            112.13,,,,,,,,,,,,,,,,,,,,,
Nepal,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             36.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             91.00,,,,,,            114.38,,,            112.69,            130.56,            192.27,,,,             75.85,,,,,,
Nepal,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,             11.71,,,,,,
Nepal,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            111.67,,,,,,,,,,,,,,,            143.37,,,,,,,,,,,,
