Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
New Zealand,...,...,Development,GDP (current US$ Mil),         205852.84,         189285.95,         177620.95,         200955.12,         190785.20,         176192.89,         168462.00,         146583.83,         121338.62,         133279.68,         137316.09,         111608.85,         114718.72,         103904.54,          88250.89,          66627.73,          53872.43,          52622.84,          58762.26,          56227.70,          66074.51,          70140.84,          63918.04,          55154.16,          46712.02,          41636.01,          42756.02,          45519.03,          44170.56,          45493.08
New Zealand,...,...,Export,No. Of Export partners,            213.00,            212.00,            212.00,            216.00,            210.00,            214.00,            208.00,            212.00,            213.00,            213.00,            212.00,            210.00,            210.00,            206.00,            205.00,            201.00,            195.00,            190.00,            185.00,            183.00,            179.00,            172.00,            172.00,            180.00,            184.00,            165.00,            160.00,            167.00,            161.00,
New Zealand,...,...,Export,No. Of Export products,           3821.00,           3863.00,           3864.00,           3849.00,           3865.00,           3861.00,           3841.00,           3881.00,           3862.00,           3865.00,           3841.00,           3971.00,           3998.00,           3951.00,           3860.00,           3873.00,           3875.00,           3831.00,           3840.00,           3926.00,           3895.00,           3864.00,           3908.00,           3946.00,           3942.00,           3916.00,           3909.00,           3903.00,           3843.00,
New Zealand,...,...,Import,No. Of Import partners,            223.00,            224.00,            220.00,            217.00,            214.00,            208.00,            212.00,            212.00,            217.00,            210.00,            214.00,            209.00,            193.00,            189.00,            179.00,            182.00,            172.00,            164.00,            154.00,            153.00,            159.00,            152.00,            152.00,            157.00,            153.00,            139.00,            129.00,            132.00,            132.00,
New Zealand,...,...,Import,No. Of Import products,           4258.00,           4289.00,           4301.00,           4291.00,           4293.00,           4309.00,           4320.00,           4322.00,           4302.00,           4333.00,           4327.00,           4574.00,           4555.00,           4543.00,           4561.00,           4557.00,           4573.00,           4569.00,           4598.00,           4544.00,           4577.00,           4612.00,           4649.00,           4669.00,           4640.00,           4609.00,           4606.00,           4615.00,           4636.00,
New Zealand,...,...,Tariff,No. Of Tariff Agreement,             16.00,             16.00,             15.00,             15.00,             13.00,              3.00,              3.00,             14.00,             12.00,             11.00,             11.00,              9.00,              8.00,              8.00,              8.00,              8.00,              7.00,              7.00,              7.00,              7.00,              7.00,              7.00,,,              3.00,              1.00,,,,
New Zealand,...,...,Development,Trade Balance (current US$ Mil),,            591.71,           1348.70,           1463.37,           3013.76,           1225.81,           2607.81,           3363.52,           2818.41,           -334.58,            166.09,           -430.58,          -1661.62,            298.49,           1557.35,           2024.25,           1954.63,           1565.01,            293.74,            752.67,            921.01,           1109.34,           1196.87,           1516.58,           1707.87,           1311.68,           1576.07,            416.54,            317.22,           1799.03
New Zealand,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6252.05,           5781.30,           5850.80,           7290.95,           7487.38,           8023.93,           8537.89,           7124.59,           5739.72,           7124.89,           5910.75,           4583.03,           4645.55,           4239.42,           3560.99,           2883.27,           2597.59,           2709.00,           2708.88,           2536.88,           2855.85,           2933.20,           2806.59,           2606.50,           2106.23,           1938.27,           1833.41,           1797.37,           1677.68,
New Zealand,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4910.88,           4555.51,           4330.14,           5175.94,           5262.21,           5818.69,           5765.57,           5483.65,           4702.50,           6190.66,           6361.78,           5378.05,           5405.97,           5189.48,           4189.76,           3418.46,           2914.55,           3078.19,           3449.10,           2446.56,           3646.14,           3569.90,           3010.76,           2558.37,           2060.62,           1946.19,           1876.25,           1925.81,           1815.38,
New Zealand,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8482.09,           6590.37,           6041.16,           8304.51,           8172.91,           5555.17,           4647.72,           3431.08,           2280.04,           1805.99,           1439.15,           1214.46,           1103.82,           1156.21,            801.02,            662.76,,,,,,,,,,,,,,
New Zealand,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           7748.41,           7237.13,           7146.23,           7199.91,           6770.78,           6248.99,           5787.16,           4814.32,           3856.21,           4565.40,           4122.26,           3222.41,           2838.41,           2242.77,           1663.06,           1205.41,            927.22,            870.68,            754.94,            588.92,            676.10,,,,,,,,,
New Zealand,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2142.50,           1755.57,           1710.86,           2044.02,           1829.93,,,           1239.63,           1069.82,,,,           1269.49,           1206.97,            982.61,            773.91,            641.24,            590.98,            588.56,,,            689.60,            664.41,            542.56,            416.53,            383.50,            355.07,            440.68,            368.15,
New Zealand,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2275.54,           2078.66,           2071.44,           2441.93,           2322.79,           2600.28,           2717.09,           2400.78,           1773.35,           2575.79,           2478.41,           2303.62,           2298.79,           2280.51,           1817.58,           1654.12,           1716.08,           1796.11,           1571.76,           1587.61,           2035.88,           2208.93,           2229.46,           1867.60,           1540.84,           1468.01,           1556.90,           1520.42,           1539.37,
New Zealand,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2960.72,           2568.76,           2389.22,           2833.47,           2530.47,           2473.65,           2193.79,           2211.98,           1895.10,           2802.55,           2911.17,           2407.55,           2872.26,           2587.67,           2171.11,           1803.12,           1467.44,           1558.66,           1771.01,           1342.40,           1705.06,           2103.21,           1935.93,           1826.35,           1565.72,           1353.16,           1323.75,           1472.47,           1616.90,
New Zealand,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1059.76,           1043.49,,           1462.39,           1340.58,           1259.19,           1320.09,,,,,,,,,,            605.28,            597.72,            524.16,            388.37,            634.70,            677.34,            708.74,            585.69,            502.90,            403.21,            422.87,            400.42,            295.38,
New Zealand,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           1707.69,           1701.47,,,           1593.06,           1585.10,           1200.58,,,,,,,,,,,,,,,,,,
New Zealand,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           1170.93,,,,,           1086.61,           1066.28,           1191.85,           1208.54,           1097.25,           1009.34,            964.72,            793.29,            692.70,            654.86,            692.08,            820.82,            714.63,            867.31,            922.26,            832.27,            734.90,            641.29,            629.04,            606.26,            665.96,            632.91,
New Zealand,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,            547.63,            737.90,            770.52,            818.08,            737.54,            562.42,            581.58,            546.90,            691.78,            776.42,
New Zealand,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3781.11,           3700.82,           4040.22,           3912.88,           3345.22,           3428.08,           3150.04,           2673.56,           2485.51,           3124.94,           3105.08,           2946.48,           3086.94,           2938.97,           2397.64,           2207.03,           2038.66,           1930.59,           1701.96,           1570.01,           1460.42,           1316.95,           1376.09,           1343.60,           1226.91,           1212.87,           1244.09,           1242.86,           1166.60,
New Zealand,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4286.94,           4100.22,           4309.47,           4932.31,           3722.84,           3566.85,           3719.85,           3139.42,           2760.90,           3271.61,           3021.54,           3092.49,           2875.42,           2612.40,           2185.74,           2047.98,           2144.97,           2417.91,           2396.30,           2210.12,           2592.81,           2458.13,           2610.37,           2279.82,           1733.52,           1800.11,           1426.22,           1695.80,           1472.96,
New Zealand,World,All Products,Tariff,Duty Free Imports (US$ Thousand),       26830936.39,       26028818.24,       25132641.43,       29189957.99,       26567296.05,       17509544.37,       17750403.49,       17390520.33,       15428628.50,       20858008.79,       18422519.85,       15042411.73,       14637992.21,       13013612.45,       10240938.08,        8417447.31,        7932364.09,        7401683.61,        7631516.79,        6085082.97,        7595047.74,        7177633.19,,,        3959217.66,        3693285.73,,,,
