Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Philippines,...,...,Development,GDP (current US$ Mil),         313595.21,         304889.08,         292774.10,         284584.52,         271836.12,         250092.09,         224143.08,         199590.78,         168334.60,         174195.14,         149359.92,         122210.72,         103071.58,          91371.24,          83908.21,          81357.61,          76262.07,          81026.30,          82995.15,          72207.03,          82344.26,          82848.14,          74119.99,          64084.46,          54368.08,          52976.34,          45417.56,          44311.59,          42575.18,          37885.44
Philippines,...,...,Export,No. Of Export partners,            209.00,            206.00,            205.00,            208.00,            206.00,            201.00,            207.00,            195.00,            178.00,            184.00,            187.00,            191.00,            180.00,            200.00,            204.00,            200.00,            190.00,            176.00,            167.00,            169.00,            161.00,            157.00,,,,,,,,
Philippines,...,...,Export,No. Of Export products,           2883.00,           2784.00,           2780.00,           2820.00,           2825.00,           2811.00,           2321.00,           2331.00,           2481.00,           2458.00,           2620.00,           2839.00,           2759.00,           2727.00,           2721.00,           2732.00,           2577.00,           2547.00,           2661.00,           2636.00,           2493.00,           2457.00,,,,,,,,
Philippines,...,...,Import,No. Of Import partners,            193.00,            199.00,            196.00,            177.00,            177.00,            168.00,            169.00,            168.00,            158.00,            158.00,            156.00,            138.00,            139.00,            156.00,            185.00,            170.00,            150.00,            167.00,            150.00,            150.00,            143.00,            145.00,,,,,,,,
Philippines,...,...,Import,No. Of Import products,           4350.00,           4542.00,           4558.00,           4393.00,           4407.00,           4457.00,           4398.00,           4374.00,           4377.00,           4419.00,           4470.00,           4523.00,           4450.00,           4436.00,           4453.00,           4435.00,           4472.00,           4473.00,           4486.00,           4424.00,           4535.00,           4504.00,,,,,,,,
Philippines,...,...,Tariff,No. Of Tariff Agreement,              8.00,              8.00,              8.00,,              8.00,              8.00,              8.00,              2.00,              2.00,              2.00,              3.00,              2.00,              2.00,              2.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,
Philippines,...,...,Development,Trade Balance (current US$ Mil),         -31132.98,         -28360.67,         -17269.47,         -10376.47,         -11444.13,          -8156.38,          -8150.35,          -3618.39,          -1894.90,          -4282.04,           -146.09,          -2181.11,          -5776.73,          -5022.88,          -6322.67,          -7274.24,          -5227.95,          -1613.45,          -3262.41,          -6595.23,          -8512.22,          -7279.57,          -5799.12,          -4042.56,          -4592.61,          -2595.00,          -1358.18,          -2555.81,           -918.12,            550.75
Philippines,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8017.05,           6192.43,           6393.07,           8033.65,           7025.22,           6159.11,           6102.25,           5724.47,           2933.92,           5469.19,           5749.86,           4627.66,           4077.00,           2653.04,,,,,,,,,,,,,,,,
Philippines,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          18477.82,          15916.07,          11477.93,          10283.72,           8596.86,           7136.41,           6504.58,           4954.30,           4060.39,           4561.09,           4232.89,           3869.39,           3134.15,,,,,,,,,,,,,,,,,
Philippines,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9024.71,           6582.77,           6199.42,           5593.69,           4541.47,           4776.08,           3698.89,           4335.69,           3213.31,           4987.49,           5803.52,           3706.01,           3340.70,           3145.61,           3093.90,,,,,,           1171.52,,,,,,,,,
Philippines,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          10853.16,          11674.11,          12381.20,          13918.86,          12048.50,           9881.27,           8866.49,           7841.29,           6208.40,           7707.06,           7304.15,           7918.34,           7206.10,           7983.39,           5768.94,           5295.45,           5057.44,           5608.68,           4664.19,           4233.87,           4194.37,           3671.18,,,,,,,,
Philippines,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          11798.46,          10196.48,           6761.33,           5538.67,           5594.52,           6960.94,           7016.76,           7301.84,           5764.92,           7121.85,           7219.11,           7676.91,           8464.17,           8050.85,           8295.48,           7926.49,           6995.95,           6960.84,           6524.97,           6370.54,           7955.25,           7578.14,,,,,,,,
Philippines,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4333.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8819.74,           5622.55,,           5234.08,           5050.47,           4730.85,           4640.49,,,,,,,           2852.76,           2695.09,           3114.43,           2199.09,           2891.68,           2818.27,           2293.19,           2294.76,           1785.91,,,,,,,,
Philippines,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,           3743.52,           3708.37,           4149.52,           4769.20,           4032.64,           3582.95,           2921.71,           3054.91,           2976.35,           2982.46,           2864.60,           2319.20,           1663.46,           1114.58,,,,,,,,
