Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Palau,...,...,Development,GDP (current US$ Mil),            289.82,            303.98,            293.12,            245.68,            225.35,            214.65,            193.24,            182.86,            182.70,            196.86,            193.11,            188.04,            184.68,            164.16,            152.77,            161.95,            155.43,            144.76,,,,,,,,,,,,
Palau,...,...,Export,No. Of Export partners,             13.00,             16.00,             19.00,             25.00,,             21.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,...,...,Export,No. Of Export products,            249.00,            326.00,            348.00,            366.00,,            368.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,...,...,Import,No. Of Import partners,            104.00,            105.00,            107.00,             93.00,             68.00,             65.00,             64.00,             58.00,             62.00,             62.00,             55.00,,,,,,,,,,,,,,,,,,,
Palau,...,...,Import,No. Of Import products,           2940.00,           3026.00,           2989.00,           2938.00,           2973.00,           2928.00,           2957.00,           2958.00,           2966.00,           3082.00,           3138.00,,,,,,,,,,,,,,,,,,,
Palau,...,...,Tariff,No. Of Tariff Agreement,              1.00,              1.00,              1.00,,,              1.00,              1.00,              1.00,,,,,,,,,,,,,,,,,,,,,,
Palau,...,...,Development,Trade Balance (current US$ Mil),            -76.82,            -51.34,            -37.11,            -66.49,            -54.97,            -53.39,            -52.43,            -46.16,            -43.98,            -62.15,            -55.02,            -67.67,            -59.30,            -73.52,            -56.33,            -58.29,            -60.15,            -94.25,,,,,,,,,,,,
Palau,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             11.45,              7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Guam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.93,              0.25,              1.27,              0.28,,              0.28,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Guam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,              8.13,             20.31,             46.04,             31.68,             18.43,             13.88,             29.01,             13.02,,,,,,,,,,,,,,,,,,,
Palau,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              0.28,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              1.50,              0.11,              0.38,              4.63,,              7.42,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             19.79,             19.96,             17.39,             20.08,             35.21,             13.71,             20.33,             13.17,              7.50,             11.77,             10.30,,,,,,,,,,,,,,,,,,,
Palau,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             11.54,             11.11,              9.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              0.12,              0.13,              0.24,,              0.25,,,,,,,,,,,,,,,,,,,,,,,,
Palau,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,              8.40,,              6.49,              6.90,              5.50,              5.69,,              5.90,,,,,,,,,,,,,,,,,,,,
