Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Paraguay,...,...,Development,GDP (current US$ Mil),          39667.40,          36054.28,          36164.07,          40276.53,          38585.32,          33283.23,          33715.52,          27215.97,          22341.75,          24578.07,          17856.27,          13429.43,          10737.50,           9624.44,           7691.37,           7196.26,           8495.81,           8855.71,           8837.07,           9260.48,           9965.23,           9788.39,           9062.13,           7870.98,           7249.53,           7157.42,           6984.37,           5812.11,           4757.73,           4255.68
Paraguay,...,...,Export,No. Of Export partners,            135.00,            134.00,            133.00,            127.00,            116.00,            124.00,            124.00,            126.00,            123.00,            123.00,            124.00,            113.00,            111.00,            107.00,            108.00,             86.00,             86.00,             81.00,             70.00,             68.00,             59.00,             60.00,             78.00,             79.00,             71.00,             73.00,             72.00,             70.00,             66.00,
Paraguay,...,...,Export,No. Of Export products,           1375.00,           1390.00,           1389.00,           1258.00,           1202.00,           1211.00,           1154.00,           1154.00,           1186.00,           1203.00,           1269.00,           1205.00,           1164.00,           1040.00,           1123.00,            579.00,            542.00,            547.00,            438.00,            433.00,            352.00,            365.00,            380.00,            371.00,            339.00,            324.00,            282.00,            223.00,            203.00,
Paraguay,...,...,Import,No. Of Import partners,            144.00,            140.00,            141.00,            138.00,            133.00,            122.00,            123.00,            114.00,            114.00,            114.00,            119.00,            112.00,            104.00,            114.00,             99.00,             82.00,             78.00,             82.00,             76.00,             77.00,             76.00,             82.00,             72.00,             66.00,             69.00,             69.00,             64.00,             66.00,             64.00,
Paraguay,...,...,Import,No. Of Import products,           3699.00,           3735.00,           3726.00,           3731.00,           3730.00,           3702.00,           3754.00,           3707.00,           3618.00,           3640.00,           3577.00,           3636.00,           3593.00,           3527.00,           3451.00,           3651.00,           3742.00,           3720.00,           3645.00,           3799.00,           3728.00,           3712.00,           3784.00,           3725.00,           3314.00,           3002.00,           3079.00,           3276.00,           3296.00,
Paraguay,...,...,Tariff,No. Of Tariff Agreement,             24.00,             48.00,             48.00,             46.00,             46.00,             44.00,             44.00,             48.00,             44.00,             44.00,             13.00,             13.00,             13.00,             13.00,              1.00,              1.00,              1.00,              3.00,              3.00,              1.00,              2.00,              2.00,              4.00,              1.00,,,              1.00,,,
Paraguay,...,...,Development,Trade Balance (current US$ Mil),           1941.80,           2076.99,            944.48,            805.36,           1431.15,            396.97,            666.48,            789.72,           1136.15,            872.92,           1383.63,           1054.56,           1091.49,           1084.79,           1012.33,           1116.04,            737.39,            709.97,            709.67,            710.59,            100.17,            239.40,            497.15,           -113.23,            452.14,            727.94,            876.18,            763.64,            989.85,            497.59
Paraguay,Algeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,             73.93,
Paraguay,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1136.65,            855.44,            570.86,            653.61,            688.07,            545.98,            692.13,            555.29,            556.21,           1329.23,            876.51,            438.72,            375.40,            345.13,             69.81,,            299.10,            337.40,             53.28,            152.74,            103.59,             95.43,             83.28,             90.70,             64.94,             64.15,             45.03,             55.48,             48.98,
Paraguay,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1220.45,           1070.01,           1107.89,           1259.41,           1330.93,           1369.94,           1377.06,           1196.68,            855.19,           1056.18,            839.20,            730.63,            652.88,            650.64,            431.99,            344.54,            526.45,            568.34,            339.48,            516.01,            676.16,            587.40,            518.53,            349.35,            242.36,            231.00,            175.13,            172.35,             80.87,
