Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Reunion,...,...,Export,No. Of Export partners,,,,,,,,,,,,,,,,,,,,,,,             49.00,             52.00,,,,,,
Reunion,...,...,Export,No. Of Export products,,,,,,,,,,,,,,,,,,,,,,,           1039.00,           1019.00,,,,,,
Reunion,...,...,Import,No. Of Import partners,,,,,,,,,,,,,,,,,,,,,,,            118.00,            109.00,,,,,,
Reunion,...,...,Import,No. Of Import products,,,,,,,,,,,,,,,,,,,,,,,           3321.00,           3304.00,,,,,,
Reunion,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             83.79,             82.88,,,,,,
Reunion,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             10.38,,,,,,,
Reunion,Comoros,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,              9.85,              7.58,,,,,,
Reunion,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,            148.92,            127.12,,,,,,
Reunion,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,           1797.97,           1575.58,,,,,,
Reunion,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             75.97,             64.62,,,,,,
Reunion,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             95.59,             75.13,,,,,,
Reunion,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             12.73,             10.64,,,,,,
Reunion,Madagascar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,              6.64,              5.65,,,,,,
Reunion,Mauritius,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,              3.40,,,,,,
Reunion,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             70.34,             56.99,,,,,,
Reunion,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,World,Animal,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             16.95,             13.71,,,,,,
Reunion,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             23.46,             17.59,,,,,,
Reunion,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              3.47,              2.42,,,,,,
Reunion,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             26.49,             25.51,,,,,,
Reunion,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,            140.62,            112.05,,,,,,
Reunion,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.02,              0.15,,,,,,
Reunion,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.44,              0.42,,,,,,
Reunion,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.01,              0.01,,,,,,
Reunion,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,            137.84,            109.00,,,,,,
Reunion,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             14.24,             12.06,,,,,,
Reunion,World,Metals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              5.07,              4.83,,,,,,
Reunion,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.49,              0.05,,,,,,
Reunion,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              4.10,              2.79,,,,,,
Reunion,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.86,              0.64,,,,,,
Reunion,World,Raw materials,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             20.81,             18.85,,,,,,
Reunion,World,Stone and Glass,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.31,              0.37,,,,,,
Reunion,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              2.23,              3.84,,,,,,
Reunion,World,Transportation,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             12.27,             10.22,,,,,,
Reunion,World,Vegetable,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              5.91,              6.17,,,,,,
Reunion,World,Wood,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              1.71,              1.24,,,,,,
Reunion,World,All Products,Export,Exports (in US$ Mil),,,,,,,,,,,,,,,,,,,,,,,            208.69,            170.98,,,,,,
Reunion,World,Capital goods,Import,Import(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,            563.77,            538.60,,,,,,
Reunion,World,Consumer goods,Import,Import(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,           1418.13,           1281.84,,,,,,
Reunion,World,Intermediate goods,Import,Import(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,            363.57,            314.10,,,,,,
Reunion,World,Raw materials,Import,Import(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,            213.68,            175.28,,,,,,
Reunion,World,All Products,Import,Imports (in US$ Mil),,,,,,,,,,,,,,,,,,,,,,,           2711.08,           2358.36,,,,,,
Reunion,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,      0.76,      0.77,,,,,,
Reunion,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,      1.38,      1.37,,,,,,
Reunion,Bahrain,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,      3.09,      3.51,,,,,,
Reunion,Belgium-Luxembourg,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,      4.97,,,,,,,
Reunion,Comoros,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,      4.72,      4.43,,,,,,
Reunion,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,     71.36,     74.35,,,,,,
Reunion,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,     66.32,     66.81,,,,,,
Reunion,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,      2.80,      2.74,,,,,,
Reunion,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,      3.53,      3.19,,,,,,
Reunion,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,      6.10,      6.22,,,,,,
Reunion,Madagascar,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,      3.18,      3.30,,,,,,
Reunion,Mauritius,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,      1.99,,,,,,
Reunion,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,      2.59,      2.42,,,,,,
Reunion,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,,,,,,,,,,,,,      8.36,    151.96,,,,,,
Reunion,World,All Products,Tariff,Duty Free Tariff Lines Share (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,World,Animal,Export,Export Product share(%),,,,,,,,,,,,,,,,,,,,,,,      8.12,      8.02,,,,,,
Reunion,World,Capital goods,Export,Export Product share(%),,,,,,,,,,,,,,,,,,,,,,,     11.24,     10.29,,,,,,
Reunion,World,Chemicals,Export,Export Product share(%),,,,,,,,,,,,,,,,,,,,,,,      1.66,      1.42,,,,,,
Reunion,World,Consumer goods,Export,Export Product share(%),,,,,,,,,,,,,,,,,,,,,,,     12.70,     14.92,,,,,,
Reunion,World,Food Products,Export,Export Product share(%),,,,,,,,,,,,,,,,,,,,,,,     67.38,     65.53,,,,,,
Reunion,World,Footwear,Export,Export Product share(%),,,,,,,,,,,,,,,,,,,,,,,      0.01,      0.08,,,,,,
