Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Romania,...,...,Export,No. Of Export partners,            200.00,            202.00,            198.00,            196.00,            195.00,            191.00,            193.00,            188.00,            190.00,            189.00,            180.00,            180.00,            177.00,            186.00,            178.00,            177.00,            174.00,            170.00,            165.00,            164.00,            164.00,            166.00,            156.00,            156.00,            153.00,            144.00,            108.00,            113.00,            121.00,
Romania,...,...,Export,No. Of Export products,           3967.00,           3987.00,           4003.00,           3990.00,           3935.00,           3948.00,           3931.00,           3924.00,           3882.00,           3823.00,           3774.00,           3944.00,           3834.00,           3802.00,           3721.00,           3424.00,           3362.00,           3314.00,           3303.00,           3288.00,           3232.00,           3166.00,           3189.00,           3129.00,           3419.00,           2821.00,           1848.00,            491.00,            524.00,
Romania,...,...,Import,No. Of Import partners,            173.00,            171.00,            164.00,            173.00,            173.00,            165.00,            167.00,            172.00,            168.00,            166.00,            173.00,            202.00,            202.00,            194.00,            164.00,            170.00,            170.00,            169.00,            170.00,            163.00,            159.00,            156.00,            134.00,            132.00,            128.00,            120.00,             94.00,             79.00,             75.00,
Romania,...,...,Import,No. Of Import products,           4420.00,           4448.00,           4447.00,           4443.00,           4445.00,           4445.00,           4474.00,           4468.00,           4464.00,           4466.00,           4468.00,           4734.00,           4653.00,           4643.00,           4599.00,           4483.00,           4518.00,           4498.00,           4458.00,           4487.00,           4455.00,           4467.00,           4471.00,           4375.00,           4458.00,           4163.00,           3237.00,            777.00,            700.00,
Romania,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,             13.00,             21.00,,,              2.00,,             13.00,,,,,,,,              1.00,,,
Romania,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,            275.61,            419.05,            198.74,,,            348.84,
Romania,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           3524.77,           3381.52,           2646.08,,,,,,,,,,,,,,,,,,,,,
Romania,Czechoslovakia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            385.12,
Romania,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,            322.98,,,
Romania,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4776.15,           4589.08,           4124.74,           4733.14,           4461.13,           4052.58,           4688.02,           4115.44,           3338.44,           3656.38,           3117.13,           2424.83,           2063.08,           1994.74,           1295.13,           1056.13,            918.95,            722.48,            530.42,            491.48,            465.33,            459.77,            456.49,            315.79,,,            173.26,            199.74,,
Romania,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4520.40,           4135.60,           3905.16,           4419.82,           4209.64,           3983.11,           4403.63,           3674.36,           3339.58,           4738.28,           4375.44,           3342.15,           2729.89,           2316.80,           1747.89,           1139.61,            978.81,            799.49,            699.53,            815.42,            648.48,            555.27,            532.03,,            506.65,            474.43,,,,
Romania,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          16217.81,          13675.88,          11969.66,          13440.97,          12215.48,          10762.25,          11687.89,           8928.65,           7641.86,           8175.98,           6827.65,           5078.69,           3890.61,           3513.90,           2770.98,           2165.48,           1781.10,           1626.94,           1510.43,           1628.62,           1419.23,           1485.96,           1434.19,            985.93,            699.39,            479.18,            462.88,            643.21,           1243.06,
Romania,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17127.14,          15291.04,          13846.87,          14871.05,          13690.63,          12220.18,          13049.29,          10361.36,           9411.05,          13573.37,          12029.36,           7756.05,           5652.15,           4867.79,           3559.94,           2655.72,           2364.43,           1922.94,           1779.69,           2064.47,           1850.67,           1949.38,           1766.22,           1258.64,           1031.13,            826.19,            590.80,           1040.77,            801.75,
Romania,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3320.94,           3295.01,           3259.10,           3536.22,           3257.14,           3110.20,           3501.24,           2364.26,           1765.50,           2530.62,           2248.29,           1596.14,,,,,,,,,,,,,,,,,,
Romania,Hungary,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           6379.74,           5601.78,           5552.45,           6100.29,           6048.73,           6319.12,           6650.04,           5382.66,           4548.21,           6131.83,           4856.67,,,,,,            599.29,,,            546.88,,,,,,,,,,
Romania,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,            443.03,            604.09,            466.55,            459.66,            534.93,           1013.53,
Romania,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7940.39,           7373.69,           7534.32,           8291.42,           7565.96,           6996.38,           8054.20,           6838.70,           6237.49,           7658.81,           6866.92,           5846.58,           5383.70,           4979.52,           4288.27,           3488.46,           2853.92,           2330.67,           1990.35,           1838.94,           1651.09,           1392.88,           1246.61,            797.95,            409.37,            265.91,            261.90,            516.29,            997.64,
Romania,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8568.33,           7650.97,           7605.30,           8425.16,           8057.54,           7692.52,           8683.23,           7171.29,           6382.50,           9438.74,           8899.43,           7471.63,           6262.70,           5601.85,           4697.14,           3713.81,           3111.50,           2454.66,           2047.11,           2060.67,           1786.14,           1747.34,           1363.74,            841.50,            614.52,            487.15,,,,
