Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Sierra Leone,...,...,Development,GDP (current US$ Mil),           3775.05,           3556.04,           4218.72,           5015.16,           4920.34,           3801.86,           2942.55,           2578.03,           2453.90,           2505.46,           2158.50,           1885.11,           1650.49,           1448.54,           1385.81,           1253.34,           1090.47,            635.87,            669.38,            672.38,            850.22,            941.74,            870.76,            911.92,            768.81,            680.00,            779.98,            649.64,            932.97,           1055.08
Sierra Leone,...,...,Export,No. Of Export partners,             53.00,             57.00,             45.00,             54.00,,,,,,,,,,,,             19.00,,             18.00,,,,,,,,,,,,
Sierra Leone,...,...,Export,No. Of Export products,            405.00,            363.00,            139.00,            711.00,,,,,,,,,,,,             97.00,,             57.00,,,,,,,,,,,,
Sierra Leone,...,...,Import,No. Of Import partners,            120.00,            123.00,             82.00,             84.00,,,,,,,,,,,,            101.00,,             42.00,,,,,,,,,,,,
Sierra Leone,...,...,Import,No. Of Import products,           2311.00,           2290.00,           1500.00,           1722.00,,,,,,,,,,,,           2188.00,,           1356.00,,,,,,,,,,,,
Sierra Leone,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,...,...,Development,Trade Balance (current US$ Mil),           -829.85,          -1052.15,          -1184.51,          -1086.57,          -1485.91,          -1044.12,          -1417.82,           -455.99,           -354.27,           -305.04,           -196.17,           -154.24,           -193.55,           -183.19,           -250.32,           -266.80,           -215.31,           -135.19,            -40.79,            -48.48,            -15.97,           -138.48,            -68.38,             35.23,            -33.02,             -8.91,             17.59,              4.48,             58.28,            151.23
Sierra Leone,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             90.04,             52.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             69.06,,,            291.82,,,,,,,,,,,,,,             12.78,,,,,,,,,,,,
Sierra Leone,Benin,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Benin,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            733.14,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             23.02,,,,,,,,,,,,,,
Sierra Leone,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             13.37,             33.42,,            241.28,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            180.17,            120.36,            203.13,            169.21,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             12.52,            161.50,,              4.32,,,,,,,,,,,,,,,,,,,,,,,,,,
