Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
El Salvador,...,...,Development,GDP (current US$ Mil),          24805.44,          23912.23,          23166.03,          22585.84,          21977.40,          21386.15,          20283.78,          18447.92,          17601.62,          17986.89,          17011.75,          15999.89,          14698.00,          13724.81,          13243.89,          12664.19,          12282.53,          11784.93,          11284.20,          10936.67,          10221.71,           9586.33,           8921.95,           7679.38,           6680.27,           5813.40,           5252.34,           4817.54,           4372.22,           4189.88
El Salvador,...,...,Export,No. Of Export partners,            123.00,            130.00,            126.00,            123.00,            116.00,            115.00,            115.00,            118.00,            117.00,            111.00,            109.00,            110.00,            106.00,             88.00,             84.00,             90.00,             74.00,             88.00,             74.00,             71.00,             73.00,             63.00,             73.00,             62.00,,,,,,
El Salvador,...,...,Export,No. Of Export products,           2628.00,           2599.00,           2597.00,           2582.00,           2605.00,           2521.00,           2450.00,           2466.00,           2509.00,           2540.00,           2534.00,           2542.00,           2514.00,           2402.00,           2323.00,           2254.00,           2152.00,           2154.00,           2000.00,           1996.00,           1920.00,           1764.00,           1738.00,           1614.00,,,,,,
El Salvador,...,...,Import,No. Of Import partners,            175.00,            172.00,            175.00,            171.00,            180.00,            171.00,            166.00,            176.00,            137.00,            135.00,            129.00,            135.00,            121.00,            104.00,            111.00,            106.00,            109.00,            121.00,            113.00,            109.00,             98.00,             96.00,             82.00,             79.00,,,,,,
El Salvador,...,...,Import,No. Of Import products,           3964.00,           3946.00,           3938.00,           3975.00,           3944.00,           3892.00,           3879.00,           3879.00,           3924.00,           4053.00,           4049.00,           4005.00,           3996.00,           3948.00,           3987.00,           3986.00,           3845.00,           3856.00,           4068.00,           4057.00,           4059.00,           4028.00,           4187.00,           3983.00,,,,,,
El Salvador,...,...,Tariff,No. Of Tariff Agreement,             15.00,,             15.00,             15.00,             14.00,             13.00,              7.00,              7.00,             12.00,             12.00,              2.00,              7.00,              1.00,              8.00,              5.00,              4.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,
El Salvador,...,...,Development,Trade Balance (current US$ Mil),          -4284.45,          -3880.94,          -4197.58,          -4355.24,          -4676.80,          -4394.60,          -4323.10,          -3623.90,          -3198.00,          -4889.70,          -4505.90,          -3452.17,          -2819.47,          -2466.33,          -2170.69,          -1886.07,          -1949.50,          -1774.29,          -1376.41,          -1323.24,          -1176.87,          -1246.21,          -1449.97,          -1175.19,           -987.52,           -953.94,           -698.66,           -608.05,           -457.02,           -271.27
El Salvador,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            294.87,            277.02,,,,,,,,,,,,,,,,,
El Salvador,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1446.75,           1401.88,           1397.14,           1280.55,           1200.68,           1042.86,            973.39,            872.40,            335.55,            501.53,            416.46,            341.35,,,,,,,,,,,,,,,,,,
El Salvador,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            261.84,              0.25,            248.95,              0.24,            234.89,            230.48,            213.64,            161.37,            137.13,            169.49,            143.72,            124.73,            113.21,,            102.03,,,,             91.90,            110.31,            111.40,             93.26,             77.46,             75.24,,,,,,
El Salvador,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            163.46,,            116.22,            115.10,            116.30,,,,,,,,,
El Salvador,Ecuador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            168.26,,,            152.29,,,,,,,,,,,,
El Salvador,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,            104.65,            139.89,            237.52,            158.95,            143.17,            120.48,,,,,,
El Salvador,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,             93.53,,             91.81,,,,,,,
El Salvador,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            792.23,              0.74,            749.94,              0.72,            731.57,            714.71,            736.34,            628.85,            541.54,            630.29,            551.48,            480.57,            426.47,            386.80,            361.25,            343.97,            323.38,            318.79,            272.24,            282.49,            264.06,            210.62,            204.14,            181.82,,,,,,
El Salvador,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1047.57,            995.58,           1021.56,           1024.29,            887.49,            886.79,            845.00,            734.93,            752.65,            830.37,            746.23,            648.23,            591.90,            505.98,            463.60,            418.70,            435.21,            478.08,            368.84,            346.76,            323.61,            279.70,            284.42,            241.81,,,,,,
El Salvador,Honduras,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            796.86,              0.77,            770.29,              0.76,            787.89,            760.99,            698.13,            579.38,            519.52,            600.20,            455.08,            414.78,            484.88,            205.52,            184.89,            176.61,            184.46,            225.11,            171.59,            148.71,            136.01,             97.43,,             58.16,,,,,,
El Salvador,Honduras,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            584.83,            497.82,            535.78,            513.68,            509.66,            424.19,            425.65,            354.67,            351.81,            377.51,            305.47,,,,,,,,,,,,,,,,,,,
El Salvador,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,            126.66,            145.12,,            114.12,            133.60,            142.89,,,,,,
El Salvador,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            878.06,            739.65,            752.23,            714.80,            733.88,            743.90,            817.35,            780.60,            546.29,            895.07,            860.01,            573.53,            557.34,            374.15,            315.63,            294.58,            313.77,            257.43,            264.28,            238.31,            235.28,            172.22,            150.35,            105.27,,,,,,
El Salvador,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             73.38,,,,,,,
