Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Chad,...,...,Development,GDP (current US$ Mil),           9871.25,          10090.92,          10945.99,          13922.22,          12949.85,          12368.07,          12156.38,          10657.71,           9253.48,          10351.93,           8638.71,           7422.10,           6646.66,           4414.93,           2736.67,           1987.62,           1709.35,           1385.06,           1534.67,           1744.79,           1544.69,           1607.35,           1445.92,           1179.84,           1463.25,           1881.85,           1877.14,           1738.61,           1433.69,           1482.60
Chad,...,...,Export,No. Of Export partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,...,...,Export,No. Of Export products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,...,...,Import,No. Of Import partners,,,,,,,,,,,,,,,,,,,,,,,             64.00,,,,,,,
Chad,...,...,Import,No. Of Import products,,,,,,,,,,,,,,,,,,,,,,,           2360.00,,,,,,,
Chad,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,              7.00,,,,,,,
Chad,...,...,Development,Trade Balance (current US$ Mil),           -581.49,          -1080.42,           -718.13,          -1156.07,           -714.54,           -450.14,           -355.76,           -714.01,           -632.27,            527.88,            369.39,            -55.25,            671.83,             11.00,           -933.56,          -2006.92,           -598.11,           -246.42,           -212.88,           -193.25,           -188.84,           -185.21,           -171.18,           -221.54,           -234.13,           -258.25,           -233.63,           -250.82,           -252.72,           -223.65
Chad,Cameroon,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             33.84,,,,,,,
Chad,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             88.82,,,,,,,
Chad,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             25.24,,,,,,,
Chad,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             13.93,,,,,,,
Chad,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,              9.30,,,,,,,
Chad,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,           1566.51,,,,,,,
Chad,World,Animal,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Metals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Raw materials,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Stone and Glass,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Transportation,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Vegetable,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Wood,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,All Products,Export,Exports (in US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,World,Capital goods,Import,Import(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             52.90,,,,,,,
Chad,World,Consumer goods,Import,Import(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             81.47,,,,,,,
Chad,World,Intermediate goods,Import,Import(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,             38.40,,,,,,,
